particular,number_of_inbound_flights,number_of_outbound_flights
January ,51,51
February,43,43
March,55,54
April,50,50
May,53,53
June,49,49
July,53,53
August,54,54
September,52,51
October,52,51
November,48,50
December,51,52
Total,611,611
