particular,number_of_inbound_flights,number_of_outbound_flights
January ,47,47
February,50,48
March,51,53
April,52,52
May,54,55
June,47,47
July,51,52
August,54,54
September,49,49
October,55,55
November,50,50
December,50,50
Total,610,612
