region,province,name_of_cooperative,address,contact_person,phone_number
RFU IVA,Laguna,New Pagsanta Dairy Cooperative,"Binan, Pagsanjan, Laguna  ",Baltazar Montiel ,(049) 536-35-48 
RFU IVA,Laguna,Jonel Padilla (Pagsanta Buffaloes),"Pagsanjan, Laguna  ",c/o South Luzon Field Office ,02-9260733 Loc 202 
RFU IVA,Laguna,Malinao Marketing MPC ,"Brgy. San Lucas 2, SPC, Laguna  ",Baltazar Montiel ,(049) 536-35-48 
RFU IVA,Laguna,SALBA Dairy Cooperative,"Brgy. San Antonio II, SPC, Laguna  ",Baltazar Montiel ,(049) 536-35-48 
RFU IVA,Laguna,Castasus Farm ,"San Vicente, San pedro, Laguna  ",c/o South Luzon Field Office ,02-9260733 Loc 202 
RFU IVA,Batangas,OCVAS (Formerly Bucal MPC) ,"Brgy. Bucal, Batangas City ",c/o South Luzon Field Office ,02-9260733 Loc 202 
RFU IVA,Batangas,Gaudencio Llubit (STH) ,"Santiago, Malvar, Batangas ",c/o South Luzon Field Office ,02-9260733 Loc 202 
RFU IVA,Batangas,St. Elmon's Farm,"Calo, Nasugbu, Batangas ",c/o South Luzon Field Office ,02-9260733 Loc 202 
RFU IVA,Batangas,Tarnate Farm,"Lipa City, Batangas ",c/o South Luzon Field Office ,02-9260733 Loc 202 
RFU IVA,Batangas,Padre Garcia,"Banaba, Padre Garcia, Batangas ",c/o South Luzon Field Office ,02-9260733 Loc 202 
RFU IVA,Batangas,Samahang Maggagatas ng Batangas Coorperative (SAMABACO),"Barangay 3, Tanauan City Batangas ",c/o South Luzon Field Office ,02-9260733 Loc 202 
RFU IVA,Batangas,Rotary Club-Tanuan (RCT) ,"Brgy. Janopol, Tanauan, Batangas ",c/o South Luzon Field Office ,02-9260733 Loc 202 
RFU IVA,Batangas,PABAKA MP Cooperative,"Brgy. Sinala, Bauan, Batangas ",c/o South Luzon Field Office ,02-9260733 Loc 202 
RFU IVA,Batangas,Sta. Cruz Baptist Church(Roger Alcantara) ,"Brgy. Balintawak, Lipa City, Batangas ",c/o South Luzon Field Office ,02-9260733 Loc 202 
RFU IVA,Batangas,Badaco Multiplier Farm,"Inosluban, Lipa City ",c/o South Luzon Field Office ,02-9260733 Loc 202 
