region,airport,airline_operator,january,february,march,april,may,june,july,august,september,october,november,december,total
CAR,Baguio,Asian Spirit,10754,19349,18563,20918,12509,8154,5417,3246,2594,3251,6716,7654,119125
CAR,Baguio,Corp. Air,-,-,-,-,-,-,-,-,-,-,-,-,-
CAR,Baguio,G. Aviation,-,-,-,-,-,-,-,-,-,-,-,-,-
CAR,Baguio,Military,-,-,-,-,-,-,-,-,-,-,-,-,-
I (Ilocos Norte),Laoag (International),Cebu Pacific,-,-,-,-,30609,-,-,-,-,-,-,-,30609
I (Ilocos Norte),Laoag (International),Asian Spirit,-,-,-,-,-,-,-,-,-,-,-,8430,-
I (Ilocos Norte),Laoag (International),Far East Trans,29489,27957,28244,26883,28062,30517,30058,29200,27153,30475,31343,28972,348353
I (Ilocos Norte),Laoag (International),China S. Air,5404,6706,6452,5795,4298,6103,8608,10395,4187,4296,10235,8433,80912
I (Ilocos Norte),Laoag (International),Cr airways,-,-,-,-,-,-,-,-,-,-,-,-,-
I (Ilocos Norte),Laoag (International),Trans Global,421785,-,-,-,-,-,-,-,-,-,-,-,421785
I (Ilocos Norte),Laoag (International),Mandarin Air,7844,-,-,-,-,-,-,-,-,-,-,-,7844
I (Ilocos Norte),Laoag (International),PEAC,-,-,-,-,-,-,-,-,-,-,-,-,-
I (Ilocos Norte),Laoag (International),Hongkong Express,3582,-,-,-,-,-,-,-,-,-,-,-,3582
I (Ilocos Norte),Laoag (Domestic),PAL,122530,109947,137584,160551,146700,154325,142777,98511,111524,123082,139723,171116,1618370
I (Ilocos Norte),Laoag (Domestic),Cebu Pacific,28331,30502,34093,40856,-,27782,29192,22251,25276,22867,18858,27708,307716
I (Ilocos Norte),Laoag (Domestic),Asian Spirit,-,-,-,-,-,-,-,-,-,-,-,-,-
I (Ilocos Norte),Laoag (Domestic),Seair,-,-,-,-,-,-,-,-,-,-,-,-,-
I (Ilocos Norte),Laoag (Domestic),Chemtrad,-,-,-,-,-,-,-,-,-,-,-,-,-
