particular,A110,A112,A115,A120,A125,A130,A135,A140,A200,A310,A320,A325,A330,A335,A340,A345,A400,A500,A800,A850,A855,A900,A910,Total
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"118,725,196",0,"803,730",0,0,"538,114",0,"195,098",0,"13,721,040","611,456",0,"1,113,749",0,"599,327",0,"61,360","149,646","10,391,917","53,200",0,"21,692,751",0,"168,656,584"
          National Book Development Board,"6,522",0,0,0,0,0,0,0,0,723,30,0,70,0,28,0,0,828,654,0,0,828,0,"9,683"
          National Council for Children's Television,"1,118",0,0,0,0,0,0,0,0,123,4,0,11,0,4,0,0,108,141,0,0,409,0,"1,918"
          National Museum,"49,262",0,43,0,0,89,0,0,0,"5,942",317,0,484,0,96,0,769,"2,008","5,640",0,0,"10,522",0,"75,172"
          Philippine High School for the Arts,"8,726",0,35,0,0,253,0,0,124,892,43,0,84,0,13,0,0,344,898,0,0,"1,710",0,"13,122"
,,,,,,,,,,,,,,,,,,,,,,,,
     State Universities and Colleges,"13,658,889",0,"486,969","3,129",0,"260,293",0,"45,485",0,"1,627,600","75,210",0,"138,944",0,"65,872",0,"9,347","864,521","1,454,367",0,0,"2,617,816",0,"21,308,442"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          NATIONAL CAPITAL REGION,"4,296,965",0,"212,671",0,0,"96,530",0,"4,951",0,"517,391","22,049",0,"42,808",0,"17,291",0,0,"542,481","469,047",0,0,"853,015",0,"7,075,199"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Eulogio 'Amang' Rodriguez Institute of,,,,,,,,,,,,,,,,,,,,,,,,
                     Science and Technology,"78,664",0,"1,522",0,0,"1,326",0,0,0,"8,895",398,0,400,0,386,0,0,"3,140","8,647",0,0,"12,436",0,"115,814"
               Marikina Polytechnic College,"36,514",0,319,0,0,0,0,0,0,"4,336",203,0,177,0,214,0,0,"1,918","4,061",0,0,"4,887",0,"52,629"
               Philippine Normal University,"145,277",0,"2,908",0,0,"1,703",0,"1,193",0,"17,790",632,0,"1,580",0,648,0,0,"74,363","15,411",0,0,"19,366",0,"280,871"
               Philippine State College of Aeronautics,"32,369",0,"1,762",0,0,0,0,0,0,"3,877",171,0,381,0,174,0,0,"2,292","3,588",0,0,"8,596",0,"53,210"
               Polytechnic University of the Philippines,"404,985",0,"24,508",0,0,"3,935",0,"3,758",0,"48,414","2,078",0,"3,950",0,"2,117",0,0,"75,600","44,262",0,0,"71,253",0,"684,860"
               Rizal Technological University,"98,856",0,"8,636",0,0,370,0,0,0,"11,980",538,0,"1,156",0,489,0,0,"3,671","10,762",0,0,"16,085",0,"152,543"
               Technological University of the Philippines,"184,906",0,"17,567",0,0,333,0,0,0,"22,522",883,0,"2,160",0,915,0,0,"45,210","20,728",0,0,"47,245",0,"342,469"
               University of the Philippines System,"3,315,394",0,"155,449",0,0,"88,863",0,0,0,"399,577","17,146",0,"33,004",0,"12,348",0,0,"336,287","361,588",0,0,"673,147",0,"5,392,803"
,,,,,,,,,,,,,,,,,,,,,,,,
          Region I - ILOCOS,"773,572",0,"56,953",0,0,"10,313",0,0,0,"94,839","5,601",0,"7,793",0,"4,020",0,0,"30,499","79,959",0,0,"151,838",0,"1,215,387"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Don Mariano Marcos Memorial State University,"255,904",0,"14,643",0,0,"2,060",0,0,0,"31,976","1,352",0,"2,799",0,"1,323",0,0,"8,833","27,068",0,0,"31,724",0,"377,682"
               Ilocos Sur Polytechnic State College,"63,712",0,"4,991",0,0,"1,206",0,0,0,"7,663",370,0,802,0,358,0,0,"1,075","7,145",0,0,"15,576",0,"102,898"
               Mariano Marcos State University,"193,198",0,"21,323",0,0,938,0,0,0,"19,878","2,449",0,"2,023",0,866,0,0,"12,756","18,723",0,0,"21,198",0,"293,352"
               North Luzon Philippines State College,"12,423",0,755,0,0,0,0,0,0,"1,430",68,0,119,0,68,0,0,8,"1,096",0,0,"1,871",0,"17,838"
               Pangasinan State University,"110,906",0,"13,537",0,0,"3,240",0,0,0,"17,813",730,0,836,0,770,0,0,"5,519","14,253",0,0,"60,719",0,"228,323"
               University of Northern Philippines,"137,429",0,"1,704",0,0,"2,869",0,0,0,"16,079",632,0,"1,214",0,635,0,0,"2,308","11,674",0,0,"20,750",0,"195,294"
,,,,,,,,,,,,,,,,,,,,,,,,
          CORDILLERA ADMINISTRATIVE REGION,"372,954",0,"10,526",0,0,"3,403",0,"2,002",0,"42,997","2,328",0,"3,766",0,"1,736",0,"1,631","17,245","40,082",0,0,"64,824",0,"563,494"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Abra State Institute of Science and Technology,"43,523",0,"1,096",0,0,0,0,0,0,"5,125",572,0,481,0,5,0,349,"3,942","4,946",0,0,"7,603",0,"67,642"
               Apayao State College,"22,354",0,"2,456",0,0,355,0,0,0,"2,707",126,0,278,0,120,0,77,453,"2,468",0,0,"4,987",0,"36,381"
               Benguet State University,"164,815",0,"1,669",0,0,670,0,"1,548",0,"18,590",870,0,"1,595",0,891,0,0,"6,297","18,373",0,0,"26,802",0,"242,120"
               Ifugao State University,"60,947",0,"1,805",0,0,"1,972",0,0,0,"7,043",320,0,600,0,318,0,0,"3,926","5,918",0,0,"9,804",0,"92,653"
               Kalinga-Apayao State College,"43,841",0,238,0,0,27,0,454,0,"5,006",203,0,441,0,195,0,0,"2,387","3,742",0,0,"6,328",0,"62,862"
               Mountain Province State Polytechnic College,"37,474",0,"3,262",0,0,379,0,0,0,"4,526",237,0,371,0,207,0,"1,205",240,"4,635",0,0,"9,300",0,"61,836"
,,,,,,,,,,,,,,,,,,,,,,,,
          Region II - CAGAYAN VALLEY,"589,624",0,"6,779",0,0,"9,757",0,"7,352",0,"70,737","2,989",0,"5,643",0,"2,939",0,30,"13,965","65,352",0,0,"94,465",0,"869,632"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Batanes State College (Batanes,,,,,,,,,,,,,,,,,,,,,,,,
                     Polytechnic College),"8,916",0,178,0,0,0,0,0,0,"1,117",54,0,97,0,30,0,0,506,"1,106",0,0,"1,726",0,"13,730"
               Cagayan State University,"178,565",0,"1,524",0,0,850,0,0,0,"21,125",915,0,"1,502",0,876,0,0,"4,720","19,585",0,0,"28,566",0,"258,228"
               Isabela State University,"256,615",0,"4,180",0,0,"4,646",0,"4,380",0,"30,940","1,286",0,"2,504",0,"1,310",0,0,"3,453","28,796",0,0,"39,930",0,"378,040"
               Nueva Vizcaya State University ( NVSIT,,,,,,,,,,,,,,,,,,,,,,,,
                     and NVSPC),"124,102",0,897,0,0,"3,000",0,"2,972",0,"14,984",622,0,"1,323",0,614,0,0,"4,522","13,542",0,0,"20,523",0,"187,101"
               Quirino State College,"21,426",0,0,0,0,"1,261",0,0,0,"2,571",112,0,217,0,109,0,30,764,"2,323",0,0,"3,720",0,"32,533"
,,,,,,,,,,,,,,,,,,,,,,,,
          Region III - CENTRAL LUZON,"931,260",0,"16,551",0,0,"10,018",0,"19,178",0,"110,664","5,007",0,"9,521",0,"4,814",0,"2,323","27,860","95,979",0,0,"159,898",0,"1,393,073"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Aurora State College of Technology,"20,913",0,"1,078",0,0,142,0,0,0,"2,364",112,0,234,0,107,0,0,"2,500","2,149",0,0,"2,805",0,"32,404"
               Bataan Peninsula State University,"85,778",0,"3,159",0,0,259,0,0,0,"10,753",676,0,"1,076",0,520,0,"1,434","1,003","9,425",0,0,"17,404",0,"131,487"
               Central Luzon State University,"194,716",0,798,0,0,"4,340",0,"14,816",0,"22,914",985,0,"1,698",0,"1,022",0,0,"5,176","17,038",0,0,"30,158",0,"293,661"
               Bulacan State University,"113,817",0,0,0,0,"1,475",0,0,0,"13,646",555,0,"1,357",0,546,0,831,"2,618","12,465",0,0,"18,878",0,"166,188"
               Bulacan Agricultural State College,"28,791",0,36,0,0,0,0,0,0,"3,295",149,0,254,0,148,0,58,862,"3,040",0,0,"4,952",0,"41,585"
               Don Honorio Ventura Technological State,,,,,,,,,,,,,,,,,,,,,,,,
                     University (DHVCAT),"63,461",0,"4,110",0,0,73,0,"1,026",0,"7,806",337,0,756,0,321,0,0,914,"6,544",0,0,"9,684",0,"95,032"
               Nueva Ecija University of Science and Technology,"117,966",0,697,0,0,"1,727",0,0,0,"14,159",580,0,"1,253",0,602,0,0,"1,937","12,652",0,0,"18,230",0,"169,803"
               Pampanga Agricultural College,"60,107",0,"1,164",0,0,149,0,0,0,"7,308",335,0,555,0,326,0,0,"3,585","6,715",0,0,"10,891",0,"91,135"
               Philippine Merchant Marine Academy,"40,620",0,883,0,0,0,0,0,0,"3,788",252,0,229,0,216,0,0,"2,567","3,230",0,0,"6,222",0,"58,007"
               Ramon Magsaysay Technological University,"59,879",0,"1,379",0,0,282,0,"2,744",0,"7,038",316,0,688,0,303,0,0,"2,076","6,619",0,0,"10,163",0,"91,487"
               Tarlac College of Agriculture,"60,116",0,"3,247",0,0,"1,441",0,0,0,"7,567",317,0,725,0,314,0,0,"1,749","7,004",0,0,"17,400",0,"99,880"
               Tarlac State University,"85,096",0,0,0,0,130,0,592,0,"10,026",393,0,696,0,389,0,0,"2,873","9,098",0,0,"13,111",0,"122,404"
,,,,,,,,,,,,,,,,,,,,,,,,
          Region IV-A - CALABARZON,"544,660",0,"10,998",0,0,"4,880",0,0,0,"63,701","3,008",0,"6,428",0,"2,849",0,281,"20,638","59,767",0,0,"97,435",0,"814,645"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Batangas State University,"117,668",0,"2,008",0,0,277,0,0,0,"14,439",641,0,"1,425",0,642,0,0,"3,708","13,378",0,0,"21,201",0,"175,387"
               Cavite State University,"105,804",0,"3,159",0,0,"1,012",0,0,0,"11,589",548,0,"1,188",0,536,0,0,"7,932","11,287",0,0,"17,160",0,"160,215"
               Laguna State Polytechnic University,,,,,,,,,,,,,,,,,,,,,,,,
                     (Laguna State Polytechnic College),"96,918",0,"1,709",0,0,"2,599",0,0,0,"11,705",539,0,"1,135",0,530,0,0,"2,010","11,014",0,0,"18,556",0,"146,715"
               Southern Luzon State University,,,,,,,,,,,,,,,,,,,,,,,,
                     (Southern Luzon Polytechnic College),"78,152",0,"1,179",0,0,992,0,0,0,"8,798",503,0,880,0,370,0,281,"2,522","7,757",0,0,"15,186",0,"116,620"
               University of Rizal System,"146,118",0,"2,943",0,0,0,0,0,0,"17,170",777,0,"1,800",0,771,0,0,"4,466","16,331",0,0,"25,332",0,"215,708"
,,,,,,,,,,,,,,,,,,,,,,,,
          Region IV-B - MIMAROPA,"365,806",0,"10,812",0,0,418,0,41,0,"43,495","2,104",0,"4,263",0,"2,088",0,653,"5,670","39,474",0,0,"82,502",0,"557,326"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Marinduque State College,"34,884",0,264,0,0,0,0,0,0,"4,171",182,0,419,0,182,0,0,625,"3,809",0,0,"9,431",0,"53,967"
               Mindoro State College of Agriculture and Technology,"45,385",0,"3,490",0,0,0,0,0,0,"5,615",267,0,540,0,365,0,0,358,"5,120",0,0,"9,275",0,"70,415"
               Occidental Mindoro State College,,,,,,,,,,,,,,,,,,,,,,,,
                     (Occidental Mindoro National College),"58,338",0,"2,092",0,0,0,0,0,0,"6,904",316,0,696,0,315,0,0,"1,171","6,618",0,0,"12,870",0,"89,320"
               Palawan State University,"100,995",0,"1,682",0,0,0,0,0,0,"12,059",639,0,"1,223",0,576,0,229,"2,148","11,343",0,0,"25,549",0,"156,443"
               Romblon State University (Romblon State College),"66,013",0,465,0,0,418,0,41,0,"7,529",366,0,685,0,325,0,0,742,"5,748",0,0,"12,356",0,"94,688"
               Western Philippines University,"60,191",0,"2,819",0,0,0,0,0,0,"7,217",334,0,700,0,325,0,424,626,"6,836",0,0,"13,021",0,"92,493"
,,,,,,,,,,,,,,,,,,,,,,,,
          Region V - BICOL,"709,029",0,"26,655",0,0,"4,962",0,808,0,"81,540","3,508",0,"7,683",0,"3,447",0,0,"37,794","74,460",0,0,"155,565",0,"1,105,451"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Bicol University,"250,801",0,"3,703",0,0,"2,115",0,0,0,"25,994","1,036",0,"2,489",0,"1,016",0,0,"18,463","24,877",0,0,"32,602",0,"363,096"
               Camarines Norte State College,"80,547",0,"1,065",0,0,"1,596",0,0,0,"10,658",440,0,820,0,438,0,0,"1,409","7,472",0,0,"13,304",0,"117,749"
               Camarines Sur Polytechnic Colleges,"44,452",0,"1,113",0,0,0,0,0,0,"5,717",292,0,562,0,294,0,0,"2,543","4,729",0,0,"9,643",0,"69,345"
               Central Bicol State University of,,,,,,,,,,,,,,,,,,,,,,,,
                     Agriculture  (Camarines Sur State,,,,,,,,,,,,,,,,,,,,,,,,
                     Agricultural College),"94,970",0,"15,645",0,0,73,0,0,0,"11,335",493,0,"1,127",0,473,0,0,"2,909","10,635",0,0,"28,819",0,"166,479"
               Catanduanes State Colleges,"93,510",0,"2,529",0,0,710,0,808,0,"10,512",482,0,"1,001",0,459,0,0,"8,172","10,710",0,0,"30,432",0,"159,325"
"               Dr. Emilio B. Espinosa, Sr. Memorial",,,,,,,,,,,,,,,,,,,,,,,,
                     State College of Agriculture and Technology,"22,808",0,287,0,0,70,0,0,0,"2,706",130,0,268,0,138,0,0,"1,439","2,558",0,0,"5,317",0,"35,721"
               Partido State University,"61,888",0,"1,112",0,0,262,0,0,0,"7,517",325,0,706,0,324,0,0,"1,064","6,923",0,0,"18,200",0,"98,321"
               Sorsogon State College,"60,053",0,"1,201",0,0,136,0,0,0,"7,101",310,0,710,0,305,0,0,"1,795","6,556",0,0,"17,248",0,"95,415"
,,,,,,,,,,,,,,,,,,,,,,,,
          Region VI - WESTERN VISAYAS,"968,389",0,"20,531",0,0,"6,910",0,"7,861",0,"116,405","5,252",0,"9,979",0,"4,899",0,"2,066","16,452","106,698",0,0,"196,284",0,"1,461,726"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Aklan State University,"98,891",0,"4,208",0,0,102,0,0,0,"11,906",502,0,"1,193",0,501,0,423,"5,144","10,912",0,0,"22,773",0,"156,555"
               Capiz State University,"164,245",0,"2,802",0,0,"1,952",0,0,0,"19,088",760,0,"1,236",0,751,0,0,"1,200","17,209",0,0,"28,685",0,"237,928"
               Carlos C. Hilado Memorial State College,"65,958",0,"1,033",0,0,146,0,0,0,"8,258",329,0,903,0,330,0,499,"1,179","7,562",0,0,"15,648",0,"101,845"
               Guimaras State College,"17,093",0,275,0,0,213,0,0,0,"2,045",95,0,160,0,93,0,0,223,"1,791",0,0,"4,064",0,"26,052"
               Iloilo State College of Fisheries,"80,819",0,"3,543",0,0,191,0,0,0,"10,063",450,0,892,0,431,0,305,180,"9,084",0,0,"17,311",0,"123,269"
               Negros State College of Agriculture,"22,905",0,160,0,0,19,0,0,0,"2,749",235,0,123,0,130,0,0,180,"2,563",0,0,"5,082",0,"34,146"
               Northern Iloilo Polytechnic State College,"106,964",0,624,0,0,"1,741",0,"7,861",0,"13,078",596,0,"1,245",0,571,0,0,"1,515","11,711",0,0,"16,302",0,"162,208"
               Northern Negros State College of Science,,,,,,,,,,,,,,,,,,,,,,,,
                     and Technology,"16,696",0,475,0,0,0,0,0,0,"2,003",84,0,198,0,84,0,0,534,"1,737",0,0,"2,125",0,"23,936"
               University of Antique (Polytechnic State,,,,,,,,,,,,,,,,,,,,,,,,
                     College of Antique),"55,326",0,"1,043",0,0,"1,094",0,0,0,"6,700",312,0,419,0,305,0,0,531,"6,160",0,0,"15,225",0,"87,115"
               Western Visayas College of Science and Technology,"118,098",0,"2,968",0,0,0,0,0,0,"13,849",637,0,"1,262",0,641,0,0,948,"13,293",0,0,"22,144",0,"173,840"
               West Visayas State University,"221,394",0,"3,400",0,0,"1,452",0,0,0,"26,666","1,252",0,"2,348",0,"1,062",0,839,"4,818","24,676",0,0,"46,925",0,"334,832"
,,,,,,,,,,,,,,,,,,,,,,,,
          Region VII - CENTRAL VISAYAS,"374,642",0,"2,276",0,0,491,0,0,0,"45,167","2,017",0,"4,179",0,"2,068",0,"1,988","18,238","38,627",0,0,"75,540",0,"565,233"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Cebu Normal University,"41,168",0,277,0,0,334,0,0,0,"5,199",207,0,423,0,204,0,0,"6,489","4,343",0,0,"7,139",0,"65,783"
               Cebu Technological University (Cebu,,,,,,,,,,,,,,,,,,,,,,,,
                     State College of Science and Technology),"154,966",0,0,0,0,0,0,0,0,"19,410",873,0,"1,751",0,960,0,"1,988","7,088","15,559",0,0,"32,556",0,"235,151"
               Bohol Island State University  (Central,,,,,,,,,,,,,,,,,,,,,,,,
"                     Visayas State College of Agr., ",,,,,,,,,,,,,,,,,,,,,,,,
                     Forestry and Tech.),"71,144",0,"1,041",0,0,0,0,0,0,"8,416",400,0,806,0,377,0,0,"1,801","7,672",0,0,"14,599",0,"106,256"
               Negros Oriental State University,,,,,,,,,,,,,,,,,,,,,,,,
                     (Central Visayas Polytechnic College),"87,503",0,663,0,0,133,0,0,0,"9,763",437,0,972,0,429,0,0,"2,098","8,901",0,0,"17,696",0,"128,595"
               Siquijor State College,"19,861",0,295,0,0,24,0,0,0,"2,379",100,0,227,0,98,0,0,762,"2,152",0,0,"3,550",0,"29,448"
,,,,,,,,,,,,,,,,,,,,,,,,
          Region VIII - EASTERN VISAYAS,"862,466",0,"39,774",0,0,"22,989",0,"3,292",0,"103,342","4,835",0,"8,582",0,"4,681",0,0,"42,469","94,937",0,0,"175,508",0,"1,362,875"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Eastern Samar State University,"104,118",0,"3,644",0,0,"3,558",0,0,0,"12,592",627,0,"1,278",0,609,0,0,"5,056","11,835",0,0,"25,946",0,"169,263"
               Eastern Visayas State University (Leyte,,,,,,,,,,,,,,,,,,,,,,,,
                     Institute of Technology),"114,105",0,"1,762",0,0,784,0,0,0,"14,022",620,0,"1,069",0,649,0,0,"8,037","12,960",0,0,"23,098",0,"177,106"
               Leyte Normal University,"55,333",0,387,0,0,420,0,0,0,"6,527",296,0,520,0,294,0,0,"3,221","6,639",0,0,"7,394",0,"81,031"
               Visayas State University (Leyte State University),"166,414",0,"21,953",0,0,"8,588",0,0,0,"20,970",925,0,"1,626",0,885,0,0,"4,482","18,293",0,0,"37,574",0,"281,710"
               Naval State University (Naval Institute,,,,,,,,,,,,,,,,,,,,,,,,
                     of Technology),"46,051",0,"1,132",0,0,"2,184",0,0,0,"5,575",260,0,550,0,250,0,0,645,"5,135",0,0,"9,807",0,"71,589"
               Palompon Institute of Technology,"48,020",0,"2,667",0,0,628,0,"1,247",0,"5,777",251,0,415,0,291,0,0,"1,715","5,257",0,0,"10,470",0,"76,738"
               Southern Leyte State University,,,,,,,,,,,,,,,,,,,,,,,,
                     (Southern Leyte State College of,,,,,,,,,,,,,,,,,,,,,,,,
                     Sci. and Tech. and TONC),"79,563",0,"2,257",0,0,"1,239",0,0,0,"7,254",461,0,737,0,443,0,0,"4,478","7,709",0,0,"16,628",0,"120,769"
               Samar State University (Samar State,,,,,,,,,,,,,,,,,,,,,,,,
