particular,A110,A112,A115,A120,A125,A130,A140,A200,A310,A315,A320,A325,A330,A335,A340,A345,A500,A800,A850,A855,A900,A910,Total
,,,,,,,,,,,,,,,,,,,,,,,
DEPARTMENTS,"195,294,439","53,121,366","4,837,527","12,725,587","902,503","31,268","16,034","232,808","23,282,308","551,699","1,049,220","357,327","2,132,108","850,913","1,042,643","357,302","3,862,463","20,631,943","1,113,723","52,517,828","32,806,151","49,626,787","457,343,947"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
     Congress of the Philippines,"1,975,986",0,"242,340",0,"902,503","31,268","16,034",360,"237,121",0,"7,070",0,"15,688",0,"7,066",0,"142,252","194,117",0,0,"181,643",0,"3,953,448"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Senate,"639,463",0,"21,479",0,"391,085","6,267","5,347",0,"76,736",0,"2,308",0,"5,019",0,"2,304",0,"46,748","62,904",0,0,"59,289",0,"1,318,949"
               Senate Electoral Tribunal,"38,673",0,150,0,0,171,0,360,"4,641",0,142,0,306,0,142,0,"2,225","3,813",0,0,"3,637",0,"54,260"
          Commission on Appointments,"78,102",0,"5,583",0,0,"1,492","4,057",0,"9,373",0,251,0,585,0,251,0,"7,923","7,554",0,0,"6,466",0,"121,637"
          House of Representatives,"1,181,219",0,"215,128",0,"511,418","23,007","3,685",0,"141,747",0,"4,227",0,"9,470",0,"4,227",0,"81,176","116,045",0,0,"108,614",0,"2,399,963"
               House Electoral Tribunal,"38,529",0,0,0,0,331,"2,945",0,"4,624",0,142,0,308,0,142,0,"4,180","3,801",0,0,"3,637",0,"58,639"
,,,,,,,,,,,,,,,,,,,,,,,
     Office of the President,"217,186",0,"174,806",0,0,0,0,0,"26,064",0,"1,058",0,"2,003",0,"1,045",0,"14,063","22,500",331,0,"54,881",0,"513,937"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          The President's Offices,"217,186",0,"174,806",0,0,0,0,0,"26,064",0,"1,058",0,"2,003",0,"1,045",0,"14,063","22,500",331,0,"54,881",0,"513,937"
,,,,,,,,,,,,,,,,,,,,,,,
     Office of the Vice-President,"25,128",0,"7,175",0,0,0,0,0,"3,016",0,101,0,218,0,100,0,"1,332","2,515",0,0,"2,584",0,"42,169"
