particulars,total_12,total_34,amt_c,amt_b_12,amt_b_34,amt_a1_12,amt_a1_34,amt_a2_12,amt_a2_34,amt_u_12,amt_u_34,sw1
,,,,,,,,,,,,
          Inter-Country Adoption Board,25220,740,0,579,0,24641,740,0,0,0,0,0
,,,,,,,,,,,,
          National Council on Disability Affairs,29755,1665,0,1654,0,28101,1665,0,0,0,0,0
,,,,,,,,,,,,
          National Youth Commission,63980,900,0,2428,0,61552,900,0,0,0,0,0
,,,,,,,,,,,,
     Department of Tourism,1564198,90000,0,22435,0,1541763,90000,0,0,0,0,1
          Office of the Secretary,1382413,0,0,15340,0,1367073,0,0,0,0,0,0
,,,,,,,,,,,,
          Intramuros Administration,35052,0,0,1810,0,33242,0,0,0,0,0,0
,,,,,,,,,,,,
          National Parks Development Committee,146733,90000,0,5285,0,141448,90000,0,0,0,0,0
,,,,,,,,,,,,
     Department of Trade and Industry,2702181,82480,0,180098,0,2522083,82480,0,0,0,0,1
          Office of the Secretary,2309799,42000,0,164707,0,2145092,42000,0,0,0,0,0
,,,,,,,,,,,,
          Board of Investments,231049,0,0,8782,0,222267,0,0,0,0,0,0
,,,,,,,,,,,,
          Construction Industry Authority of the Philippines,50360,0,0,2246,0,48114,0,0,0,0,0,0
,,,,,,,,,,,,
          Construction Manpower Development Foundation,22390,0,0,1011,0,21379,0,0,0,0,0,0
,,,,,,,,,,,,
          Philippine Trade Training Center,35312,39940,0,1455,0,33857,39940,0,0,0,0,0
,,,,,,,,,,,,
          Product Development and Design Center of the Philippines,53271,540,0,1897,0,51374,540,0,0,0,0,0
,,,,,,,,,,,,
     Department of Transportation and Communications,13201726,21372758,0,733037,596111,12468689,20776647,0,0,0,0,1
          Office of the Secretary,12410401,21317658,0,392019,546111,12018382,20771547,0,0,0,0,0
,,,,,,,,,,,,
          Civil Aeronautics Board,44971,5000,0,2362,0,42609,5000,0,0,0,0,0
,,,,,,,,,,,,
          Maritime Industry Authority,383743,0,0,39190,0,344553,0,0,0,0,0,0
,,,,,,,,,,,,
          Office of Transportation Cooperatives,15607,100,0,931,0,14676,100,0,0,0,0,0
,,,,,,,,,,,,
          Office for Transportation Security,333462,50000,0,297765,50000,35697,0,0,0,0,0,0
,,,,,,,,,,,,
          Toll Regulatory Board,13542,0,0,770,0,12772,0,0,0,0,0,0
,,,,,,,,,,,,
     National Economic and Development Authority,2927678,41009,0,98429,0,2825002,39256,4247,1753,0,0,1
          Office of the Director-General,802241,23000,0,37735,0,764506,23000,0,0,0,0,0
,,,,,,,,,,,,
          National Statistical Coordination Board,91831,756,0,3735,0,88096,756,0,0,0,0,0
,,,,,,,,,,,,
          National Statistics Office,1734177,0,0,52977,0,1681200,0,0,0,0,0,0
,,,,,,,,,,,,
          Philippine National Volunteer Service,,,,,,,,,,,,
                Coordinating Agency,13955,0,0,622,0,13333,0,0,0,0,0,0
,,,,,,,,,,,,
          Public-Private Partnership Center of the Philippines,218220,7500,0,0,0,218220,7500,0,0,0,0,0
,,,,,,,,,,,,
          Statistical Research and Training Center,18471,8753,0,854,0,13370,7000,4247,1753,0,0,0
,,,,,,,,,,,,
          Tariff Commission,48783,1000,0,2506,0,46277,1000,0,0,0,0,0
,,,,,,,,,,,,
     Presidential Communications Operations Office,1012437,35509,0,50507,0,961930,35509,0,0,0,0,1
          Presidential Communications Operations Office (Proper),124151,0,0,1699,0,122452,0,0,0,0,0,0
,,,,,,,,,,,,
          Bureau of Broadcast Services,277772,0,0,16033,0,261739,0,0,0,0,0,0
,,,,,,,,,,,,
          Bureau of Communications Services,30778,1300,0,1471,0,29307,1300,0,0,0,0,0
,,,,,,,,,,,,
          National Printing Office,144549,0,0,10593,0,133956,0,0,0,0,0,0
,,,,,,,,,,,,
          News and Information Bureau,95686,0,0,6097,0,89589,0,0,0,0,0,0
,,,,,,,,,,,,
          Philippine Information Agency,233201,10000,0,11056,0,222145,10000,0,0,0,0,0
,,,,,,,,,,,,
          Presidential Broadcast Staff (RTVM),106300,24209,0,3558,0,102742,24209,0,0,0,0,0
,,,,,,,,,,,,
     Other Executive Offices,7901135,626631,0,1503152,4279,6397983,622352,0,0,0,0,1
          Anti-Money Laundering Council,14923,15176,0,0,0,14923,15176,0,0,0,0,0
,,,,,,,,,,,,
          Commission on Filipinos Overseas,51610,4527,0,1821,0,49789,4527,0,0,0,0,0
,,,,,,,,,,,,
          Commission on Higher Education,1957484,250000,0,786593,0,1170891,250000,0,0,0,0,0
,,,,,,,,,,,,
          Commission on the Filipino Language,36206,1300,0,2178,0,34028,1300,0,0,0,0,0
,,,,,,,,,,,,
          Dangerous Drugs Board,169042,1800,0,80061,0,88981,1800,0,0,0,0,0
,,,,,,,,,,,,
          Energy Regulatory Commission,213217,500,0,10828,0,202389,500,0,0,0,0,0
,,,,,,,,,,,,
          Film Development Council of the Philippines,57063,12049,0,21249,0,35814,12049,0,0,0,0,0
,,,,,,,,,,,,
          Games and Amusements Board,61885,4105,0,12467,0,49418,4105,0,0,0,0,0
,,,,,,,,,,,,
          Housing and Land Use Regulatory Board,215988,1557,0,13346,0,202642,1557,0,0,0,0,0
,,,,,,,,,,,,
          Housing and Urban Development Coordinating Council,110044,18380,0,2720,0,107324,18380,0,0,0,0,0
,,,,,,,,,,,,
          Mindanao Development Authority,60016,0,0,0,0,60016,0,0,0,0,0,0
,,,,,,,,,,,,
          Movie and Television Review and,,,,,,,,,,,,
                Classification Board,35090,8019,0,1260,0,33830,8019,0,0,0,0,0
,,,,,,,,,,,,
          National Anti-Poverty Commission,101336,1520,0,833,0,100503,1520,0,0,0,0,0
,,,,,,,,,,,,
          Climate Change Commission,63280,0,0,1787,0,61493,0,0,0,0,0,0
,,,,,,,,,,,,
          National Commission for Culture and the Arts,593937,136468,0,315914,4279,278023,132189,0,0,0,0,1
               National Commission for Culture and the,,,,,,,,,,,,
                     Arts (Proper),327927,4279,0,304918,4279,23009,0,0,0,0,0,0
               National Historical Commission of the,,,,,,,,,,,,
                     Philippines (National Historical Institute),88705,79025,0,3498,0,85207,79025,0,0,0,0,0
               The National Library of the Philippines,,,,,,,,,,,,
                     (The National Library),92998,48700,0,3873,0,89125,48700,0,0,0,0,0
               National Archives of the Philippines,,,,,,,,,,,,
                     (formerly Records Management and,,,,,,,,,,,,
                     Archives Office),84307,4464,0,3625,0,80682,4464,0,0,0,0,0
,,,,,,,,,,,,
          National Commission on Indigenous Peoples,739088,19018,0,39464,0,699624,19018,0,0,0,0,0
,,,,,,,,,,,,
          National Intelligence Coordinating Agency,458616,0,0,22445,0,436171,0,0,0,0,0,0
,,,,,,,,,,,,
          National Security Council,75541,0,0,2904,0,72637,0,0,0,0,0,0
,,,,,,,,,,,,
          National Commission on Muslim Filipinos,,,,,,,,,,,,
                (Office on Muslim Affairs),393993,0,0,26544,0,367449,0,0,0,0,0,0
,,,,,,,,,,,,
          National Telecommunications Commission,220997,0,0,13451,0,207546,0,0,0,0,0,0
,,,,,,,,,,,,
          Office of the Presidential Adviser on the,,,,,,,,,,,,
                Peace Process,569639,0,0,0,0,569639,0,0,0,0,0,0
,,,,,,,,,,,,
          Optical Media Board,39782,3180,0,1897,0,37885,3180,0,0,0,0,0
,,,,,,,,,,,,
          Philippine Commission on Women (National,,,,,,,,,,,,
                Commission on the Role of Filipino Women),102255,1030,0,60998,0,41257,1030,0,0,0,0,0
,,,,,,,,,,,,
          Pasig River Rehabilitation Commission,180014,113564,0,694,0,179320,113564,0,0,0,0,0
,,,,,,,,,,,,
          Philippine Drug Enforcement Agency,679777,0,0,36536,0,643241,0,0,0,0,0,0
,,,,,,,,,,,,
          Philippine Racing Commission,104600,1200,0,1926,0,102674,1200,0,0,0,0,0
,,,,,,,,,,,,
          Philippine Sports Commission,208526,0,0,30253,0,178273,0,0,0,0,0,0
,,,,,,,,,,,,
          Presidential Commission for the Urban Poor,76632,4830,0,3778,0,72854,4830,0,0,0,0,0
,,,,,,,,,,,,
          Presidential Communications Development and,,,,,,,,,,,,
                Strategic Planning Office,49351,3950,0,0,0,49351,3950,0,0,0,0,0
,,,,,,,,,,,,
          Presidential Legislative Liaison Office,23254,581,0,1078,0,22176,581,0,0,0,0,0
,,,,,,,,,,,,
          Presidential Management Staff,237949,23877,0,10127,0,227822,23877,0,0,0,0,0
,,,,,,,,,,,,
     Autonomous Region in Muslim Mindanao,11102724,1365899,0,750916,0,10351808,1365899,0,0,0,0,1
          Autonomous Regional Government in Muslim Mindanao,11102724,1365899,0,750916,0,10351808,1365899,0,0,0,0,0
,,,,,,,,,,,,
     Joint Legislative-Executive Councils,2137,0,0,0,0,2137,0,0,0,0,0,1
          Legislative-Executive Development Advisory Council,2137,0,0,0,0,2137,0,0,0,0,0,0
,,,,,,,,,,,,
     The Judiciary,13427759,278630,0,638405,0,12789354,278630,0,0,0,0,1
          Supreme Court of the Philippines and the,,,,,,,,,,,,
                Lower Courts,11953377,156020,0,573808,0,11379569,156020,0,0,0,0,0
               Presidential Electoral Tribunal,39955,0,0,2360,0,37595,0,0,0,0,0,0
,,,,,,,,,,,,
          Sandiganbayan,247638,86918,0,9140,0,238498,86918,0,0,0,0,0
,,,,,,,,,,,,
          Court of Appeals,998076,31508,0,45595,0,952481,31508,0,0,0,0,0
,,,,,,,,,,,,
          Court of Tax Appeals,188713,4184,0,7502,0,181211,4184,0,0,0,0,0
,,,,,,,,,,,,
     Civil Service Commission,690042,8900,0,44530,0,645512,8900,0,0,0,0,1
          Civil Service Commission,642431,6412,0,42788,0,599643,6412,0,0,0,0,0
               Career Executive Service Board,47611,2488,0,1742,0,45869,2488,0,0,0,0,0
,,,,,,,,,,,,
     Commission on Audit,4881172,269776,0,367362,0,4513810,269776,0,0,0,0,0
,,,,,,,,,,,,
     Commission on Elections,9978834,12000,0,126197,0,9852637,12000,0,0,0,0,0
,,,,,,,,,,,,
     Office of the Ombudsman,769778,16122,0,44947,0,724831,16122,0,0,0,0,0
,,,,,,,,,,,,
     Commission on Human Rights,267083,12700,0,16683,0,250400,12700,0,0,0,0,0
,,,,,,,,,,,,
SPECIAL PURPOSE FUNDS,825234566,49781917,0,639697666,23000000,185536900,26781917,0,0,45472589,116217458,1
,,,,,,,,,,,,
     Budgetary Support to Government Corporations,18170713,25079622,0,236200,23000000,17934513,2079622,0,0,0,0,1
          Department of Agriculture,7667699,0,0,229200,0,7438499,0,0,0,0,0,1
               National Dairy Authority,170472,0,0,0,0,170472,0,0,0,0,0,0
               National Food Authority,4000000,0,0,0,0,4000000,0,0,0,0,0,0
               National Irrigation Administration,2060598,0,0,0,0,2060598,0,0,0,0,0,0
               National Tobacco Administration,219200,0,0,219200,0,0,0,0,0,0,0,0
               Philippine Coconut Authority,692757,0,0,10000,0,682757,0,0,0,0,0,0
               Philippine Crop Insurance Corporation,183771,0,0,0,0,183771,0,0,0,0,0,0
               Philippine Rice Research Institute,340901,0,0,0,0,340901,0,0,0,0,0,0
,,,,,,,,,,,,
          Department of Energy,2568500,0,0,0,0,2568500,0,0,0,0,0,1
               National Electrification Administration,2568500,0,0,0,0,2568500,0,0,0,0,0,0
,,,,,,,,,,,,
          Department of Health,894360,0,0,0,0,894360,0,0,0,0,0,1
               Lung Center of the Philippines,157560,0,0,0,0,157560,0,0,0,0,0,0
               National Kidney and Transplant Institute,164800,0,0,0,0,164800,0,0,0,0,0,0
               Philippine Children`s Medical Center,345000,0,0,0,0,345000,0,0,0,0,0,0
               Philippine Heart Center,187000,0,0,0,0,187000,0,0,0,0,0,0
               Philippine Institute of Traditional and,,,,,,,,,,,,
                     Alternative Health Care,40000,0,0,0,0,40000,0,0,0,0,0,0
,,,,,,,,,,,,
          Department of Tourism,0,250000,0,0,0,0,250000,0,0,0,0,1
               Tourism Promotions Board,0,250000,0,0,0,0,250000,0,0,0,0,0
,,,,,,,,,,,,
          Department of Trade and Industry,151510,277500,0,0,0,151510,277500,0,0,0,0,1
               Aurora Pacific Economic Zone and,,,,,,,,,,,,
                     Freeport Authority (formerly ASEZA),55000,277500,0,0,0,55000,277500,0,0,0,0,0
               Center for International Trade,,,,,,,,,,,,
                     Expositions and Missions,88510,0,0,0,0,88510,0,0,0,0,0,0
               Cottage Industry Technology Center,8000,0,0,0,0,8000,0,0,0,0,0,0
,,,,,,,,,,,,
          Department of Transportation and Communications,301000,0,0,0,0,301000,0,0,0,0,0,1
               Philippine Postal Corporation,301000,0,0,0,0,301000,0,0,0,0,0,0
,,,,,,,,,,,,
          National Economic and Development Authority,33000,0,0,0,0,33000,0,0,0,0,0,1
               Philippine Institute for Development Studies,33000,0,0,0,0,33000,0,0,0,0,0,0
,,,,,,,,,,,,
          Other Executive Offices,6541038,1552122,0,7000,0,6534038,1552122,0,0,0,0,1
               Authority of the Freeport Area of Bataan,0,100000,0,0,0,0,100000,0,0,0,0,0
               Cagayan Economic Zone Authority,12003,903500,0,0,0,12003,903500,0,0,0,0,0
               Credit Information Corporation,28410,37622,0,0,0,28410,37622,0,0,0,0,0
               Cultural Center of the Philippines,202000,0,0,7000,0,195000,0,0,0,0,0,0
               Development Academy of the Philippines,45000,0,0,0,0,45000,0,0,0,0,0,0
               Home Guaranty Corporation,0,500000,0,0,0,0,500000,0,0,0,0,0
               National Home Mortgage Finance Corporation,500000,0,0,0,0,500000,0,0,0,0,0,0
               National Housing Authority,5631025,0,0,0,0,5631025,0,0,0,0,0,0
               Philippine Center for Economic Development,14500,0,0,0,0,14500,0,0,0,0,0,0
               Southern Philippines Development Authority,59000,0,0,0,0,59000,0,0,0,0,0,0
               Zamboanga City Special Economic Zone Authority,49100,11000,0,0,0,49100,11000,0,0,0,0,0
,,,,,,,,,,,,
          Budgetary Support to Government Corporations,,,,,,,,,,,,
                - Others,13606,0,0,0,0,13606,0,0,0,0,0,0
,,,,,,,,,,,,
          Net Lending,0,23000000,0,0,23000000,0,0,0,0,0,0,0
,,,,,,,,,,,,
     Allocation to Local Government Units,291292956,322000,0,273311466,0,17981490,322000,0,0,0,0,1
          Internal Revenue Allotment,273309592,0,0,273309592,0,0,0,0,0,0,0,0
,,,,,,,,,,,,
          Special Shares of Local Government Units in,,,,,,,,,,,,
                the Proceeds of National Taxes,16679895,0,0,0,0,16679895,0,0,0,0,0,0
,,,,,,,,,,,,
          Barangay Officials Death Benefits Fund,50000,0,0,0,0,50000,0,0,0,0,0,0
,,,,,,,,,,,,
          Metropolitan Manila Development Authority,1053469,322000,0,1874,0,1051595,322000,0,0,0,0,0
,,,,,,,,,,,,
          Financial Subsidy to Local Government Units,200000,0,0,0,0,200000,0,0,0,0,0,0
,,,,,,,,,,,,
     Calamity Fund,3450000,4050000,0,0,0,3450000,4050000,0,0,0,0,0
,,,,,,,,,,,,
     Contingent Fund,740000,260000,0,0,0,740000,260000,0,0,0,0,0
,,,,,,,,,,,,
     Department of Education - School Building Program,0,1000000,0,0,0,0,1000000,0,0,0,0,0
,,,,,,,,,,,,
     E-Government Fund,0,1000000,0,0,0,0,1000000,0,0,0,0,0
,,,,,,,,,,,,
     International Commitments Fund,1795953,887295,0,0,0,1795953,887295,0,0,0,0,0
,,,,,,,,,,,,
     Miscellaneous Personnel Benefits Fund,101490053,0,0,0,0,101490053,0,0,0,0,0,0
,,,,,,,,,,,,
     Retirement Benefits Fund (Pension and Gratuity Fund),34437891,0,0,0,0,34437891,0,0,0,0,0,0
,,,,,,,,,,,,
     Priority Development Assistance Fund,7707000,17183000,0,0,0,7707000,17183000,0,0,0,0,0
,,,,,,,,,,,,
     Tax Expenditures Fund,33043000,0,0,33043000,0,0,0,0,0,0,0,0
,,,,,,,,,,,,
     Debt Service Fund-Interest Payment,333107000,0,0,333107000,0,0,0,0,0,0,0,0
,,,,,,,,,,,,
     Unprogrammed Fund,0,0,0,0,0,0,0,0,0,45472589,116217458,0
