particulars,total_12,total_34,amt_c,amt_b_12,amt_b_34,amt_a1_12,amt_a1_34,amt_a2_12,amt_a2_34,amt_u_12,amt_u_34,sw1
               Aurora State College of Technology,36780,0,0,2399,0,34381,0,0,0,0,0,0
               Bataan Peninsula State University,157306,0,0,11118,0,146188,0,0,0,0,0,0
               Central Luzon State University,301242,0,0,23011,0,278231,0,0,0,0,0,0
               Bulacan State University,219212,0,0,14619,0,204593,0,0,0,0,0,0
               Bulacan Agricultural State College,44720,0,0,3420,0,41300,0,0,0,0,0,0
               Don Honorio Ventura Technological State,,,,,,,,,,,,
                     University (DHVCAT),101168,0,0,7568,0,93600,0,0,0,0,0,0
               Nueva Ecija University of Science and Technology,176132,0,0,12995,0,163137,0,0,0,0,0,0
               Pampanga Agricultural College,101233,0,0,7557,0,93676,0,0,0,0,0,0
               Philippine Merchant Marine Academy,98361,0,0,4837,0,93524,0,0,0,0,0,0
               Ramon Magsaysay Technological University,102508,0,0,7455,0,95053,0,0,0,0,0,0
               Tarlac College of Agriculture,96503,0,0,7588,0,88915,0,0,0,0,0,0
               Tarlac State University,142130,0,0,10704,0,131426,0,0,0,0,0,0
,,,,,,,,,,,,
          Region IV-A - CALABARZON,989030,0,0,68972,0,920058,0,0,0,0,0,1
               Batangas State University,225236,0,0,14833,0,210403,0,0,0,0,0,0
               Cavite State University,195544,0,0,13433,0,182111,0,0,0,0,0,0
               Laguna State Polytechnic University,,,,,,,,,,,,
                     (Laguna State Polytechnic College),166982,0,0,11963,0,155019,0,0,0,0,0,0
               Southern Luzon State University,,,,,,,,,,,,
                     (Southern Luzon Polytechnic College),150628,0,0,10119,0,140509,0,0,0,0,0,0
               University of Rizal System,250640,0,0,18624,0,232016,0,0,0,0,0,0
,,,,,,,,,,,,
          Region IV-B - MIMAROPA,625767,0,0,46056,0,579711,0,0,0,0,0,1
               Marinduque State College,63817,0,0,4536,0,59281,0,0,0,0,0,0
               Mindoro State College of Agriculture and Technology,73746,0,0,5612,0,68134,0,0,0,0,0,0
               Occidental Mindoro State College,,,,,,,,,,,,
                     (Occidental Mindoro National College),95443,0,0,7037,0,88406,0,0,0,0,0,0
               Palawan State University,180858,0,0,12923,0,167935,0,0,0,0,0,0
               Romblon State University (Romblon State College),107465,0,0,8273,0,99192,0,0,0,0,0,0
               Western Philippines University,104438,0,0,7675,0,96763,0,0,0,0,0,0
,,,,,,,,,,,,
          Region V - BICOL,1162181,0,0,81996,0,1080185,0,0,0,0,0,1
               Bicol University,387120,0,0,26600,0,360520,0,0,0,0,0,0
               Camarines Norte State College,105152,0,0,8093,0,97059,0,0,0,0,0,0
               Camarines Sur Polytechnic Colleges,107098,0,0,6758,0,100340,0,0,0,0,0,0
               Central Bicol State University of,,,,,,,,,,,,
                     Agriculture  (Camarines Sur State,,,,,,,,,,,,
                     Agricultural College),170889,0,0,12128,0,158761,0,0,0,0,0,0
               Catanduanes State Colleges,149917,0,0,10671,0,139246,0,0,0,0,0,0
"               Dr. Emilio B. Espinosa, Sr. Memorial",,,,,,,,,,,,
                     State College of Agriculture and Technology,39143,0,0,2826,0,36317,0,0,0,0,0,0
               Partido State University,100010,0,0,7562,0,92448,0,0,0,0,0,0
               Sorsogon State College,102852,0,0,7358,0,95494,0,0,0,0,0,0
,,,,,,,,,,,,
          Region VI - WESTERN VISAYAS,1608693,0,0,121277,0,1487416,0,0,0,0,0,1
               Aklan State University,155471,0,0,11692,0,143779,0,0,0,0,0,0
               Capiz State University,263189,0,0,20994,0,242195,0,0,0,0,0,0
               Carlos C. Hilado Memorial State College,107083,0,0,7921,0,99162,0,0,0,0,0,0
