flag,dsc,act_nga,act_gc,act_lgu,act_cred,adj_nga,adj_gc,adj_lgu,adj_cred,pro_nga,pro_gc,pro_lgu,pro_cred,seq_no
1,Personal Services,457507745,0,52398,0,540135908,0,21088,0,593271891,0,21518,0,1
1,Maintenance and Other Operating Expenses,169409380,0,9581249,0,230439384,0,1001905,0,299867552,0,1281951,0,2
1,Allotment to LGUs (IRA),0,0,212641901.6,0,0,0,229555391.2,0,0,0,218647673.6,0,3
1,Subsidy,0,62511940,0,0,0,9776811,0,0,0,18170713,0,0,5
1,Interest Payments,0,0,0,294244000,0,0,0,357090000,0,0,0,333107000,6
2,Infrastructure,160799965,0,260459,0,131837719,0,208000,0,187672709,0,322000,0,1
2,Capital Transfer to LGUs (IRA),0,0,53160475.4,0,0,0,57388847.8,0,0,0,54661918.4,0,2
2,Special Shares to LGUs,0,0,11445118,0,0,0,11871126,0,0,0,16679895,0,3
2,Equity,0,2393678,0,0,0,1005550,0,0,0,2079622,0,0,4
2,Other Capital Outlays,29711120,0,0,0,59668270,0,0,0,67215557,0,0,0,5
3,NET LENDING,0,9258000,0,0,0,15000000,0,0,0,23000000,0,0,1
