Particular,A031,A032,A033,A034,A035,A036,A038,A040,A041,A042,A960,Total
          Office of the Secretary,0,0,0,0,0,"41,109",0,"3,199",0,0,0,"44,308"
,,,,,,,,,,,,
     Department of Environment and Natural Resources,0,0,0,"405,338","305,677","198,184","9,800","255,397",0,"1,352,682",0,"2,527,078"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
          Office of the Secretary,0,0,0,"403,338","230,480","188,200","9,800","25,847",0,"1,352,682",0,"2,210,347"
          Environmental Management Bureau,0,0,0,0,"75,197",0,0,"156,674",0,0,0,"231,871"
          Mines and Geo-Sciences Bureau,0,0,0,"2,000",0,"4,395",0,"60,511",0,0,0,"66,906"
          National Mapping and Resource Information Authority,0,0,0,0,0,"4,204",0,"12,365",0,0,0,"16,569"
          National Water Resources Board,0,0,0,0,0,"1,385",0,0,0,0,0,"1,385"
,,,,,,,,,,,,
     Department of Finance,0,"122,400","300,000",0,"147,043","132,526",0,"1,500","881,599",0,0,"1,585,068"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
          Office of the Secretary,0,"122,400","300,000",0,0,"1,293",0,0,"881,599",0,0,"1,305,292"
          Bureau of Internal Revenue,0,0,0,0,"46,630",0,0,0,0,0,0,"46,630"
          Bureau of Local Government Finance,0,0,0,0,0,"14,107",0,0,0,0,0,"14,107"
          Bureau of the Treasury,0,0,0,0,"100,413","94,213",0,0,0,0,0,"194,626"
          Insurance Commission,0,0,0,0,0,"22,613",0,"1,500",0,0,0,"24,113"
          National Tax Research Center,0,0,0,0,0,300,0,0,0,0,0,300
,,,,,,,,,,,,
     Department of Foreign Affairs,0,0,0,0,"151,545",200,0,0,0,0,0,"151,745"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
          Office of the Secretary,0,0,0,0,"151,545",0,0,0,0,0,0,"151,545"
          Foreign Service Institute,0,0,0,0,0,200,0,0,0,0,0,200
,,,,,,,,,,,,
     Department of Health,0,0,0,0,"6,889,492","233,860",0,"313,679","1,500,000",0,0,"8,937,031"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
          Office of the Secretary,0,0,0,0,"6,883,009","230,249",0,"313,679","1,500,000",0,0,"8,926,937"
          Commission on Population,0,0,0,0,"6,483","3,611",0,0,0,0,0,"10,094"
,,,,,,,,,,,,
     Department of the Interior and Local Government,0,0,0,0,"139,458","8,980",0,"3,067,750",0,0,0,"3,216,188"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
          Bureau of Fire Protection,0,0,0,0,0,0,0,"1,052,000",0,0,0,"1,052,000"
          Bureau of Jail Management and Penology,0,0,0,0,"39,458",0,0,"15,750",0,0,0,"55,208"
          Philippine National Police,0,0,0,0,"100,000",0,0,"2,000,000",0,0,0,"2,100,000"
          Philippine Public Safety College,0,0,0,0,0,"8,980",0,0,0,0,0,"8,980"
,,,,,,,,,,,,
     Department of Justice,0,0,0,0,0,"77,621","14,000","3,500",0,0,0,"95,121"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
          Office of the Secretary,0,0,0,0,0,"35,891",0,0,0,0,0,"35,891"
          Bureau of Corrections,0,0,0,0,0,0,0,"3,500",0,0,0,"3,500"
          Land Registration Authority,0,0,0,0,0,"16,730","14,000",0,0,0,0,"30,730"
          National Bureau of Investigation,0,0,0,0,0,"25,000",0,0,0,0,0,"25,000"
,,,,,,,,,,,,
     Department of Labor and Employment,0,0,0,"44,561","47,732","62,610",0,"14,560",0,0,0,"169,463"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
          Office of the Secretary,0,0,0,0,300,"11,200",0,0,0,0,0,"11,500"
          Institute for Labor Studies,0,0,0,0,0,"2,915",0,0,0,0,0,"2,915"
          National Conciliation and Mediation Board,0,0,0,0,0,"1,383",0,0,0,0,0,"1,383"
          National Labor Relations Commission,0,0,0,0,0,"10,260",0,0,0,0,0,"10,260"
          National Maritime Polytechnic,0,0,0,0,"17,732","2,640",0,"14,560",0,0,0,"34,932"
          National Wages and Productivity Commission,0,0,0,0,0,"13,492",0,0,0,0,0,"13,492"
          Philippine Overseas Employment Administration,0,0,0,0,"24,700","1,720",0,0,0,0,0,"26,420"
          Professional Regulation Commission,0,0,0,"44,561",0,"4,000",0,0,0,0,0,"48,561"
          Technical Education and Skills Development Authority,0,0,0,0,"5,000","15,000",0,0,0,0,0,"20,000"
,,,,,,,,,,,,
     Department of National Defense,0,0,0,0,"43,000","2,000",0,"5,040,752",0,0,0,"5,085,752"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
          Government Arsenal,0,0,0,0,0,0,0,"10,000",0,0,0,"10,000"
          Philippine Veterans Affairs Office,0,0,0,0,"43,000",0,0,"10,000",0,0,0,"53,000"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
               Veterans Memorial Medical Center,0,0,0,0,"43,000",0,0,"10,000",0,0,0,"53,000"
,,,,,,,,,,,,
          Armed Forces of the Philippines,0,0,0,0,0,"2,000",0,"5,020,752",0,0,0,"5,022,752"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
               Philippine Army (Land Forces),0,0,0,0,0,0,0,"20,752",0,0,0,"20,752"
"               General Headquarters, AFP and AFP Wide",,,,,,,,,,,,
                     Service Support Units (AFPWSSUS),0,0,0,0,0,"2,000",0,"5,000,000",0,0,0,"5,002,000"
,,,,,,,,,,,,
     Department of Public Works and Highways,0,0,0,0,0,"15,000",0,0,"90,672,201",0,0,"90,687,201"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
          Office of the Secretary,0,0,0,0,0,"15,000",0,0,"90,672,201",0,0,"90,687,201"
,,,,,,,,,,,,
     Department of Science and Technology,0,"10,000",0,"7,500","201,425","58,196",0,"338,647",0,0,0,"615,768"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
          Office of the Secretary,0,0,0,"7,500","26,200",0,0,"49,090",0,0,0,"82,790"
          Advanced Science and Technology Institute,0,0,0,0,0,"10,065",0,0,0,0,0,"10,065"
          Food and Nutrition Research Institute,0,0,0,0,"15,000","2,000",0,"4,092",0,0,0,"21,092"
          Forest Products Research and Development Institute,0,0,0,0,"7,500",0,0,"13,761",0,0,0,"21,261"
          Industrial Technology Development Institute,0,0,0,0,"16,082",0,0,"6,168",0,0,0,"22,250"
          Information and Communications Technology Office,0,0,0,0,0,"4,004",0,0,0,0,0,"4,004"
          Metals Industry Research and Development Center,0,0,0,0,"5,000",0,0,"20,030",0,0,0,"25,030"
          National Research Council of the Philippines,0,0,0,0,"6,000",0,0,0,0,0,0,"6,000"
"          Philippine Atmospheric, Geophysical and",,,,,,,,,,,,
                Astronomical Services Administration,0,0,0,0,"13,313",0,0,"201,451",0,0,0,"214,764"
"          Philippine Council for Agriculture, Forestry",,,,,,,,,,,,
                and Natural Resources Research and Development,0,0,0,0,0,0,0,"1,782",0,0,0,"1,782"
          Philippine Council for Health Research and Development,0,0,0,0,0,"1,700",0,0,0,0,0,"1,700"
"          Philippine Council for Industry, Energy and",,,,,,,,,,,,
                Emerging Technology Research and Development,0,0,0,0,0,"2,715",0,0,0,0,0,"2,715"
          Philippine Institute of Volcanology and Seismology,0,0,0,0,"36,850","2,864",0,"23,079",0,0,0,"62,793"
          Philippine Nuclear Research Institute,0,0,0,0,"5,480","6,858",0,"15,167",0,0,0,"27,505"
          Philippine Science High School,0,0,0,0,"50,000","27,000",0,0,0,0,0,"77,000"
          Philippine Textile Research Institute,0,0,0,0,"10,000",0,0,"3,877",0,0,0,"13,877"
          Science Education Institute,0,0,0,0,0,990,0,0,0,0,0,990
          Science and Technology Information Institute,0,0,0,0,"7,000",0,0,150,0,0,0,"7,150"
          Technology Application and Promotion Institute,0,"10,000",0,0,"3,000",0,0,0,0,0,0,"13,000"
,,,,,,,,,,,,
     Department of Social Welfare and Development,0,0,0,0,"53,041","301,040",0,20,0,0,0,"354,101"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
          Office of the Secretary,0,0,0,0,"52,441","298,790",0,20,0,0,0,"351,251"
          Council for the Welfare of Children,0,0,0,0,0,"1,200",0,0,0,0,0,"1,200"
          Inter-Country Adoption Board,0,0,0,0,600,650,0,0,0,0,0,"1,250"
          National Youth Commission,0,0,0,0,0,400,0,0,0,0,0,400
,,,,,,,,,,,,
