particulars,amt_actual,amt_adj,amt_prop,level,bold,year,sort_ord,ord_tag,sect_dsc,ssect_dsc,agy_type,owner_cd,dept,agy,owner_dsc,sect_cd
             Office of the Secretary,29903890,30581608,50220417,0,0,2012,1,0,ECONOMIC SERVICES,Agriculture and Agrarian Reform,,,,,,1
             Agricultural Credit Policy Council,25980,25710,27532,0,0,2012,2,0,ECONOMIC SERVICES,Agriculture and Agrarian Reform,,,,,,1
             Bureau of Fisheries and Aquatic Resources,2469462,2366619,2520194,0,0,2012,3,0,ECONOMIC SERVICES,Agriculture and Agrarian Reform,,,,,,1
             Philippine Center for Postharvest Development
                and Mechanization,150426,101477,140040,0,0,2012,4,0,ECONOMIC SERVICES,Agriculture and Agrarian Reform,,,,,,1
             Cotton Development Administration,53580,57663,53830,0,0,2012,5,0,ECONOMIC SERVICES,Agriculture and Agrarian Reform,,,,,,1
             Fertilizer and Pesticide Authority,53373,49518,53019,0,0,2012,6,0,ECONOMIC SERVICES,Agriculture and Agrarian Reform,,,,,,1
             Fiber Industry Development Authority,232314,214906,219619,0,0,2012,7,0,ECONOMIC SERVICES,Agriculture and Agrarian Reform,,,,,,1
             Livestock Development Council,17452,17677,18662,0,0,2012,8,0,ECONOMIC SERVICES,Agriculture and Agrarian Reform,,,,,,1
             National Agricultural and Fishery Council,890623,935813,85941,0,0,2012,9,0,ECONOMIC SERVICES,Agriculture and Agrarian Reform,,,,,,1
             National Meat Inspection Service ,219756,242062,228095,0,0,2012,10,0,ECONOMIC SERVICES,Agriculture and Agrarian Reform,,,,,,1
             Philippine Carabao Center,707215,605323,499471,0,0,2012,11,0,ECONOMIC SERVICES,Agriculture and Agrarian Reform,,,,,,1
      Department of Agrarian Reform,10273404,12739306,15783501,0,0,2012,12,0,ECONOMIC SERVICES,Agriculture and Agrarian Reform,,,,,,1
"             Philippine Council for Agriculture, Forestry and
                Natural Resources Research and Development",318593,296216,296493,0,0,2012,13,0,ECONOMIC SERVICES,Agriculture and Agrarian Reform,,,,,,1
             Philippine Council for Aquatic and Marine Research
                and Development,102315,37715,49858,0,0,2012,14,0,ECONOMIC SERVICES,Agriculture and Agrarian Reform,,,,,,1
      National Agribusiness Corporation,20000,0,0,0,0,2012,15,0,ECONOMIC SERVICES,Agriculture and Agrarian Reform,,,,,,1
      National Dairy Authority,52200,51619,170472,0,0,2012,16,0,ECONOMIC SERVICES,Agriculture and Agrarian Reform,,,,,,1
      National Food Authority,38394086,2500000,4000000,0,0,2012,17,0,ECONOMIC SERVICES,Agriculture and Agrarian Reform,,,,,,1
      National Irrigation Administration,0,0,2060598,0,0,2012,18,0,ECONOMIC SERVICES,Agriculture and Agrarian Reform,,,,,,1
      National Tobacco Administration,478990,77454,219200,0,0,2012,19,0,ECONOMIC SERVICES,Agriculture and Agrarian Reform,,,,,,1
      Philippine Coconut Authority,593086,549915,692757,0,0,2012,20,0,ECONOMIC SERVICES,Agriculture and Agrarian Reform,,,,,,1
      Philippine Crop Insurance Corporation,144271,113771,183771,0,0,2012,21,0,ECONOMIC SERVICES,Agriculture and Agrarian Reform,,,,,,1
      Philippine Rice Research Institute,418000,91000,340901,0,0,2012,22,0,ECONOMIC SERVICES,Agriculture and Agrarian Reform,,,,,,1
      Southern Philippines Development Authority,30000,59000,59000,0,0,2012,23,0,ECONOMIC SERVICES,Agriculture and Agrarian Reform,,,,,,1
      Bases Conversion Development Authority,689587,0,0,0,0,2012,24,0,ECONOMIC SERVICES,Agriculture and Agrarian Reform,,,,,,1
      Calamity Fund,0,755000,1132500,0,0,2012,25,0,ECONOMIC SERVICES,Agriculture and Agrarian Reform,,,,,,1
      Miscellaneous Personnel Benefits Fund,0,1554466,2232781,0,0,2012,26,0,ECONOMIC SERVICES,Agriculture and Agrarian Reform,,,,,,1
      Priority Development Assistance Fund,0,6696640,6770080,0,0,2012,27,0,ECONOMIC SERVICES,Agriculture and Agrarian Reform,,,,,,1
      Payapa at Masaganang Pamayanan Fund,0,0,0,0,0,2012,28,0,ECONOMIC SERVICES,Agriculture and Agrarian Reform,,,,,,1
      Tax Expenditures Fund,0,5250000,11565050,0,0,2012,29,0,ECONOMIC SERVICES,Agriculture and Agrarian Reform,,,,,,1
             Office of the Secretary,9588338,9347590,14868267,0,0,2012,30,0,ECONOMIC SERVICES,Natural Resources and Environment,,,,,,1
             Environmental Management Bureau,620647,752279,832679,0,0,2012,31,0,ECONOMIC SERVICES,Natural Resources and Environment,,,,,,1
             Mines and Geo-Sciences Bureau,655910,717439,742494,0,0,2012,32,0,ECONOMIC SERVICES,Natural Resources and Environment,,,,,,1
             National Mapping and Resource Information Authority,817057,681764,926273,0,0,2012,33,0,ECONOMIC SERVICES,Natural Resources and Environment,,,,,,1
