particulars,amt_a_100,amt_a_200,amt_a_300,amt_b_100,amt_b_200,amt_b_300,amt_c_100,amt_c_200,amt_c_300,sw1,sw2
,,,,,,,,,,,
DEPARTMENTS,457507745,169409380,190511085,434478368,200338064,170622489,457343947,253131599,230507971,1,
,,,,,,,,,,,
   Congress of the Philippines,4057604,4758834,446114,3856245,4811488,55300,3953448,4778130,146300,1,
     Senate,1230145,1391900,28868,1272786,1376038,45000,1318949,1376038,45000,,
        Senate Electoral Tribunal,54032,62921,3548,65944,35029,300,54260,35483,300,,
     Commission on Appointments,121529,245818,0,155093,241945,0,121637,294354,1000,,
     House of Representatives,2584763,3016332,407550,2288742,3114083,10000,2399963,3027059,100000,,
        House Electoral Tribunal,67135,41863,6148,73680,44393,0,58639,45196,0,,
,,,,,,,,,,,
   Office of the President,531232,1836474,37319,532167,1838081,108000,513937,2057243,150637,1,
     The President's Offices,531232,1836474,37319,532167,1838081,108000,513937,2057243,150637,,
,,,,,,,,,,,
   Office of the Vice-President,38262,138435,0,39268,145301,3236,42169,256871,105762,,
,,,,,,,,,,,
   Department of Agrarian Reform,4735569,3842589,1821053,4612723,10416433,1676260,4825748,9923494,3534259,1,
     Office of the Secretary,4735569,3842589,1821053,4612723,10416433,1676260,4825748,9923494,3534259,,
,,,,,,,,,,,
   Department of Agriculture,3558939,10550326,20716019,3098624,12105667,19994085,3300737,13538981,37227102,1,
     Office of the Secretary,2535947,8387437,19037181,2205139,9134302,19242167,2329815,11283499,36607103,,
     Agricultural Credit Policy Council,18852,7471,0,17151,8559,0,18768,8764,0,,
     Bureau of Fisheries and Aquatic Resources,428686,1463819,596557,378048,1702770,285801,409733,1747152,363309,,
     Cotton Development Administration,47648,5932,0,42684,8467,6512,45160,8670,0,,
     Fertilizer and Pesticide Authority,29592,21744,2645,26725,22793,0,28879,23340,800,,
     Fiber Industry Development Authority,161730,67370,5771,146457,64049,4400,153585,65734,300,,
     Livestock Development Council,9142,8310,0,8595,9082,0,8862,8800,1000,,
     National Agricultural and Fishery Council,47252,286123,559529,41735,891200,2878,43374,42567,0,,
     National Meat Inspection Service,134141,62033,28121,120638,55424,66000,133509,94586,0,,
     Philippine Carabao Center,68821,173575,465089,64525,159471,381327,69861,201630,227980,,
     Philippine Center for Postharvest,,,,,,,,,,,
        Development and Mechanization,77128,66512,21126,46927,49550,5000,59191,54239,26610,,
,,,,,,,,,,,
   Department of Budget and Management,1063118,261434,356019,351354,397906,31620,357533,414899,93076,1,
