particulars,amt_actual,amt_adj,amt_prop,level,bold,year,sort_ord,ord_tag,sect_cd,ssect_cd,agy_type,owner_cd,dept,agy,owner_dsc,amt_actual_orig,amt_adj_orig,amt_prop_orig
ECONOMIC SERVICES,380727992,361669886,438410610,1,1,2012,,0,1,,,,,,,380727992,361669886,438410610
,,,,0,0,2012,,0,,,,,,,,,,
Agriculture and Agrarian Reform,86238603,65970478,99623782,2,1,2012,,0,1,02,,,,,,86238603,65970478,99623782
,,,,0,0,2012,,0,,,,,,,,,,
   Department/Agencies,45418383,48271613,70196672,3,1,2012,,0,1,02,DEPT,,,,,45418383,48271613,70196672
      Department of Agriculture,34724071,35198376,54066820,4,0,2012,,0,1,02,DEPT,,Department of Agriculture,Department of Agriculture,,34724071,35198376,54066820
             Office of the Secretary,29903890,30581608,50220417,0,0,2012,1,0,1,02,DEPT,OSEC-DA,Department of Agriculture,Office of the Secretary,,29903890,30581608,50220417
             Agricultural Credit Policy Council,25980,25710,27532,0,0,2012,2,0,1,02,DEPT,ACPC,Department of Agriculture,Agricultural Credit Policy Council,,25980,25710,27532
             Bureau of Fisheries and Aquatic Resources,2469462,2366619,2520194,0,0,2012,3,0,1,02,DEPT,BFAR,Department of Agriculture,Bureau of Fisheries and Aquatic Resources,,2469462,2366619,2520194
             Philippine Center for Postharvest Development
                and Mechanization,150426,101477,140040,0,0,2012,4,0,1,02,DEPT,BUPHIRE,Department of Agriculture,Philippine Center for Postharvest Development and Mechanization,,150426,101477,140040
             Cotton Development Administration,53580,57663,53830,0,0,2012,5,0,1,02,DEPT,CODA,Department of Agriculture,Cotton Development Administration,,53580,57663,53830
             Fertilizer and Pesticide Authority,53373,49518,53019,0,0,2012,6,0,1,02,DEPT,FPA,Department of Agriculture,Fertilizer and Pesticide Authority,,53373,49518,53019
             Fiber Industry Development Authority,232314,214906,219619,0,0,2012,7,0,1,02,DEPT,FIDA,Department of Agriculture,Fiber Industry Development Authority,,232314,214906,219619
             Livestock Development Council,17452,17677,18662,0,0,2012,8,0,1,02,DEPT,LDC,Department of Agriculture,Livestock Development Council,,17452,17677,18662
