particulars,own_type,amta1,amta2,amta3,amta4,amta5,amtb1,amtb2,amtb3,amtb4,amtb5,amtc1,amtc2,amtc3,amtc4,amtc5,sw
,,,,,,,,,,,,,,,,,
DEPARTMENTS,,135500415,21099905,451319956,178874587,30633347,97951613,25356547,482658821,155215256,44256684,99210856,36872265,541823508,222819274,40257614,1
,,,,,,,,,,,,,,,,,
     Congress of the Philippines,,4604397,0,4180464,477691,0,3516904,0,4667813,538316,0,3826244,0,4327981,723653,0,
     Office of the President,,1378814,0,869855,156356,0,1404533,0,297948,775767,0,1643660,0,1078157,0,0,
     Office of the Vice-President,,42343,0,134354,0,0,47525,0,140280,0,0,47555,0,157247,200000,0,
     Department of Agrarian Reform,,302852,126440,7056547,640590,2272782,225622,122048,12229773,1730020,2397953,426978,130260,11456845,1694429,4574989,
     Department of Agriculture,,2957301,752811,16744702,9434828,4935642,1007697,892818,13307139,13237804,6752918,1091951,930800,16879370,27930166,7234533,
     Department of Budget and Management,,972303,35081,265258,348523,59406,259188,35284,266928,219480,0,321135,34706,280632,229035,0,
     Department of Education,,5589129,556277,179252239,5673519,34675,1847933,742401,197241903,6438781,0,1797264,723654,220236155,6114108,0,
     State Universities and Colleges,,5024374,876619,18904803,1904065,0,4216796,850418,18453299,205022,0,4280372,804073,18520397,4122,0,
     Department of Energy,,195132,88733,240039,352022,112079,168599,96973,258116,356195,486757,202713,136289,249851,7492953,732921,
     Department of Environment and Natural Resources,,2655074,795722,7637655,152418,643411,1709774,1161323,8086000,219098,420000,1830171,1351580,13469919,275000,552850,
     Department of Finance,,10719352,865458,5196694,1395662,1791642,3439926,827352,5890593,877302,1445749,2857113,1001990,16626490,1890464,1191625,
     Department of Foreign Affairs,,2566531,28750,7178679,0,0,744675,59589,10145357,151545,0,876499,61731,9525546,524371,0,
     Department of Health,,579377,515284,22843671,1156474,213199,442157,4406491,25995519,1738198,549326,432596,14585971,25246296,3000000,131051,
     Department of the Interior and Local Government,,12132566,4802132,77259344,1121164,4851,17015104,4379418,63589683,3129411,0,20502556,4671064,65564207,5448332,0,
     Department of Justice,,1788378,164081,7176158,123847,0,866295,166248,7378566,76877,0,919087,175394,8097089,551486,0,
     Department of Labor and Employment,,1789631,243885,4020828,988759,117874,1178306,223597,4370656,843084,0,1286807,248043,4821093,882316,0,
     Department of National Defense,,54517830,8092748,41918629,5456909,0,43963577,8189203,47517328,5000000,0,41565473,8427459,51921373,5000000,0,
     Department of Public Works and Highways,,7494659,649678,8657727,112018907,12958501,660127,768349,18301027,68195915,22704450,924340,874743,23527163,82609661,17605949,
     Department of Science and Technology,,2986567,124477,4285875,134174,0,1952161,118497,4753489,274715,223859,957225,143122,7708267,403366,136479,
     Department of Social Welfare and Development,,2005012,0,1593588,12151317,304531,421065,0,2607217,29319117,2001327,357796,0,2482376,45258364,1325128,
     Department of Tourism,,212846,136603,1101723,58510,0,190267,157332,1104416,0,0,194261,155005,1286332,18600,0,
     Department of Trade and Industry,,1417882,253363,1156954,163127,55540,982786,277108,1259266,0,44181,973397,345173,1429333,0,36758,
     Department of Transportation and Communications,,1971921,945859,3694587,9434063,4609480,2497628,948748,3836138,18911392,6152163,2781215,1016594,4323807,20434894,6017974,
     National Economic and Development Authority,,805534,93451,1008542,2216044,5168,669934,95825,1062924,359017,0,757325,124591,1329635,757136,0,
     Presidential Communications Operations Office,,298296,56727,771849,0,31173,188025,56934,665758,0,65440,203102,61033,783811,0,0,
     Other Executive Offices,,2300532,330374,3385538,1264524,2359531,1604993,342319,3707295,1104856,73738,1537548,366906,4328323,2235772,59217,
     Autonomous Region in Muslim Mindanao,,1137204,23830,8407533,1006637,115128,816600,22688,9074690,1000000,938823,872129,24479,9913875,1000000,658140,
     Joint Legislative-Executive Councils,,0,0,914,0,0,0,0,2185,0,0,0,0,2137,0,0,
     The Judiciary,,4052507,21584,10906041,35000,0,3983681,23258,10270451,30000,0,4008345,12373,9655671,30000,0,
     Civil Service Commission,,376031,32195,366579,0,0,244732,37586,431540,0,0,237593,34517,404781,22051,0,
     Commission on Audit,,1284835,455537,3115479,0,8734,696248,317752,3479173,0,0,567153,398806,4184989,0,0,
     Commission on Elections,,488871,13582,1332290,11006434,0,534846,16872,1348946,480019,0,511771,13202,1380401,8085460,0,
     Office of the Ombudsman,,748964,6951,435681,0,0,400700,5859,702730,0,0,351132,4671,430097,0,0,
     Commission on Human Rights,,103370,11673,219137,3023,0,53209,14257,214675,3325,0,68350,14036,193862,3535,0,
,,,,,,,,,,,,,,,,,
SPECIAL PURPOSE FUNDS,,15331153,38482428,10434185,287799453,0,495511,71477,13666580,453237511,0,330677,843966,19377229,498357611,0,1
,,,,,,,,,,,,,,,,,
     Budgetary Support to Government Corporations,,15331153,38482428,9300504,1791533,0,495511,71477,9718767,496606,0,330677,843966,15640512,3435180,0,
     Allocations to Local Government Units,,0,0,1133681,286007920,0,0,0,772993,299273365,0,0,0,1053469,290561487,0,
     Calamity Fund,,0,0,0,0,0,0,0,0,5000000,0,0,0,0,7500000,0,
     Contingent Fund,,0,0,0,0,0,0,0,0,1000000,0,0,0,0,1000000,0,
     Department of Education - School Building Program,,0,0,0,0,0,0,0,0,1000000,0,0,0,0,1000000,0,
     E-Government Fund,,0,0,0,0,0,0,0,0,1190000,0,0,0,0,1000000,0,
     International Commitments Fund,,0,0,0,0,0,0,0,3174820,0,0,0,0,2683248,0,0,
     Miscellaneous Personnel Benefits Fund,,0,0,0,0,0,0,0,0,70657540,0,0,0,0,101490053,0,
     Retirement Benefits Fund (Pension and Gratuity Fund),,0,0,0,0,0,0,0,0,35000000,0,0,0,0,34437891,0,
     Priority Development Assistance Fund,,0,0,0,0,0,0,0,0,24620000,0,0,0,0,24890000,0,
     Tax Expenditures Fund,,0,0,0,0,0,0,0,0,15000000,0,0,0,0,33043000,0,
