station,entry_exit,january,february,march,april,may,june,july,august,september,october,november,december,2014_total,monthly_average,daily_average
Baclaran,Entry,1097101,1005682,1098040,896608,982986,1014287,984167,1044338,1016288,1111544,1099672,1197377,12548090,1045674,34856
Baclaran,Exit,1002761,910434,1001965,809432,871404,877323,891183,946211,908815,978080,994348,1165180,11357136,946428,31548
EDSA,Entry,1845206,1752654,1794745,1402238,1620140,1690017,1759749,1746257,1724407,1796051,1728499,1604845,20464808,1705401,56847
EDSA,Exit,1971205,1875046,1925426,1520460,1651593,1747144,1904735,1946171,1898120,1980249,1894680,1810751,22125580,1843798,61460
Libertad,Entry,421298,396501,422535,316486,335286,398011,416459,426750,419872,439479,419995,424210,4836882,403074,13436
Libertad,Exit,463554,437280,460864,346828,391286,425572,461614,473741,469432,487305,467497,454258,5339231,444936,14831
Gil Puyat,Entry,1172273,1075337,1143458,928318,981105,1098817,1135523,1155897,1160005,1228301,1172185,1138311,13389530,1115794,37193
Gil Puyat,Exit,1417072,1317049,1424705,1158008,1265042,1287860,1365331,1406820,1401982,1461667,1409727,1388821,16304084,1358674,45289
Vito Cruz,Entry,542603,528442,544545,380939,358511,529212,560364,564696,542111,592863,547401,451967,6143654,511971,17066
Vito Cruz,Exit,556432,551119,556536,408760,495143,534374,564662,577921,538699,580741,554710,469882,6388979,532415,17747
Quirino,Entry,429389,411177,427750,316125,278862,404451,419950,426119,429375,457611,434334,396068,4831211,402601,13420
Quirino,Exit,433925,411555,426927,334836,404444,403047,412473,409263,411075,436139,412429,376095,4872208,406017,13534
Pedro Gil,Entry,807697,790158,802722,606285,615276,722325,737922,769588,775777,802720,763030,678580,8872080,739340,24645
Pedro Gil,Exit,822383,785476,799147,648784,751616,745278,755526,770935,758268,788862,767897,711582,9105754,758813,25294
United Nation,Entry,991886,936632,894879,692041,683124,850723,932155,930586,961844,971299,899692,757415,10502276,875190,29173
United Nation,Exit,1089610,1000077,974972,745610,884919,920377,993877,991236,1012128,1002340,945102,825159,11385407,948784,31626
Central,Entry,609475,575683,556445,373276,446290,557432,619994,638710,614091,573180,600292,483307,6648175,554015,18467
Central,Exit,691685,650628,636668,421764,532973,608210,663273,675726,657527,632852,644057,553733,7369096,614091,20464
Carriedo,Entry,1048806,859149,890513,706743,797612,823434,835286,869191,841464,921014,872388,894348,10359948,863329,28778
Carriedo,Exit,1196873,957631,986810,766565,921789,894986,893920,934578,881864,984424,957809,1018853,11396102,949675,31656
Doroteo Jose,Entry,944395,872405,900130,679498,780450,829419,880540,845646,903265,948589,922406,875268,10382011,865168,29117
Doroteo Jose,Exit,900672,836321,876542,681161,836835,837577,901401,947013,912451,954246,926729,897125,10508073,875673,29189
Bambang,Entry,237392,214500,214167,164874,186463,195914,202032,212984,208761,225870,213235,201250,2477442,206454,6882
Bambang,Exit,190858,169148,173230,138154,166349,166371,172957,177887,177344,189599,178133,160434,2060464,171705,5724
Tayuman,Entry,585329,524741,546443,431839,524190,504427,528000,556273,554848,593395,559332,566276,6475093,539591,17986
Tayuman,Exit,490595,432554,445577,360302,442491,428651,450152,472610,474964,507689,473561,471013,5450159,454180,15139
Blumentritt,Entry,429698,383259,400174,317167,382731,374051,374958,388843,376723,413465,405610,420236,4666915,388910,12964
Blumentritt,Exit,388255,344865,358348,285849,350283,348204,356133,365857,367134,395936,380045,362949,4303858,358655,11955
Abad Santos,Entry,262910,232402,239105,187844,228271,220474,219998,227762,225639,240880,227668,236174,2749127,229094,7636
Abad Santos,Exit,177690,158411,161840,126051,159458,156907,161620,167857,169874,179034,167116,161056,1946914,162243,5408
R. Papa,Entry,244052,221193,234393,188618,225810,222194,215902,217199,205679,228207,231091,237236,2671574,222631,7421
R. Papa,Exit,278666,254122,266854,215926,260628,251608,255482,250983,242183,266952,274791,262915,3081110,256759,8559
5th Avenue,Entry,598268,538202,568449,464433,563039,552293,566593,603435,596232,609639,587560,595475,6843618,570302,19010
5th Avenue,Exit,405872,369262,385926,310177,376451,371000,398389,430802,434020,449129,418812,392888,4742728,395227,13174
Monumento,Entry,1612120,1455897,1555715,1258995,1504941,1428795,1455952,1513270,1449414,1544838,1504752,1556135,17840824,1486735,49558
Monumento,Exit,1786361,1613271,1709605,1392262,1673049,1604395,1657146,1705254,1679652,1754517,1668036,1644440,19887988,1657332,55244
Balintawak,Entry,558327,506995,553080,457076,557148,524846,522053,556681,547516,562565,542544,563677,6452508,537709,17924
Balintawak,Exit,317751,299168,323688,256095,134054,231269,310504,328604,327910,345835,327526,312177,3514581,292882,9763
Roosevelt,Entry,872785,778604,856468,698152,873399,825361,860800,903868,925539,958356,914478,909458,10377268,864772,28826
Roosevelt,Exit,726796,677054,718146,576381,363984,557769,719758,762389,765298,815340,756052,764312,8203279,683607,22787
Total,Entry,15311010,14059613,14643756,11467555,12925634,13766483,14228397,14598093,14478850,15219866,14646164,14187613,169533034,14127753,474237
Total,Exit,15309016,14050471,14613776,11503405,12933791,13397922,14290136,14741858,14488740,15190936,14619057,14203623,169342731,14111894,470391
