pros,city,number_of_cases
NCR,Quezon City,1122
11,Davao City,843
NCR,Manila City,746
9,Zamboanga City,574
NIR,Bacolod City,444
10,Cagayan de Oro City,367
3,Angeles City,364
12,General Santos City,356
7,Cebu City,272
COR,Baguio City,253
7,Lapu-Lapu City,248
4B,Puerto Princesa City,247
5,Iloilo City,188
7,Naga City,178
6,Mandaluyong City,172
