bus_operator,case_number,number_of_units
Hi-Star Inc.,2002-2657,10
Hi-Star Inc.,2002-3776,11
Imperial Eagle Transport Service Corporation,2002-3478,40
Ismael Bus Lines Inc.,2003-0275,10
Jackpherlyn Transport Corporation,2010-3310,12
Jasper Jean Liner Inc.,2003-0619,17
Jasper Jean Services Inc.,2005-0829ST,9
Jasper Jean Services Inc.,2003-0621,13
Jasper Jean Services Inc.,2003-0620,16
Jayross L S Tours Bus Co. Inc.,2002-4117ST,13
Jayross L S Tours Bus Co. Inc.,2002-4380ST,15
Jayross L S Tours Bus Co. Inc.,2003-0414ST,10
Jayross L S Tours Bus Co. Inc.,2003-1160ST,13
Jayross L S Tours Bus Co. Inc.,2003-3114ST,3
Jayross L S Tours Bus Co. Inc.,2011-0942,10
Jayross L S Tours Bus Co. Inc.,2002-5430,10
Jayross L S Tours Bus Co. Inc.,2002-5612,10
Jell Transport Inc.,2002-3114,23
Jell Transport Inc.,2002-3495,75
Jell Transport Inc.,2002-6038ST,22
Jell Transport Inc.,2004-2278,9
Jell Transport Inc.,2004-2279,4
JKJ Transit Express Corporation,2004-3420ST,10
JMA Transport Service Corporation,2003-2290,12
JNL Paet Transport Company,2003-1214A-3,3
JNL Paet Transport Company,2007-1143-16,16
Joannajesh Transport Corporation,2003-0296ST,17
Joannajesh Transport Corporation,2003-0633ST,22
Joaquin Grace,2011-2476,10
Joaquin Grace M,2003-0273ST,3
Joaquin Grace M,2003-0276ST,10
Joaquin Grace M,2003-0705ST,3
Joaquin Grace M,2003-0727ST,9
Joaquin Grace M,2003-0397AST,19
Joyselle Express Inc.,2002-2424,15
JRMS Golden Sky Transport Inc.,2002-4472ST,10
JRMS Golden Sky Transport Inc.,2003-0706ST,20
Kellen Transport Inc.,2010-1209,6
Kellen Transport Inc.,2002-3117ST,54
King Sam Express Inc.,2003-0769ST,21
King Sam Express Inc.,2003-1325ST,6
Laguna Star Bus Transportation Systems,2003-1165,25
Laguna Starbus Transportation System Inc.,2003-0728ST,9
Laguna Starbus Transportation System Inc.,2011-0639,17
Lippad Wendell M,2002-5810,22
Lopez Josephine C,2002-2347ST,12
Luzon Bus Inc.,2003-1152,10
Luzon Bus Inc.,2000-7501ST,15
Luzon Bus Inc.,82-932ST,11
Mababangloob Elenita C,2003-1150,5
Mababangloob Elenita C,2003-1460,5
Mababangloob Elenita C,2003-1159,10
Mac Lines Inc.,2002-6368,12
Ma-Fel Transit Corporation,2002-2671,4
Ma-Fel Transit Corporation,2002-2673,7
Ma-Fel Transit Corporation,2002-2675,8
Ma-Fel Transit Corporation,2002-2774,6
Ma-Fel Transit Corporation,2002-6339,10
Magicline Express Corporation,2011-3294,10
Magicline Express Corporation,2011-3292,10
Magicline Express Corporation,2011-3293,13
Malanday Metro Link Bus,2002-3479ST,17
Malanday Metro Link Bus,2002-4100ST,27
Malanday Metro Link Bus,2003-1108ST,29
Malanday Metro Link Bus,2003-1109ST,13
Maluto Transportation and Travel Corporation,2007-1143-5,5
Maluto Transportation and Travel Corporation,2007-0741,15
Manahan Lydia,91-6460,10
Mannrose Liner Inc.,2002-4255ST,15
Mannrose Liner Inc.,2003-0730ST,15
Marikina Auto Line Transport Corporation,2002-3630,20
Marikina Auto Line Transport Corporation (Maltc),2002-4656,20
Marikina Auto Line Transport Corporation (Maltc),2002-3658,20
Mayamy Transport Corporation,2003-3202,5
Mayamy Transport Corporation,2003-2811,5
Mayamy Transport Corporation,2003-3199,2
Mayamy Transport Corporation,2003-3197,12
Mayamy Transport Corporation,2003-3201,20
Mayamy Transport Corporation,93-4708ST,10
Mayamy Transport Inc.,2003-2813,18
Meneses Edgardo S,2003-1038,10
Mersan Snow White Transport Corporation,2003-0112ST,10
Mersan Snow White Transport Corporation,2002-2950ST,14
Mersan Snow White Transport Corporation,2003-0468ST,6
Mersan Snow White Transport Corporation,2003-1162ST,5
Mimay Edgardo D,2003-0434,18
MJ Sunville Transport Company,2003-1173-4,4
MJ Sunville Transport Company,2003-1214A-1,1
MJ Sunville Transport Company,2007-1143-9,9
N S Transport Service Inc.,2002-2658,3
N S Transport Services Inc.,2002-2656,10
N S Transport Services Inc.,2002-2659,12
N S Transport Services Inc.,2002-2761,5
Nafti Multi-Purpose Cooperative,2002-3599ST,8
Nafti Mutli-Purpose Cooperative,2002-3600ST,8
Naia Metro Link Bus,2003-1163ST,28
