program_or_project_or_activity,appropriation,expenses,balance
Rehabilitation or Construction of Portable Water Supply and Sanitation Projects,7000000,3932054.74,3067945.26
Installation and Maintenance of electrical or lightning system,2000000,1687273.75,312726.25
"Construction and Rehabilitation Of Historical Sites (Construction of Davao Oriental, Provincial Museum and Improvement or Upgrading of Tourism Complex)",5500000,1953848.72,3546151.28
"Rehabilitation of Roads, Bridges and Other Infra Support Facilities",53040407,30836452.87,22203954.13
Counterpart Fund for Rehabilitation And Improvement of FTMRs Project under Davao Integrated Development Program(DDIP),2500000,2500000,0
Counterpart Fund for the Construction of Cateel Irrigation Project and CFAD Projects under MRDP,2500000,1421644.87,1078355.13
Biomass-Based Renewable Energy Development Project,2000000,0,2000000
Pagkain at Kita Project,10500000,5292779.08,5207220.92
Goat Enterprise Development Project,2000000,1245640,754360
Coconut Development Project,4000000,1694482.74,2305517.26
Debt Servicing - Loan Amortization,47177650,18268317.83,28909332.17
Environmental Management Projects (Safe and Scenic H-Way Project and Environment Awareness and Program Advocacy,2500000,1717120.75,782879.25
Grand Total,140718057,70549615.35,70168441.65
