lrt_line,month,2013,2012,2011,2010,2009
Line 1,January,1.32,1.64,1.52,1.4,2.8
Line 1,February,1.38,1.4,1.12,1.06,2.46
Line 1,March,1.15,1.5,1.21,1.75,1.25
Line 1,April,1.26,1.03,0.89,1.02,1.16
Line 1,May,1.27,1.31,1.35,1.18,1.24
Line 1,June,1.39,1.16,0.67,1.26,1.37
Line 1,July,-,1.21,1.1,1.17,1.51
Line 1,August,-,1.16,0.97,1.19,1.41
Line 1,September,-,1.49,0.98,1.47,1.27
Line 1,October,-,1.33,1.17,1.16,1.18
Line 1,November,-,1.25,1.2,1.43,1.4
Line 1,December,-,1.07,1.48,0.87,1.02
Line 2,Average,1.3,1.3,1.14,1.25,1.51
Line 2,January,0.95,1.04,1.42,0.94,1.53
Line 2,February,0.87,0.94,0.74,0.73,1.62
Line 2,March,0.99,0.72,0.9,0.85,1.29
Line 2,April,0.98,0.77,1.1,1.03,0.83
Line 2,May,0.7,0.92,0.76,0.83,0.91
Line 2,June,0.9,0.53,0.87,0.74,1.56
Line 2,July,-,1.11,0.43,1.11,0.88
Line 2,August,-,0.87,1.02,1.26,0.91
Line 2,September,-,1.22,1,0.64,1.54
Line 2,October,-,1.1,1.01,0.7,0.82
Line 2,November,-,1.05,0.98,0.84,1.3
Line 2,December,-,0.81,0.82,0.42,0.6
Line 2,Average,0.9,0.92,0.92,0.84,1.15
