region,private_hei,bacc,ms_or_ma,phd,total
XI (Davao Region),San Pedro College,150,120,6,276
XI (Davao Region),Serapion C. Basalo Memorial Foundation College,7,2,1,10
XI (Davao Region),Southeastern College of Padada,10,10,3,23
XI (Davao Region),Southern Philippine Adventist College,28,17,6,51
XI (Davao Region),Tecarro College Foundation,7,6,0,13
XI (Davao Region),UM Bansalan College,8,10,0,18
XI (Davao Region),UM Digos College,26,32,6,64
XI (Davao Region),UM Guianga College,5,11,1,17
XI (Davao Region),UM Panabo College,11,13,6,30
XI (Davao Region),UM Tagum College,68,90,29,187
XI (Davao Region),University of Mindanao,141,250,64,455
XI (Davao Region),University of the Immaculate Conception,70,94,13,177
XI (Davao Region),Joji Ilagan Career Center Foundation,7,15,1,23
XI (Davao Region),St. Francis Xavier Regional Major Seminary of Mindanao,0,14,3,17
XI (Davao Region),Assumption College of Davao,28,15,0,43
XI (Davao Region),Interface Computer College,2,9,0,11
XI (Davao Region),UM Penaplata College,2,12,2,16
XI (Davao Region),Aces Tagum College,14,18,0,32
XI (Davao Region),John Paul II College of Davao,37,36,3,76
XI (Davao Region),Philippine College of Technology,19,19,4,42
XI (Davao Region),Mindanao Kokosai Daigaku,3,12,6,21
XI (Davao Region),Holy Child School of Davao,18,18,1,37
XI (Davao Region),Mati Doctors College,33,6,3,42
XI (Davao Region),Southern Philippines Baptist Theological Seminary,11,2,1,14
XI (Davao Region),STI College-Davao,22,11,1,34
XI (Davao Region),Jose Maria College,38,27,6,71
XI (Davao Region),Estela College,11,6,0,17
XI (Davao Region),Christian Colleges of Southeast Asia,13,19,4,36
XI (Davao Region),Davao Winchester Colleges,10,6,2,18
XI (Davao Region),Legacy College of Compostela,6,19,5,30
XI (Davao Region),Holy Cross of Davao College-Babak,10,12,3,25
XI (Davao Region),St. Mary's College Baganga,12,8,4,24
XI (Davao Region),Intercity College of Science and Technology,9,9,2,20
XI (Davao Region),Holy Cross Academy of Sasa,1,7,2,10
XI (Davao Region),Laak Institute Foundation,10,7,2,19
XI (Davao Region),Tagum Doctors College,12,7,0,19
XI (Davao Region),Gabriel Taborin College of Davao Foundation,12,10,6,28
XI (Davao Region),ACES PolytechnicCollege,16,13,0,29
XI (Davao Region),Davao Vision Colleges,5,6,1,12
XI (Davao Region),East West Colleges,6,3,0,9
XI (Davao Region),St. Thomas More School of Law and Business,10,17,1,28
XI (Davao Region),ACQ College of Ministries,2,18,5,25
XI (Davao Region),Christian Academy in Davao Oriental Technological Colleges,10,3,1,14
XI (Davao Region),Koinonia Theological Seminary Foundation,0,4,6,10
XI (Davao Region),Jobs Academy,6,12,1,19
XI (Davao Region),Mt. Apo Science Foundation College,4,1,0,5
XI (Davao Region),Northlink Technological College,11,7,0,18
XI (Davao Region),ACLC College of Tagum City,6,5,0,11
XI (Davao Region),Tagum City College of Science and Technology Foundation,8,7,0,15
XII (SOCCSKSARGEN),Nikki Louise College,8,0,2,10
XII (SOCCSKSARGEN),St. Alexius College,29,47,7,83
XII (SOCCSKSARGEN),Edenton Mission College,15,6,0,21
XII (SOCCSKSARGEN),Gensantos Foundation College,130,18,3,151
XII (SOCCSKSARGEN),Holy Trinity College of General Santos City,58,37,9,104
XII (SOCCSKSARGEN),King's College of Marbel,19,15,3,37
XII (SOCCSKSARGEN),Mindanao Polytechnic College,87,31,3,121
XII (SOCCSKSARGEN),Notre Dame of Dadiangas University,70,115,12,197
XII (SOCCSKSARGEN),Notre Dame of Marbel University,79,104,16,199
XII (SOCCSKSARGEN),Schola de San Jose,2,3,2,7
XII (SOCCSKSARGEN),Ramon Magsaysay Memorial Colleges,49,64,8,121
XII (SOCCSKSARGEN),Santa Cruz Mission School,7,3,0,10
XII (SOCCSKSARGEN),STI College-General Santos City,8,18,1,27
XII (SOCCSKSARGEN),Green Valley College Foundation,26,13,0,39
XII (SOCCSKSARGEN),Marbel School of Science and Technology,7,4,0,11
XII (SOCCSKSARGEN),AMA Computer College-General Santos City,8,2,0,10
XII (SOCCSKSARGEN),Central Mindanao Colleges,48,23,5,76
XII (SOCCSKSARGEN),Regency Polytechnic College,22,14,2,38
XII (SOCCSKSARGEN),Cotabato Medical Foundation College,1,23,0,24
XII (SOCCSKSARGEN),De La Vida College,13,3,0,16
XII (SOCCSKSARGEN),Dr. Domingo B. Tamondong Memorial School,14,0,0,14
XII (SOCCSKSARGEN),Dr. P. Ocampo Colleges,20,8,0,28
XII (SOCCSKSARGEN),Headstart College of Cotabato,10,3,0,13
XII (SOCCSKSARGEN),King's College of Isulan,4,3,1,8
XII (SOCCSKSARGEN),Lebak Family Doctors' School of Midwifery,13,0,0,13
XII (SOCCSKSARGEN),Mindanao Capitol College,5,12,2,19
XII (SOCCSKSARGEN),Colegio de Kidapawan,51,13,2,66
XII (SOCCSKSARGEN),Northern Cotabato Colleges Foundation,6,2,0,8
XII (SOCCSKSARGEN),Notre Dame Center for Catechesis,3,7,0,10
XII (SOCCSKSARGEN),Notre Dame Hospital and School of Midwifery,10,2,0,12
XII (SOCCSKSARGEN),Notre Dame of Kidapawan College,41,60,8,109
XII (SOCCSKSARGEN),Notre Dame of Midsayap College,42,48,6,96
XII (SOCCSKSARGEN),Notre Dame of Salaman College,21,8,0,29
XII (SOCCSKSARGEN),Notre Dame of Tacurong College,36,30,5,71
XII (SOCCSKSARGEN),Notre Dame University,125,87,24,236
XII (SOCCSKSARGEN),Quezon Colleges of Southern Philippines,20,2,0,22
XII (SOCCSKSARGEN),St. Benedict College of Cotabato,17,11,2,30
XII (SOCCSKSARGEN),St. Luke's Institute,17,6,0,23
XII (SOCCSKSARGEN),Senator Ninoy Aquino College Foundation,14,4,0,18
XII (SOCCSKSARGEN),Shariff Kabunsuan College,6,8,1,15
XII (SOCCSKSARGEN),Southern Baptist College,32,17,5,54
XII (SOCCSKSARGEN),Southern Christian College,32,29,3,64
XII (SOCCSKSARGEN),Southern Mindanao Institute of Technology,31,8,1,40
XII (SOCCSKSARGEN),Southern Philippines Methodist College,9,6,0,15
XII (SOCCSKSARGEN),St. Luke's Institute of Technology,9,2,0,11
XII (SOCCSKSARGEN),Sultan Kudarat Educational Institution,22,15,2,39
XII (SOCCSKSARGEN),North Valley College Foundation,31,19,2,52
XII (SOCCSKSARGEN),STI College-Cotabato,50,9,1,60
XII (SOCCSKSARGEN),Central Mindanao Computer School,9,3,2,14
XII (SOCCSKSARGEN),Antonio R. Pacheco College,3,5,1,9
XII (SOCCSKSARGEN),AMA Computer College-Cotabato City,4,3,1,8
XII (SOCCSKSARGEN),Adventist College of Technology,13,9,3,25
XII (SOCCSKSARGEN),Goldenstate College,27,6,0,33
XII (SOCCSKSARGEN),Kutawato Darrusalam College,2,6,3,11
XII (SOCCSKSARGEN),General Santos Doctors' Medical School Foundation,25,13,1,39
XII (SOCCSKSARGEN),Read Data Access Computer College,7,2,0,9
XII (SOCCSKSARGEN),Notre Dame-Siena College of Polomolok,13,7,0,20
XII (SOCCSKSARGEN),Notre Dame RVM College of Cotabato,16,11,1,28
XII (SOCCSKSARGEN),Brokenshire College-Soccsksargen,27,9,2,38
XII (SOCCSKSARGEN),AMA Computer Learning Center College,2,9,0,11
XII (SOCCSKSARGEN),Holy Child College of Information Technology,12,9,0,21
XII (SOCCSKSARGEN),South East Asian Institute of Technology,4,26,2,32
XII (SOCCSKSARGEN),Valdez Mother and Child City College,10,13,5,28
XII (SOCCSKSARGEN),Asian Colleges and Technological Institute,2,4,0,6
XII (SOCCSKSARGEN),Sta. Maria School of Paramedics and Technology,3,1,0,4
XII (SOCCSKSARGEN),Stratford International School,17,17,6,40
XII (SOCCSKSARGEN),ACLC College of Marbel,20,3,0,23
XII (SOCCSKSARGEN),Korbel Foundation College,13,7,1,21
XII (SOCCSKSARGEN),STI College-Koronadal City,2,20,0,22
XII (SOCCSKSARGEN),Microspan Software Technology,7,8,1,16
XII (SOCCSKSARGEN),I-Link College of Science and Technology,4,2,0,6
XII (SOCCSKSARGEN),Coland Systems Technology,14,3,0,17
XII (SOCCSKSARGEN),Goldenstate College of Koronadal City,13,1,0,14
XII (SOCCSKSARGEN),Marvelous College of Technology,18,4,1,23
XII (SOCCSKSARGEN),International Cruise Ship College,8,7,0,15
XII (SOCCSKSARGEN),STI College-Koronadal City-Tacurong City Branch,16,7,0,23
XII (SOCCSKSARGEN),B.E.S.T. College of Polomolok,3,12,1,16
XII (SOCCSKSARGEN),Ramon Magsaysay Memorial College-Marbel,5,10,2,17
XII (SOCCSKSARGEN),General Santos Academy of Polomolok-Cotabato,30,9,1,40
XII (SOCCSKSARGEN),Marbel Institute of Technical College,3,7,3,13
XII (SOCCSKSARGEN),Holy Child College of Information Technology,6,5,0,11
XII (SOCCSKSARGEN),4A School of Excellence,6,7,0,13
XII (SOCCSKSARGEN),Joji Ilagan International School of Hotel and Tourism Management,10,0,0,10
XII (SOCCSKSARGEN),Northpoint College of Arts and Technology,7,11,4,22
XII (SOCCSKSARGEN),MMG School of Paramedics and Allied Sciences,6,2,0,8
XII (SOCCSKSARGEN),Villamor Institute of Technology,0,13,0,13
XII (SOCCSKSARGEN),Cronasia Foundation College,37,8,2,47
XII (SOCCSKSARGEN),Green Valley College Foundation-Isulan Campus,9,3,0,12
NCR (National Capital Region),Adamson University,326,251,38,615
NCR (National Capital Region),Air Link International Aviation College,17,22,3,42
NCR (National Capital Region),Alejandro Colleges,2,4,2,8
NCR (National Capital Region),Alliance Graduate School,3,10,11,24
NCR (National Capital Region),AMA Computer College-Makati,20,18,2,40
NCR (National Capital Region),AMA Computer University,32,38,6,76
NCR (National Capital Region),Arellano University-Manila,121,141,47,309
NCR (National Capital Region),Arellano University-Malabon,8,13,7,28
NCR (National Capital Region),Arellano University-Pasay,15,32,11,58
NCR (National Capital Region),Arellano University-Pasig,22,45,16,83
NCR (National Capital Region),Asia Pacific College,31,69,7,107
NCR (National Capital Region),Asian Institute of Journalism and Communication,0,3,2,5
NCR (National Capital Region),Asian Institute of Maritime Studies,39,44,8,91
NCR (National Capital Region),Asian Seminary of Christian Ministries,9,17,5,31
NCR (National Capital Region),Asian Social Institute,0,9,16,25
NCR (National Capital Region),Asian Theological Seminary,2,10,18,30
NCR (National Capital Region),Assumption College,41,67,2,110
NCR (National Capital Region),Ateneo De Manila University,198,273,150,621
NCR (National Capital Region),Ateneo Graduate School of Business,2,72,15,89
NCR (National Capital Region),Bernardo College,1,23,4,28
NCR (National Capital Region),Biblical Seminary of the Philippines,0,13,12,25
NCR (National Capital Region),University of Asia and the Pacific,18,126,61,205
NCR (National Capital Region),Central Colleges of the Philippines,53,59,8,120
NCR (National Capital Region),Centro Escolar University-Manila,159,289,128,576
NCR (National Capital Region),Chiang Kai Shek College,20,20,6,46
NCR (National Capital Region),Chinese General Hospital College of Nursing and Liberal Arts,11,15,0,26
NCR (National Capital Region),St. Anthony Mary Claret College,0,12,11,23
NCR (National Capital Region),Colegio de San Juan de Letran,62,75,15,152
NCR (National Capital Region),Colegio de San Lorenzo ,22,16,4,42
NCR (National Capital Region),College of the Holy Spirit of Manila,25,22,4,51
NCR (National Capital Region),Concordia College,18,36,4,58
NCR (National Capital Region),Datamex Computer College-Pasay,12,3,3,18
NCR (National Capital Region),De La Salle University-Manila,270,461,319,1050
NCR (National Capital Region),STI College-De Los Santos,22,17,1,40
NCR (National Capital Region),De Ocampo Memorial College,6,9,6,21
NCR (National Capital Region),Divine Word Mission Seminary,4,10,9,23
NCR (National Capital Region),De La Salle-College of St. Benilde,503,258,18,779
NCR (National Capital Region),Dominican College,16,14,2,32
NCR (National Capital Region),Don Bosco Technical College,31,39,4,74
NCR (National Capital Region),Dr. Carlos S. Lanting College,46,57,6,109
NCR (National Capital Region),Emilio Aguinaldo College,83,67,12,162
NCR (National Capital Region),Caritas Family Hospital and Colleges,10,26,1,37
NCR (National Capital Region),Far Eastern University,163,610,132,905
NCR (National Capital Region),FEATI University,62,40,10,112
NCR (National Capital Region),Febias College of Bible,12,14,4,30
NCR (National Capital Region),FEU-FERN College,31,45,3,79
NCR (National Capital Region),FEU-Dr. Nicanor Reyes Medical Foundation,254,92,7,353
NCR (National Capital Region),Governor Andres Pascual College,5,11,11,27
NCR (National Capital Region),Greenville College,2,6,22,30
NCR (National Capital Region),De La Salle-Araneta University ,47,58,11,116
NCR (National Capital Region),Guzman College of Science and Technology,5,9,1,15
NCR (National Capital Region),Holy Rosary College Foundation,11,6,1,18
NCR (National Capital Region),Institute of Community and Family Health,0,8,0,8
NCR (National Capital Region),Institute of Formation and Religious Studies,3,8,11,22
NCR (National Capital Region),Interface Computer College-Manila,5,9,0,14
NCR (National Capital Region),International Academy of Management and Economics,2,13,19,34
NCR (National Capital Region),International Baptist College,8,14,5,27
NCR (National Capital Region),International Graduate School of Leadership,0,10,14,24
NCR (National Capital Region),J.P. Sioson General Hospital and Colleges,0,14,0,14
NCR (National Capital Region),Jose Rizal University,52,119,32,203
NCR (National Capital Region),La Consolacion College-Manila,18,52,10,80
NCR (National Capital Region),La Consolacion College-Caloocan,10,7,6,23
NCR (National Capital Region),Lacson College,5,10,0,15
NCR (National Capital Region),Las Pinas College,12,21,4,37
NCR (National Capital Region),Regis Marie College,11,2,1,14
NCR (National Capital Region),Lyceum of the Philippines University,74,128,29,231
NCR (National Capital Region),Manila Central University,109,99,16,224
NCR (National Capital Region),Manila Tytana Colleges,41,103,6,150
NCR (National Capital Region),Manila Law College,13,4,2,19
NCR (National Capital Region),Manila Adventist Medical Center and Colleges,20,37,7,64
NCR (National Capital Region),Manila Theological College,3,9,7,19
NCR (National Capital Region),Manuel L. Quezon University,54,50,46,150
NCR (National Capital Region),Mapua Institute of Technology-Manila,163,215,23,401
NCR (National Capital Region),Mapua Institute of Technology-Makati,45,45,4,94
NCR (National Capital Region),Martinez Memorial College,18,12,2,32
NCR (National Capital Region),Mary Chiles College,10,14,1,25
NCR (National Capital Region),Mary Johnston College,5,6,1,12
NCR (National Capital Region),CICM Maryhill School of Theology,0,5,20,25
NCR (National Capital Region),Metro Business College-Pasay,5,2,0,7
NCR (National Capital Region),Metro Manila College,18,46,16,80
NCR (National Capital Region),Metropolitan Hospital College of Nursing,21,29,3,53
NCR (National Capital Region),Miriam College,32,176,55,263
NCR (National Capital Region),Mother of Life Center,0,7,8,15
NCR (National Capital Region),Namei Polytechnic Institute,16,13,1,30
NCR (National Capital Region),National College of Business and Arts-Cubao,12,19,4,35
NCR (National Capital Region),National College of Business and Arts-Fairview,30,40,4,74
NCR (National Capital Region),The National Teachers College,58,51,10,119
NCR (National Capital Region),National University,26,111,22,159
NCR (National Capital Region),New Era University,181,112,46,339
NCR (National Capital Region),Olivarez College,57,29,9,95
NCR (National Capital Region),Our Lady of Lourdes College,15,10,4,29
NCR (National Capital Region),Our Lady of the Angels Seminary,3,15,11,29
NCR (National Capital Region),Pace Graduate School of Christian Education,3,4,5,12
NCR (National Capital Region),Pasig Catholic College,23,19,9,51
NCR (National Capital Region),Patts College of Aeronautics,96,8,1,105
NCR (National Capital Region),Perpetual Help College of Manila,32,34,5,71
NCR (National Capital Region),University of Perpetual Help System-Dalta,112,205,30,347
NCR (National Capital Region),Philippine Dominican Center of Institutional Studies,0,14,8,22
NCR (National Capital Region),Philippine Christian University,88,96,39,223
NCR (National Capital Region),Philippine College of Criminology,61,43,25,129
NCR (National Capital Region),Philippine College of Health Sciences,19,32,18,69
NCR (National Capital Region),St. Louis College-Valenzuela,22,7,0,29
NCR (National Capital Region),Philippine Law School,18,1,0,19
NCR (National Capital Region),Philippine Merchant Marine School-Manila,6,2,2,10
NCR (National Capital Region),Philippine Merchant Marine School-Las Pinas,50,42,2,94
NCR (National Capital Region),Philippine School of Business Administration-Quezon City,22,51,6,79
NCR (National Capital Region),Philippine School of Business Administration-Manila,15,33,5,53
NCR (National Capital Region),Philippine Women's University System-Manila,42,121,49,212
NCR (National Capital Region),Philippine Women's University System-Quezon City,9,10,9,28
NCR (National Capital Region),Philsin College Foundation,1,5,3,9
NCR (National Capital Region),Philippine Maritime Institute-Manila,77,19,6,102
NCR (National Capital Region),PMI Colleges-Quezon City,76,17,2,95
NCR (National Capital Region),World Citi Colleges-Quezon City,49,11,5,65
NCR (National Capital Region),Makati Medical Center College of Nursing,10,35,1,46
NCR (National Capital Region),Republican College,16,8,3,27
NCR (National Capital Region),Roosevelt College-Marikina,14,18,1,33
NCR (National Capital Region),St. Cammillus College Seminary,7,11,5,23
NCR (National Capital Region),St. Francis Divine College,3,15,3,21
NCR (National Capital Region),St. Francis of Assisi College,14,17,0,31
NCR (National Capital Region),St. Joseph's College of Quezon City,15,31,5,51
NCR (National Capital Region),St. Jude College,33,75,17,125
NCR (National Capital Region),St. Paul University-Manila (St. Paul Univerity System),18,85,29,132
NCR (National Capital Region),St. Paul University-Quezon City,24,62,15,101
NCR (National Capital Region),St. Rita College-Manila,13,2,4,19
NCR (National Capital Region),St. Scholastica's College,59,121,25,205
NCR (National Capital Region),Samson College of Science and Technology-Quezon City,3,9,4,16
NCR (National Capital Region),San Beda College,110,155,40,305
NCR (National Capital Region),San Carlos Seminary,6,24,12,42
NCR (National Capital Region),San Juan de Dios Educational Foundation,10,29,7,46
NCR (National Capital Region),San Sebastian College-Recoletos,77,79,3,159
NCR (National Capital Region),Sta. Catalina College,0,11,0,11
NCR (National Capital Region),Santa Isabel College,33,44,9,86
NCR (National Capital Region),Siena College,3,22,8,33
NCR (National Capital Region),Southeastern College,4,13,0,17
NCR (National Capital Region),St. Luke's College of Medicine-William H. Quasha Memorial,130,19,8,157
NCR (National Capital Region),St. Rita Hospital College of Nursing and School of Midwifery,10,13,2,25
NCR (National Capital Region),Stella Maris College,7,9,0,16
NCR (National Capital Region),System Plus Computer College-Quezon City,8,9,1,18
NCR (National Capital Region),Technological Institute of the Philippines-Manila,111,128,20,259
NCR (National Capital Region),Technological Institute of The Philippines-Quezon City,163,192,30,385
NCR (National Capital Region),Trinity University of Asia,45,128,46,219
NCR (National Capital Region),Unciano Colleges and General Hospital,16,4,0,20
NCR (National Capital Region),Southeast Asian College,26,33,8,67
NCR (National Capital Region),University of the East Ramon Magsaysay Memorial Medical Center,253,82,9,344
NCR (National Capital Region),University of Manila ,119,75,29,223
NCR (National Capital Region),University of Santo Tomas,694,903,194,1791
NCR (National Capital Region),University of the East-Manila,181,347,86,614
NCR (National Capital Region),University of the East-Caloocan,95,51,7,153
NCR (National Capital Region),Angelicum College,14,15,7,36
NCR (National Capital Region),Asian College of Science and Technology-Cubao,21,14,3,38
NCR (National Capital Region),Don Bosco Center of Studies,1,9,13,23
NCR (National Capital Region),Abraham Dumlao Colleges of the Philippines,3,0,1,4
NCR (National Capital Region),FEU-East Asia College,69,146,13,228
NCR (National Capital Region),IETI College-Alabang,5,14,2,21
NCR (National Capital Region),Our Lady of Perpetual Succor College,17,10,5,32
NCR (National Capital Region),San Beda College-Alabang,41,81,9,131
NCR (National Capital Region),St. Dominic Savio College,18,21,4,43
NCR (National Capital Region),St. John Technological College of the Philippines,22,5,1,28
NCR (National Capital Region),STI College-Alabang,15,5,0,20
NCR (National Capital Region),STI College-Cubao,29,14,1,44
NCR (National Capital Region),STI College-EDSA Crossing,21,9,1,31
NCR (National Capital Region),STI Education Services Group-Global City,59,39,3,101
NCR (National Capital Region),STI College-Caloocan,37,33,2,72
NCR (National Capital Region),STI College-Makati,24,6,0,30
NCR (National Capital Region),STI College-Munoz EDSA,49,8,0,57
NCR (National Capital Region),STI College-Novaliches,39,13,2,54
NCR (National Capital Region),STI Education Services Group-Fairview,0,37,1,38
NCR (National Capital Region),STI College-Taft,24,9,0,33
NCR (National Capital Region),STI College-Recto,30,6,2,38
NCR (National Capital Region),Philippine Rehabilitation Institute Foundation,12,19,0,31
NCR (National Capital Region),Immaculada Concepcion Colleges,2,10,3,15
NCR (National Capital Region),O.B. Montessori Center,9,5,2,16
NCR (National Capital Region),West Bay College,30,11,0,41
NCR (National Capital Region),System Plus Computer College-Caloocan,5,5,0,10
NCR (National Capital Region),St. Bernadette College of Alabang,9,12,4,25
NCR (National Capital Region),Children of Mary Immaculate College,9,5,0,14
NCR (National Capital Region),Nova Computer College,5,3,0,8
NCR (National Capital Region),Informatics College-Manila,6,7,0,13
NCR (National Capital Region),The Fisher Valley College,1,27,4,32
NCR (National Capital Region),La Consolacion College-Deparo,12,11,2,25
NCR (National Capital Region),ABE International College of Business and Economics-Legarda,16,2,0,18
NCR (National Capital Region),AMA Computer College-Caloocan,15,0,0,15
NCR (National Capital Region),AMA Computer College-Fairview,5,18,0,23
NCR (National Capital Region),AMA Computer College-Paranaque,2,14,0,16
NCR (National Capital Region),AMA Computer College-Sta. Mesa,13,7,0,20
NCR (National Capital Region),Asia School of Arts and Sciences,10,2,3,15
NCR (National Capital Region),Child Jesus College,0,7,0,7
NCR (National Capital Region),Divine Mercy College Foundation,35,9,12,56
NCR (National Capital Region),Tech Pacific College,2,4,1,7
NCR (National Capital Region),Informatics College-Caloocan,3,12,1,16
NCR (National Capital Region),Interface Computer College-Caloocan,10,8,0,18
NCR (National Capital Region),Our Lady of Fatima University-Quezon City,66,84,5,155
NCR (National Capital Region),Our Lady of Lourdes Technological College,2,11,2,15
NCR (National Capital Region),St. Clare College of Caloocan,21,16,8,45
NCR (National Capital Region),St. James College of Quezon City,8,16,1,25
NCR (National Capital Region),STI College-Las Pinas,28,13,0,41
NCR (National Capital Region),STI College-Paranaque,5,14,3,22
NCR (National Capital Region),Asia Graduate School of Theology,0,0,12,12
NCR (National Capital Region),AMA Computer College-Las Pinas,9,9,1,19
NCR (National Capital Region),AMA Computer College-Pasig City,18,3,1,22
NCR (National Capital Region),Wesleyan College of Manila,8,16,6,30
NCR (National Capital Region),Loral Douglas Woosley Bethany Colleges,15,7,2,24
NCR (National Capital Region),STI College-Marikina,8,4,2,14
NCR (National Capital Region),IETI College of Science and Technology-Marikina,9,7,1,17
NCR (National Capital Region),Manila Business College,14,8,7,29
NCR (National Capital Region),St. James College of Paranaque,5,7,3,15
NCR (National Capital Region),Access Computer and Technical Colleges-Manila,6,4,1,11
NCR (National Capital Region),Kalayaan College,13,26,7,46
NCR (National Capital Region),Criminal Justice College,4,9,4,17
NCR (National Capital Region),Entrepreneurs School of Asia,9,16,1,26
NCR (National Capital Region),Asian Institute of Computer Studies,9,2,1,12
NCR (National Capital Region),St. Mary's College,10,20,7,37
NCR (National Capital Region),ABE International College of Business and Accountancy-Cubao,15,12,1,28
NCR (National Capital Region),ABE International College of Business and Accountancy-Las Pinas,12,12,0,24
NCR (National Capital Region),National Christian Life College,1,9,2,12
NCR (National Capital Region),Global City Innovative College,38,48,3,89
NCR (National Capital Region),Center for Early Childhood Care and Development,1,7,1,9
NCR (National Capital Region),Southville International School and Colleges,20,47,7,74
NCR (National Capital Region),Information and Communications Technology Academy,29,16,3,48
NCR (National Capital Region),Our Lady of Guadalupe Colleges,9,13,0,22
NCR (National Capital Region),STI College-Quezon Avenue,19,18,0,37
NCR (National Capital Region),The Manila Times College,2,7,2,11
NCR (National Capital Region),Access Computer and Technical Colleges-Quezon City,5,6,2,13
NCR (National Capital Region),Immaculate Heart of Mary College-Paranaque,5,19,12,36
NCR (National Capital Region),Lyceum of Alabang,12,26,6,44
NCR (National Capital Region),Rogationist Seminary College,9,16,3,28
NCR (National Capital Region),La Consolacion College-Pasig,8,12,2,22
NCR (National Capital Region),Kester Grant College Philippines,10,14,1,25
NCR (National Capital Region),Informatics College-Quezon City,24,4,4,32
NCR (National Capital Region),ABE International Business College-Caloocan City,15,7,0,22
NCR (National Capital Region),Informatics College-Eastwood,4,12,1,17
NCR (National Capital Region),World Citi Colleges-Caloocan,11,5,0,16
NCR (National Capital Region),Colegio de Santa Monica-Manila,9,10,3,22
NCR (National Capital Region),Informatics College-Northgate,10,3,2,15
NCR (National Capital Region),St. Bernadette College of Health and Sciences,2,20,9,31
NCR (National Capital Region),Mary the Queen College of Science and Technology,4,28,2,34
NCR (National Capital Region),St. Bernadette of Lourdes College,3,12,5,20
NCR (National Capital Region),Flight School International,8,6,2,16
NCR (National Capital Region),Capitol Medical Center Colleges,2,16,3,21
NCR (National Capital Region),St. Pedro Poveda College,12,15,0,27
NCR (National Capital Region),St. Mary's College of San Juan,0,10,0,10
NCR (National Capital Region),New England College,8,19,1,28
NCR (National Capital Region),Universal Colleges of Paranaque,19,17,3,39
NCR (National Capital Region),ABE International College of Business and Accountancy-Taft,12,8,1,21
NCR (National Capital Region),St. John of Beverly School,12,3,2,17
NCR (National Capital Region),NOVAGEN College of Quezon City,12,14,0,26
NCR (National Capital Region),Jesus Reigns Christian College Foundation,1,31,11,43
NCR (National Capital Region),Villagers Montessori College,19,10,3,32
NCR (National Capital Region),AMA School of Medicine,16,0,0,16
NCR (National Capital Region),Sta. Cecilia College,3,13,1,17
NCR (National Capital Region),Enderun College,33,38,11,82
NCR (National Capital Region),Messiah College Foundation,8,13,4,25
NCR (National Capital Region),National Polytechnic College of Science and Technology,6,20,4,30
NCR (National Capital Region),Lady of Lourdes Hospital and Colleges of Caybiga,7,5,1,13
NCR (National Capital Region),College of St. Catherine,6,11,0,17
NCR (National Capital Region),Grace Christian College,8,23,5,36
NCR (National Capital Region),Centro Escolar University-Makati,61,60,18,139
NCR (National Capital Region),Philippine Cultural College,8,18,3,29
NCR (National Capital Region),Diliman Computer Technology Institute,15,13,3,31
NCR (National Capital Region),The One Nation Entrepreneur School,0,9,1,10
NCR (National Capital Region),Bestlink College of the Philippines,110,61,11,182
NCR (National Capital Region),Global Reciprocal Colleges,18,52,6,76
NCR (National Capital Region),Golden Link College Foundation,20,4,2,26
NCR (National Capital Region),ACLC College of Taguig,13,10,1,24
NCR (National Capital Region),Asian Institute of Computer Studies-Quezon City,6,3,0,9
NCR (National Capital Region),Far Eastern University-Makati,13,59,11,83
NCR (National Capital Region),St. Dominic Institute,3,9,3,15
NCR (National Capital Region),Treston International College,9,13,2,24
NCR (National Capital Region),ABE International Business College-Makati City,4,8,0,12
NCR (National Capital Region),Access Computer and Technical Colleges-Lagro,3,5,1,9
NCR (National Capital Region),Facilities Management College,7,8,0,15
NCR (National Capital Region),ABE International Business College-Commonwealth,11,8,0,19
NCR (National Capital Region),College of Divine Wisdom,2,7,5,14
NCR (National Capital Region),La Consolacion College-Valenzuela,1,8,0,9
NCR (National Capital Region),AMA Computer College-Mandaluyong,5,4,0,9
NCR (National Capital Region),South SEED LPDH College,3,8,0,11
NCR (National Capital Region),Bethel Bible College of the Assemblies of God,5,8,0,13
NCR (National Capital Region),Christ the King College of Science and Technology,2,32,2,36
NCR (National Capital Region),St. Vincent de Ferrer College of Camarin,10,23,11,44
NCR (National Capital Region),Datamex-College of St. Adeline-Fairview,2,6,2,10
NCR (National Capital Region),Access Computer and Technical College-Camarin,3,4,2,9
NCR (National Capital Region),Datamex-College of St. Adeline-Valenzuela,2,6,2,10
NCR (National Capital Region),School of Fashion and the Arts,13,10,0,23
NCR (National Capital Region),PNTC Colleges-Manila,5,8,5,18
NCR (National Capital Region),La Verdad Christian College-Caloocan,15,11,2,28
NCR (National Capital Region),Arellano University-Mandaluyong,9,11,1,21
CAR (Cordillera Administrative Region),Abra Valley Colleges,55,19,1,75
CAR (Cordillera Administrative Region),Baguio Central University,88,61,28,177
CAR (Cordillera Administrative Region),University of the Cordilleras,126,229,36,391
CAR (Cordillera Administrative Region),Cordillera Career Development College,61,26,5,92
CAR (Cordillera Administrative Region),Divine Word College of Bangued,37,31,9,77
CAR (Cordillera Administrative Region),Philippine Nazarene College,10,13,1,24
CAR (Cordillera Administrative Region),Pines City Colleges,47,20,1,68
CAR (Cordillera Administrative Region),St. Louis College of Bulanao,16,15,4,35
CAR (Cordillera Administrative Region),St. Louis University,562,389,48,999
