region,private_hei,bacc,ms_or_ma,phd,total
VI (Western Visayas),St. Anne College of Iloilo,7,3,1,11
VI (Western Visayas),St. Therese MTC Colleges-La Fiesta,14,38,6,58
VI (Western Visayas),ABE International College of Business and Economics-Bacolod,14,5,0,19
VI (Western Visayas),Dominican College of Iloilo,14,5,1,20
VI (Western Visayas),Integrated Midwives Association of the Philippines Foundation School of Midwifery,3,5,0,8
VI (Western Visayas),St. Therese MTC Colleges-Magdalo,35,19,0,54
VI (Western Visayas),ABE International College of Business and Economics-Iloilo,24,10,0,34
VI (Western Visayas),STI College-Kalibo,27,4,0,31
VI (Western Visayas),Convention Baptist Bible College,8,10,2,20
VI (Western Visayas),Hercor College,27,12,17,56
VI (Western Visayas),Sacred Heart Seminary School-Bacolod,6,13,5,24
VI (Western Visayas),St. John Mary Vianney Seminary,5,15,1,21
VI (Western Visayas),Great Saviour College,11,9,1,21
VI (Western Visayas),St. Vincent College of Science and Technology,7,7,0,14
VI (Western Visayas),Southland College,2,16,0,18
VI (Western Visayas),CEDAR College,5,5,2,12
VI (Western Visayas),Advance Central College,14,8,1,23
VI (Western Visayas),GSEF College,3,5,2,10
VI (Western Visayas),ACLC College of Iloilo,4,8,0,12
VI (Western Visayas),Colegio de Sta. Ana de Victorias,9,4,2,15
VII (Central Visayas),AMA Computer College-Cebu City,13,0,0,13
VII (Central Visayas),Asian College of Technology,136,2,2,140
VII (Central Visayas),BIT International College-Siquijor,8,3,0,11
VII (Central Visayas),Baptist Theological College,15,0,9,24
VII (Central Visayas),Blessed Trinity College,22,8,0,30
VII (Central Visayas),BIT International College-Tagbilaran,52,18,9,79
VII (Central Visayas),Bohol Institute of Technology-Jagna,13,0,1,14
VII (Central Visayas),Bohol Institute of Technology-Talibon,8,4,2,14
VII (Central Visayas),Cebu Aeronautical Technical School,20,0,0,20
VII (Central Visayas),Cebu Doctor's University,250,4,16,270
VII (Central Visayas),Cebu Doctor's University College of Medicine,194,0,0,194
VII (Central Visayas),Cebu Eastern College,12,2,1,15
VII (Central Visayas),Cebu Institute of Medicine,111,15,1,127
VII (Central Visayas),Cebu Institute of Technology-University,245,8,30,283
VII (Central Visayas),Cebu Roosevelt Memorial College,87,0,6,93
VII (Central Visayas),St. Paul College Foundation,36,0,6,42
VII (Central Visayas),Cebu School of Midwifery,8,2,0,10
VII (Central Visayas),College of Technological Sciences-Cebu,22,1,1,24
VII (Central Visayas),Concord Technical Institute,12,0,2,14
VII (Central Visayas),Holy Name University,193,15,32,240
VII (Central Visayas),Diaz College,35,0,2,37
