pro,source,index_crime_against_person_murder,index_crime_against_person_homicide,index_crime_against_person_physical_injury,index_crime_against_person_rape,index_crime_agianst_property_robbery,index_crime_against_property_theft,index_crime_against_property_carnapping,index_crime_against_property_cattle_rustling,index_crime_total,index_crime_ave_monthly_rate,index_crime_total_cleared,index_crime_clearance_efficiency,index_crime_solved,index_crime_soln_efficiency,nonindex_crime_violation_of_special_laws,nonindex_crime_others,nonindex_crime_total,nonindex_crime_cleared,nonindex_crime_solved,total_crime_vol,total_crime_cleared,crime_clearance_efficiency,total_crimes_solved,crime_soln_efficiency,ave_monthly_crime_rate,popn_dprm
12,Brgy Blotter,31,15,1531,12,216,955,18,78,2856,5.47,1359,-,1082,37.89,664,8484,9148,5556,3802,12004,6915,-,4884,-,23.01,4348295
12,OLEA,2,7,273,11,7,65,3,1,369,0.71,274,-,263,71.27,652,755,1407,1002,843,1776,1276,-,1106,-,3.4,4348295
13,PNP Blotter,381,191,2396,241,904,2082,173,19,6387,20.71,2986,46.75,2175,34.05,4188,2942,7130,4648,3869,13517,7634,56.48,6044,44.71,43.82,2570337
13,Brgy Blotter,0,0,1563,1,14,425,4,0,2007,6.51,477,-,445,22.17,189,2640,2829,617,564,4836,1094,-,1009,-,15.68,2570337
13,OLEA,0,0,151,3,26,88,0,0,268,0.87,59,-,57,21.27,269,51,320,37,28,588,96,-,85,-,1.91,2570337
ARMM,PNP Blotter,478,101,1575,123,436,712,318,82,3825,9.25,1315,34.38,1134,29.65,722,1581,2303,971,798,6128,2286,37.3,1932,31.53,14.82,3445289
ARMM,Brgy Blotter,0,0,39,0,8,6,0,0,53,0.13,7,-,6,11.32,16,49,65,16,1,118,23,-,7,-,0.29,3445289
ARMM,OLEA,0,0,0,0,0,0,0,0,0, -   ,0,-,0,-,0,0,0,0,0,0,0,-,0,-, -   ,3445289
COR,PNP Blotter,98,135,4819,242,1279,5035,310,21,11939,58.16,8327,69.75,7590,63.57,2880,8087,10967,8970,8319,22906,17297,75.51,15909,69.45,111.58,1710791
COR,Brgy Blotter,0,8,738,0,3,51,4,2,806,3.93,0,-,0,0,80,739,819,0,0,1625,0,-,0,-,7.92,1710791
COR,OLEA,0,0,20,16,18,40,2,0,96,0.47,0,-,0,0,95,42,137,0,0,233,0,-,0,-,1.13,1710791
NCR,PNP Blotter,710,477,10603,1325,13536,20046,3209,0,49906,33.15,24115,48.32,16592,33.25,16695,89189,105884,94158,79943,155790,118273,75.92,96535,61.96,103.49,12545207
NCR,Brgy Blotter,0,0,22508,26,6361,18939,159,0,47993,31.88,37875,-,28280,58.93,7913,49877,57790,50170,35591,105783,88045,-,63871,-,70.27,12545207
NCR,OLEA,2,5,36,2,37,39,0,0,121,0.08,97,-,48,39.67,27,28,55,52,44,176,149,-,92,-,0.12,12545207
GRAND TOTAL,GRAND TOTAL,9276,7235,251789,9177,58591,170328,12833,1962,521191,44.45,208994,-,152814,-,166155,551471,717626,378699,297281,1238817,587693,47.44,450095,36.33,105.66,97701945
AMCR,AMCR,0.79,0.62,21.48,0.78,5,14.53,1.09,0.17,44.45,-,-,-,-,-,14.17,47.04,61.21,-,-,105.66,-,-,-,-,-,-
