city_municipality,position ,name,nickname,party_affiliation,votes_obtained
Aguinaldo,Mayor,"Talusig, Clemente Sawadan",Clem,Independent,3687
Aguinaldo,Vice-Mayor,"Chilagan, Gaspar, Jr. Buhatan",Jhun,Independent,3229
Aguinaldo,Councilor,"Chilagan, Julius Liwanon",Julius,Independent,2928
Aguinaldo,Councilor,"Dog-E, June Habbeleng",June,Lakas-Kampi,3004
Aguinaldo,Councilor,"Paynohon, Juliet Baguan",Juleng,Lakas-Kampi,3045
Aguinaldo,Councilor,"Biogan, Fidel Limante",Leber,Independent,3080
Aguinaldo,Councilor,"Baychon, Moses Abingwan",Mos,Independent,3092
Aguinaldo,Councilor,"Bayangan, Mateo Buhao",Mateo,Independent,3143
Aguinaldo,Councilor,"Alindayo, Ariston Ling-ad",Aris,Lakas-Kampi,3454
Aguinaldo,Councilor,"Henaggon, Maribel Timmangao",Bel,Lakas-Kampi,4237
Alfonso Lista Potia,Mayor,"Prudenciano, Glenn Doclosen",Glenn,Nacionalista Party,6531
Alfonso Lista Potia,Vice-Mayor,"Angowan, Joseph Abingwan",Trinity,Nacionalista Party,5882
Alfonso Lista Potia,Councilor,"Chocyagan, Jesus Domingo",Jess,Independent,3790
Alfonso Lista Potia,Councilor,"Tuguinay, Herman Dupiao",Tugguin,Lakas-Kampi,3973
Alfonso Lista Potia,Councilor,"Sampayan, Joyce Banayan",Joyce,Lakas-Kampi,4186
Alfonso Lista Potia,Councilor,"Aliguyon, John Baldo",Oon,Nacionalista Party,4350
Alfonso Lista Potia,Councilor,"Perez, Celso Dumayas",Oslec,Nacionalista Party,4531
Alfonso Lista Potia,Councilor,"Taganas, William Concepcion",Willy,Lakas-Kampi,5057
Alfonso Lista Potia,Councilor,"Alipio, Edralin Bacagan",Pidot,Lakas-Kampi,5489
Alfonso Lista Potia,Councilor,"Buminaang, Michael Atolba",Mike,Nacionalista Party,5571
Asipulo,Mayor,"Bang-Ud, Eladio Hinalong",Ely,Nacionalista Party,2752
Asipulo,Vice-Mayor,"Pullupul, Tomas Ugnayon",Tom,Lakas-Kampi,3008
Asipulo,Councilor,"Ullani, Robert Puguon",Puddunan,Nacionalista Party,2090
Asipulo,Councilor,"Dupingay, Fernando Dalanguingay",Ferdie,Lakas-Kampi,2126
Asipulo,Councilor,"Piggangay, Florence Buhong",Renchie,Nacionalista Party,2135
Asipulo,Councilor,"Humiwat, Christine Dupingay",Christine,Lakas-Kampi,2169
Asipulo,Councilor,"Pallay, Romel Dulnuan",Lome,Liberal Party,2329
Asipulo,Councilor,"Bahingawan, Clarence Pinkihan",Bahinga-1,Lakas-Kampi,2383
Asipulo,Councilor,"Dupingay, Clarence Dawi",Calengay,Lakas-Kampi,2504
Asipulo,Councilor,"Gumangan, Denis Piggangay",Denis,Liberal Party,2692
Banaue,Mayor,"Dalipog, Jerry Uyami",Gerry,Lakas-Kampi,4179
Banaue,Vice-Mayor,"Haclao, Fermin, Jr. Binalit",Jun,Liberal Party,3114
Banaue,Councilor,"Bungallon, Joel Battiw",Jower,Independent,2659
Banaue,Councilor,"Dupingay, Agustin Buyawe",Aggus,Independent,2692
Banaue,Councilor,"Bongtiwon, Johnny Pulpog",Johnny,Independent,2750
Banaue,Councilor,"Dumar, Jun Kindipan",Big Brother,Independent,2916
Banaue,Councilor,"Cayong, Hygelac Tomitit",Pilak,Independent,2953
Banaue,Councilor,"Abbig, Samuel Lingling",Sam,Nacionalista Party,2960
Banaue,Councilor,"Binalet, Robert Lango",Bert,Independent,3017
Banaue,Councilor,"Mamanglo, William Ballangi",Kawitan,Independent,3168
Hingyon,Mayor,"Buyuccan, Mario Ballogan",Mars,Independent,1921
Hingyon,Vice-Mayor,"Bantiyan, Marcos Lah-o",Bingao,Independent,2914
Hingyon,Councilor,"Bittag, Isabel Abella",Sabel,Nacionalista Party,1526
Hingyon,Councilor,"Dinamling, Avelino Tuguinay",Abe,Independent,1641
Hingyon,Councilor,"Luglug, Gerald Dangayo",Gerry,Independent,1676
Hingyon,Councilor,"Hewe, Romando Mariano",In-Nam,Independent,1691
Hingyon,Councilor,"Baguidudol, Francis, Jr. Inuga",Puhlat,Independent,1714
Hingyon,Councilor,"Banawol, James Galap",Jamesban,Independent,1822
Hingyon,Councilor,"Bango, Baltazar Hangda-an",Tatal,Independent,1946
Hingyon,Councilor,"Bay-Ong, Emilio Maguitta",Bay-Ong,Independent,1969
Hungduan,Mayor,"Bumangabang, Hilario Tapayaon",Larry,Lakas-Kampi,2376
