code,name_of_project, amount ,date_utilized, amount_paid , balance 
300-2013-02-001893,"Construction of Sewerage Treatment Plant (STP) at Rosario District Hospital, Brgy. Namunga, Rosario, Batangas",3996773.8,4/24/2013,599516.07,3397257.73
300-2013-02-001894,"Construction of Sewerage Treatment Plant (STP) at Calatagan Medicare Hospital, Brgy. II,Calatagan, Batangas",4128740.86,4/30/2013,618600.42,3510140.44
300-2013-02-001897,"Construction of Sewerage Treatment Plant (STP) at Laurel Memorial District Hospital,Brgy. Santor, Tanauan City",3996838,4/30/2013,599525.7,-
300-2013-02-001897,"Construction of Sewerage Treatment Plant (STP) at Laurel Memorial District Hospital,Brgy. Santor, Tanauan City",-,7/26/2013,3397312.3,0
300-2013-02-001900,"Construction of Sewerage Treatment Plant (STP) at Lobo Municipal Hospital, Brgy. Fabrica,Lobo, Batangas",4124600,5/29/2013,618690,3505910
300-2013-08-014209,Rehabilitation of Façade of the Eight (8) Public Hospitals in the Province of Batangas,1212995.38,8/29/2013,1212995.38,0
300-2013-08-014209,Installation of Build Up Signage (3' x 11') at Twelve (12) Public Hospitals in the Province of Batangas,1963050.6,-,-,1963050.6
300-2013-08-014209,"Construction of Facilities at Martin Marasigan Memorial Hospital, Brgy. Pob. 3, Cuenca,Batangas (Phase II)",12325706.09,-,-,12325706.09
300-2013-08-014209,"Improvement of Facilities at Lobo Municipal Hospital, Brgy. Fabrica, Lobo, Batangas (Phase II)",5200000,-,-,5200000
300-2013-02-001809,"Construction of Day Care Center or OB Montessori at Brgy. Binubusan, Lian, Batangas",2018587.11,4/30/2013,302788.07,-
300-2013-02-001809,"Construction of Day Care Center or OB Montessori at Brgy. Binubusan, Lian, Batangas",-,9/10/2013,1715799.04,0
300-2013-02-001809,"Construction of Day Care Center or OB Montessori at Brgy. San Miguel, Sto. Tomas",1112204.74,-,-,1112204.74
300-2013-02-001809,"Construction of Day Care Center at Brgy. Bagum Bayan, Tanauan City, Batangas",1000000,-,-,1000000
300-2013-02-001809,"Completion of Multi-Purpose Bldg. at Brgy. Tayuman, Lobo, Batangas",1376601.95,-,-,1376601.95
300-2013-02-001809,"Completion of Multi-Purpose Bldg. at Brgy. Gulibay, Bauan, Batangas",4200138.14,-,-,4200138.14
300-2013-08-014149,"Completion of Multi-Purpose Bldg. at Brgy. Calumpang East, San Luis, Batangas",3333259.48,8/29/2013,3333259.48,0
300-2013-12-001826,"Completion of Multi-Purpose Bldg. of Mohon E/S, Brgy. Bihis, Sta. Teresita, Batangas",4634747,6/19/2013,695212.05,3939534.95
300-2013-02-001829,"Construction of Multi-Purpose Bldg. at Padre Garcia NHS, Brgy. Poblacion, Padre Garcia",6876450,6/19/2013,1031467.5,5844982.5
300-2013-02-001829,"Construction of Multi-Purpose Bldg. at Brgy. Talaibon, Ibaan, Batangas",2864202.66,-,-,2864202.66
300-2013-07-011000,"Construction of Multi-Purpose Bldg. at Brgy. Poblacion 2, Sta. Teresita, Batangas",998178.6,7/9/2013,998178.6,0
300-2013-07-011992,"Construction of the 3rd Floor Multi-Purpose Bldg. at Brgy. Sta. Anastacia, Sto. Tomas",2718500,7/16/2013,2718500,0
300-2013-07-011011,"Construction of the 2nd Floor Multi-Purpose Bldg. at Brgy. Masalisi, Lemery",998852.05,7/9/2013,998852.05,0
