project_1,project_2,amount,date_utilization,amount_paid,balance
Current Projects,"Construction of One Classroom VSR Type School Bldgs. at Barangay Pob A, Rosario, Batangas",1997796.83,9/28/2012,1997796.83,-
Current Projects,Construction of Facilities of Martin Marasigan Mem Hosp Phase 1,23976688.3,12/29/2012,"14959928.87, 9016759.43",0
Current Projects,Construction of Roadway at Eastern Portion and Installation of RC Pipes at the Southern Portion of San Juan Dist Hosp Cmpd,499159.1,10/8/2012,499159.1,-
Current Projects,"Concreting at Barangay Coral na Munti, Agoncillo Batangas",1283288.36,10/3/2012,1283288.36,-
Current Projects,"Concreting at Agoncillo-Pansipit Via Panhulan Rd, Agoncillo, Batangas",27349201.32,"6/20/2012,  9/25/2012, 12/28/2012","4102380.2, 12848298.55, 10398522.57",-
Current Projects,"Concreting of Provincial Road at Barangay Salong, Calaca, Batangas",317205.66,9/6/2012,317205.66,-
Current Projects,"Concreting of Provincial Road at Barangay Madalunot, Calaca",3247930.45,9/6/2012,3247930.45,-
Current Projects,"Concreting of Provincial Road at Barangay Tanagan and Bagong Silang, Calatagan, Batangas",12821831,"11/15/2012, 12/29/2012","9616373.26, 3205457.74",-
Current Projects,"Rehab and Improvement of Provincial Road Along Barangay Bungahan and Emmanuel, Cuenca Batangas",7409947.82,"6/20/2012, 12/13/2012","1111492.17, 6298455.65",-
Current Projects,"Concreting of Road and Construction of Slope Protection at San Vicente Ecological Park, Barangay San Vicente,Sto Tomas, Batangas",2996949.7,12/28/2012,2996949.7,-
Current Projects,"Concreting of Provincial Road and Construction of Canal (Boulders) and Slope Protection (Riprap) at Barangay Tulong, Tuy",26863796.62,"9/3/2012, 12/29/2012","4029569.49, 22834227.13",0
Current Projects,"Concreting of Provincial Road along Barangay Bukal, San Isidro and Pinagbayanan, Taysan",11801265.37,"6/11/2012, 9/6/2012","1770189.81, 10031075.56",0
Current Projects,"Concreting of Provincial Road along Barangay Bilaran, Reparo and Munting Indang, Nasugbu, Batangas",5562928,9/12/2012,5562928,-
Current Projects,"Concreting of Provincial Road at Barangay Bucana, Nasugbu, Batangas",1399000,11/27/2012,1399000,-
Current Projects,"Concreting of Provincial Road and Construction of Slope Protection along Barangay Dalima and  Barangay Bagong pook of Tuy and Lian, Batangas",4789273.55,7/25/2012,4789273.55,-
Current Projects,"Concreting of Provincial Road at Barangay Pag-Asa, Taysan, Batangas",4484966.77,9/28/2012,4484966.77,-
Current Projects,"Concreting of Provincial Road at Barangay Lucsuhin and Sambongan, Calatagan, Batangas",3744295.05,8/1/2012,3744295.05,-
Current Projects,"Concreting of Provincial Road along Barangay Pinagbayanan and San Juan Marcelino, Sto Nino Junction Rd, Taysan",12509939.87,"9/6/2012, 12/29/2012","7761915.41, 4748024.46",0
Current Projects,"Concreting of Provincial Road along Barangay Mabayabas, Bukal and Tilambo,Taysan",22906480.29,"6/25/2012, 9/25/2012","3435972.04, 19470508.25",-
Current Projects,"Concreting of Provincial Road at Barangay Panghayaan, Taysan",3846785.26,12/29/2012,3846785.26,-
Current Projects,"Concreting of Provincial Road at Barangay Sto Nino. Taysan, Batangas",5718729.95,"6/13/2012, 12/31/2012","857809.49, 4860920.46",-
Current Projects,"Concreting of Provincial Road at Barangay Luya, San Luis, Batangas",1035817.85,9/12/2012,1035817.85,-
Current Projects,"Concreting of Provincial Road along Barangay Bagong Tubig and Bonliw, San Luis, Batangas",10165708.23,9/6/2012,10165708.23,-
Current Projects,"Concreting of Provincial Road at Barangay Janao, San Juan, Batangas",1357888.76,10/3/2012,1357888.76,-
Current Projects,"Concreting of Provincial Road at Barangay Natu, Rosario, Batangas",1632859.51,9/17/2012,1632859.51,-
