project_1,project_2,amount,date_utilization,amopunt_paid,amopunt_paid
Current Projects,"Construction of Perimeter Fence at Eco Waste and Sanitary Landfill at Barangay San Juan, Alitagtag, Batangas",1933778.19,9/28/2012,1933778.19,1933779.19
Current Projects,"Construction of Day Care Center at Barangay Pob, San Juan",2054401.75,9/25/2012,2054401.75,2054402.75
Current Projects,"Construction of Covered Gymnasium at Barangay Kumintang Ibaba, Batangas City",4694690.66,-,-,-
Current Projects,"Improvement/Installation of Roofing of Basketball Court and Stage at Barangay Talon San Luis, Batangas",4410745.74,-,-,-
Current Projects,"Construction of Covered Gymnasium at Barangay Sta Clara, Batangas City",5130434.95,6/20/2012,768782.81,768783.81
Current Projects,"Installation of Streetlights at Barangay Boot, Tanauan City",1000000,-,-,-
Current Projects,"Construction of Day Care Center at Barangay Caloocan, Balayan, Batangas",996972.85,8/12/4629,996972.85,996973.85
Continuing Projects,"Replacement of San Andres Bridge at Barangay San Andres, Bauan, Batangas",32000000,6/20/2012,4795277.35,4795278.35
Continuing Projects,"Replacement of Bagong Pook Bridge at Barangay Pob, Malvar, Batangas",8590190,8/23/2012,1288528.5,1288529.5
Continuing Projects,"Replacement of Kapitan Maria Bridge at Barangay San Pioquinto, Malvar, Batangas",11550000,-,-,-
Continuing Projects,"Rehabilitation of Seawall at Barangay Baclaran,Balayan, Batangas",3214353.45,7/25/2012,3214353.45,3214354.45
Continuing Projects,"Rehabilitation of Slope Protection (Riprapping) at San Mariano Bridge at Barangay San Mariano, San Pascual Batangas",2493026.32,9/24/2012,2493026.32,2493027.32
Continuing Projects,"Rehabilitation of Slope Protection (Gabion Wall) of Alas-as Bridge, Barangay Poblacion 5, Laurel, Batangas",5832940.96,9/6/2012,5832940.96,5832941.96
Continuing Projects,"Rehabilitation of Slope Protection (Gabion Wall) at Barangay Buso-buso Sitio Pantay, Laurel, Batangas",4000000,-,-,-
Continuing Projects,"Rehabilitation of Slope Protection (Riprapping) at Barangay Tambo Ilaya, Sta Teresita, Batangas",1118315.17,7/25/2012,1118315.17,1118316.17
Continuing Projects,"Rehabilitation of Slope Protection (Riprapping) with Canal Adjacent to San Carlos and Natu Provincial Road along Barangay Natu and San Carlos, Rosario, Batangas",5467951.24,"6/20/2012, 9/12/2012","820192.69, 4647758.55","820192.69, 4647758.56"
Continuing Projects,"Rehabilitation of Slope Protection (Riprapping) at Barangay Balanga, Ibaan, Batangas",2197579.72,7/31/2012,2197579.72,2197580.72
Continuing Projects,"Rehabilitation of Slope Protection (Riprapping) at Barangay Catandala, Ibaan, Batangas",3250000,-,-,-
Grand Total,Grand Total,361280260.6,-,-,-
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Total Continuing Projects,,,,,
GRAND TOTAL,,,,,
