project_1,project_2,amount,date_utilization,amount_paid,balance
Continuing Projects,"Rehabilitation of Slope Protection (Riprapping) with Canal Adjacent to San Carlos and Natu Provincial Road along Barangay Natu and San Carlos, Rosario, Batangas",5473611.82,6/20/2012,820192.69,4653419.13
Continuing Projects,"Rehabilitation of Slope Protection (Riprapping) at Barangay Balanga, Ibaan, Batangas",2200000,-,-,2200000
Continuing Projects,"Rehabilitation of Slope Protection (Riprapping) at Barangay Catandala, Ibaan, Batangas",3250000,-,-,3250000
Continuing Projects,Total Continuing Projects,79738749.1,-,-,72834750.56
Grand Total,Grand Total,361304652.8,-,-,237097584.1
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Total Continuing Projects,,,,,
GRAND TOTAL,,,,,
