code,list_of_projets_1,list_of_projets_2,list_of_projets_3,office_agency,amount_appropriated,amount_actually_disbursed,balance,remarks,problems_met
20,LGU Equity for MRDP - RI Subprojects,Improvement of Kiayap Falls FMR at Brgy Kiayap,"Roads, Highways and Bridges",MEO,1748680,-,1748680,not started,-
20,LGU Equity for MRDP - RI Subprojects,Improvement of Marang FMR at Brgy Wali,"Roads, Highways and Bridges",-,1277880,-,127780,not started,-
20,LGU Equity for MRDP - RI Subprojects,Improvement of Saguel FMR at Brgy Pinol,"Roads, Highways and Bridges",-,448900,-,448900,not started,-
20,LGU Equity for MRDP - RI Subprojects,Improvement of Cambuhan - Seaside FMR,"Roads, Highways and Bridges",-,95280,-,95280,not strated,-
21,LGU Equity for MRDP - RI Subprojects,Aid to Barangay Infrastructure Project,Other Public Infrastructure,MEO,570000,30000,540000,on going,-
-,Total fo 20% Dev't Fund,Total fo 20% Dev't Fund,Total fo 20% Dev't Fund,-,13997651,1573544.85,12404106.15,-,-
