code,pdaf_number,source_of_funds,particulars,appropriation,disbursements,balance,remarks
416-0000000001,SARO ROCS#05-03493,PDAF FY 2005 - Rep. Erin L. Chiongbian,financial asssistance for Priority Dev't  Programs,1050000,970329.25,79670.75,-
416-0000000002,SARO ROCS#05-03495,PDAF FY 2005 - Rep. Erin L. Chiongbian,financial asssistance for Priority Dev't  Programs,500000,429850,70150,-
416-0000000101,SARO ROCS#09-03620,"PDAF 2009, RA 9524 - Rep. Erwin L. Chiongbian",financial asssistance for Priority Dev't  Programs,505000,355760,149240,-
416-0000000104,SARO ROCS#08-07052,"PDAF 2009, RA 9524 - Sen. Juan Miguel Zubiri",financial asssistance for Priority Dev't  Programs,1500000,1359175.25,140824.75,-
416-0000000120,SARO ROCS#11-00148,"PDAF 2010, RA 9970 - Sen. Vicente C. Sotto III",Integ Barangay Defense  System Dev't Prloject,2250000,516000,1734000,with obligated transations amounting to 1004000
416-0000000119,SARO ROCS#10-07940,"PDAF 2010, RA 9970 - Cong. Antonio L. Tinio (ACT Teachers Partylist",Financial Assistance for Alternative Learning System (ALS),100000,-,100000,with PR amounting 99992.80
416-0000000128,SARO ROCS#09-04990,"PDAF 2009, RA 9524- Sen. Francis N. Pangalinan",Financial Assistance for Priority Dev't Programs,1000000,300000,700000,-
416-0000000130,SARO ROCS#G 11-02165,"PDAF 2010, RA 9970- Continuing Appropriations",Financial Assistance for Priority Dev't Programs (Concreting of Maribulan - Alegria Prov'l Road),5000000,745476.57,4254523.43,15% mobilization only; total cost 4969843.82
416-0000000129,SARO ROCS#G 11-01858,"PDAF 2010, RA 9970- Continuing Appropriations",Financial Assistance for Priority Dev't Programs Award on Houekeeping (Performance Challenge Fund),10000000,2503859.44,7496140.56,with POW and obligated transaction totaled to 70233889.29
416-0000000145,-,DILG - Region XII,-,7000000,-,7000000,no disburement
-,-,-,-,28905000,7180450.51,21724549.49,-
