particulars,functions_programs_or_project_1,functions_programs_or_project_2,functions_programs_or_project_3,functions_programs_or_project_4,code,appropriations,allotments,obligations,balances_of_appropriation,balances_of_allotment,
January-February 20% Economic Development Fund 2012,Social Sector,Upgrading of Health Facilities,Upgrading of Health Facilities,Improvement of JMA District Hosp. (Phase II),8919-300-1a,1300000,-,-,1300000,-,
January-February 20% Economic Development Fund 2012,Social Sector,Upgrading of Health Facilities,Upgrading of Health Facilities,"Renovation of Technical Section, PHO Compd (Phase II)",-300-1b,850000,-,-,850000,-,
January-February 20% Economic Development Fund 2012,Social Sector,Upgrading of Health Facilities,Upgrading of Health Facilities,Renov or Rehabilitation of San Miguel RHU,-300-1c,825000,-,-,825000,-,
January-February 20% Economic Development Fund 2012,Social Sector,Construction or Repair or Rehabilitation Of Educational Institutions,"Repair or Rehabilitation Of HE Bldg., Cabcab E or S cum Evacuation Center,","Repair or Rehabilitation Of HE Bldg., Cabcab E or S cum Evacuation Center,",-300-2c,500000,-,-,500000,-,
January-February 20% Economic Development Fund 2012,Social Sector,Construction or Repair or Rehabilitation Of Educational Institutions,"Construction of Sch. Drainage of Dororian E or S cum Evacuation Center,","Construction of Sch. Drainage of Dororian E or S cum Evacuation Center,",300-2e,100000,-,-,100000,-,
January-February 20% Economic Development Fund 2012,Social Sector,Construction or Repair or Rehabilitation Of Educational Institutions,"Rehabilitation of SACES Computer Bldg., SA","Rehabilitation of SACES Computer Bldg., SA",300-2h,500000,-,-,500000,-,
January-February 20% Economic Development Fund 2012,Social Sector,Construction or Repair or Rehabilitation Of Educational Institutions,Construction or Repair or Rehabilitation of Sch. Bldgs and other Learning Facilities cum Multi-Purpose Bldg. (Counterpart Fund),Construction or Repair or Rehabilitation of Sch. Bldgs and other Learning Facilities cum Multi-Purpose Bldg. (Counterpart Fund),300-2j,900000,-,-,900000,-,
January-February 20% Economic Development Fund 2012,Social Sector,Water System,"Construction of District I Water Tank, San Miguel","Construction of District I Water Tank, San Miguel",-300-3a,1000000,-,-,1000000,-,
January-February 20% Economic Development Fund 2012,Social Sector,Water System,"Construction of Elevated Water Tank, CNHS Virac","Construction of Elevated Water Tank, CNHS Virac",-300-3b,250000,-,-,250000,-,
January-February 20% Economic Development Fund 2012,Social Sector,Water System,"Concrete Perimeter Fencing of Brgy Plaza, Porot, Pandan","Concrete Perimeter Fencing of Brgy Plaza, Porot, Pandan",-300-4a,130000,-,-,130000,-,
January-February 20% Economic Development Fund 2012,Social Sector,Water System,"Completion of Guinobatan Evacuation Center, Bato","Completion of Guinobatan Evacuation Center, Bato",-300-4b,500000,-,-,500000,-,
