psgc_brgy,yes,no
175201019,117,274
175201020,55,57
175201021,303,81
175201022,226,152
175201023,237,53
175201024,171,100
175201025,145,153
175201026,6,225
175201027,90,260
175201028,23,154
175201029,460,93
175202001,263,101
175202003,15,140
175202004,243,435
175202005,41,262
175202006,65,114
175202007,409,283
175202008,543,288
175202009,294,238
175202010,146,237
175202011,352,416
175202012,357,167
175202013,268,167
175202014,299,325
175203001,239,231
175203002,65,155
175203003,91,51
175203004,140,203
175203005,82,278
175203006,251,305
175203007,257,183
175203008,234,66
175203009,125,389
175203010,65,82
175203011,289,145
175203012,430,250
175203013,166,144
175203014,158,172
175203015,46,916
175203016,195,83
175203017,413,187
175203018,9,143
175203019,274,206
175203020,127,176
175203021,125,52
175203022,141,128
175203023,54,72
175203024,159,287
175203025,251,87
175203026,77,115
175203027,56,57
175203028,83,148
175203029,57,112
175203031,148,103
175203032,191,74
175203033,273,112
175203034,425,46
175203035,131,33
175203036,367,95
175203037,127,138
175204001,36,80
175204002,83,417
175204003,10,772
175204005,4,172
175204006,104,202
175204007,217,145
175204008,21,118
175204009,23,357
175204010,54,187
175204011,139,500
175204012,308,243
175204013,12,94
175204014,0,86
175204015,106,440
175204017,131,720
175205001,163,39
175205002,532,57
175205003,521,81
175205004,128,56
175205005,163,17
175205006,351,36
175205007,308,44
175205008,19,23
175205009,364,82
175205010,97,44
175205011,335,71
175205012,235,32
175205013,434,51
175205015,404,146
175205016,611,47
175205017,584,31
175205018,277,81
175205019,434,46
175205021,292,56
175205022,134,25
175205023,129,114
175205025,187,6
175205026,381,42
175205027,766,42
175205028,715,23
175205029,432,276
175205030,260,9
175205031,802,103
175205032,158,20
175205033,178,65
175205034,131,16
175205035,184,32
175205036,339,34
175205037,672,51
175205038,112,84
175205039,121,37
175205041,425,66
175205042,398,146
175205043,82,13
175205044,380,28
175205045,131,24
175205046,188,58
175205047,224,55
175205048,312,12
175205049,566,102
175205050,61,2
175205051,82,3
175205052,144,11
175205053,130,2
175205054,105,5
175205055,119,32
175205056,516,58
175205057,354,70
175205058,426,93
175205059,195,44
175205061,169,3
175205062,329,101
175205063,169,22
175205064,295,24
175205065,267,25
175205066,181,13
175205068,198,96
175206001,56,134
175206002,85,160
175206003,169,65
175206004,296,264
175206005,215,207
175206006,124,51
175206007,36,168
175206008,84,117
175206009,226,121
175206010,200,46
175206012,121,298
175206013,449,117
175206014,147,65
175206015,360,209
175206016,85,194
175206017,458,120
175206018,123,105
175206020,134,139
175206021,142,147
175206022,83,179
175206023,314,160
175206024,124,127
175206025,128,126
175206026,324,86
175206027,203,100
175206028,440,117
175206029,151,149
175207001,606,503
175207002,196,344
175207003,107,178
175207004,64,140
175207005,88,156
175207007,275,230
175207010,126,124
175207011,103,383
175207012,10,1386
175207013,280,253
175207014,169,128
175207016,104,199
175207017,92,234
175207018,171,132
175207019,163,231
175207020,324,356
175207021,11,171
175208001,271,111
175208002,47,22
175208003,119,41
175208004,121,57
175208005,349,174
175208006,193,62
175208007,261,167
175208008,251,118
175208010,501,154
175208011,182,180
175208012,138,67
175208013,107,67
175208014,105,83
175208015,234,133
175208016,285,174
175208017,343,189
175208018,107,23
175208019,123,116
175208020,13,170
175208021,213,125
175208022,160,93
175208023,171,110
175208024,90,44
175208025,97,35
175208026,175,165
175208027,189,60
175208028,203,120
175208029,11,179
175208030,87,77
175208031,101,37
175208032,260,69
175208033,72,53
175208034,65,292
175208035,108,41
175208036,241,131
175208037,177,41
175208038,140,58
175208039,227,74
175208040,265,68
175208042,174,115
175208043,310,160
175208044,298,74
175208045,174,57
175208046,95,11
175208047,123,20
175208048,92,40
175208049,354,105
175208050,262,37
175208051,190,76
175208052,25,186
175208053,79,21
175208054,99,38
175208055,137,50
175208056,41,44
175208057,84,36
175208058,72,76
175208059,146,92
175208060,199,48
175208061,318,147
175208062,143,42
175208063,237,101
175208064,100,67
175208065,90,53
175208066,227,63
175208067,195,82
175208068,4,158
175208069,11,96
175208070,0,85
175208071,1,90
175208072,23,223
175209001,315,129
175209002,162,118
175209003,170,52
175209004,238,174
175209005,153,146
175209006,561,149
175209007,174,200
175209008,154,94
175209009,186,121
175209010,345,261
175209011,81,108
175209012,157,129
175209013,238,94
175209014,237,118
175209015,1049,120
175209016,412,176
175209017,164,115
175209018,321,113
175209019,284,120
175209020,92,109
175209021,376,178
175209022,895,542
175209023,354,283
175209024,425,84
175209025,445,49
175209026,198,11
175209027,280,158
175209028,89,82
175209029,192,103
175209030,250,444
175209031,179,344
175209032,212,51
175209033,471,95
175209034,711,205
175209035,587,130
175209036,199,62
175209037,147,281
175210001,54,218
175210002,18,17
175210004,394,169
175210005,206,78
175210006,138,56
175210007,41,206
175210008,140,140
175210009,236,149
175210010,210,135
175210011,97,102
175210012,363,258
175210013,297,445
175210014,138,237
175210015,156,154
175210017,97,11
175210018,104,19
175210019,78,93
175210020,54,109
175210021,110,167
175210022,49,138
175210023,44,118
175210024,73,32
175210025,80,94
175211001,378,125
175211002,602,181
175211003,422,97
175211004,240,18
175211005,546,63
175211006,45,112
175211007,503,94
175211008,314,32
175211009,296,25
175211010,407,133
175211011,106,167
175211012,662,64
175211013,9,117
175212001,997,316
175212002,307,273
175212003,617,251
175212004,107,178
175212005,288,90
175212006,209,241
175212007,113,165
175212008,35,97
175212009,429,293
175212010,671,291
175212011,417,321
175212012,161,271
175212013,289,319
175212014,526,341
175212015,168,109
175212016,125,131
175212017,140,540
175212018,111,86
175212019,184,232
175212020,155,43
175213001,226,149
175213002,126,326
175213003,336,138
175213004,240,91
175213005,368,192
175213006,262,141
175213007,312,74
175213008,131,255
175214001,283,114
175214002,84,42
175214003,160,386
175214005,195,135
175214006,337,118
175214007,96,59
175214008,13,583
175214009,69,105
175214010,131,108
175214012,236,153
175214013,244,167
175214014,76,162
175214015,74,74
175214016,364,274
175214017,58,107
175214018,104,63
175214019,144,70
175214020,186,34
175214021,96,17
175214022,180,40
175214023,420,44
175214024,200,211
175214025,249,268
175214027,5,154
175214028,146,217
175214029,3,86
175215001,422,266
175215002,302,48
175215003,139,116
175215004,142,80
175215005,116,161
175215006,186,10
175215007,154,31
175215008,31,157
175215009,155,90
175215010,177,162
175215011,169,56
175215012,615,19
175215013,286,115
175215015,77,25
175215016,230,104
175215017,382,134
175215018,593,82
175215019,181,28
175215020,559,208
175215021,304,56
175215027,144,71
175215028,173,65
175215029,104,175
175215030,55,20
175215031,267,84
175215032,155,55
175215033,210,130
175215034,175,114
175215035,170,386
175215036,250,81
175215037,105,62
175215038,146,67
175301001,131,113
175301002,86,173
175301003,195,421
175301004,90,107
175301005,163,218
175301006,50,61
175301007,193,227
175301008,220,230
175301009,210,71
175301010,154,45
175301011,180,103
175301012,443,177
175301014,208,318
175301015,102,168
175301016,483,169
175301017,115,102
175301018,237,107
175301019,357,84
175301020,44,210
175302002,615,388
175302003,560,148
175302004,161,99
175302005,18,42
175302006,38,35
175302007,96,7
175302008,47,2
175302009,67,17
175302010,68,70
175302011,68,146
175303001,60,87
175303004,76,94
175303005,57,50
175303006,52,85
175303007,71,90
175303008,75,109
175303009,125,64
175303010,60,73
175303011,34,80
175303012,60,63
175303013,301,79
175303014,277,218
175303015,467,78
175304001,8,122
175304002,26,77
175304003,356,1266
175304005,15,269
175304006,32,465
175304007,24,201
175304008,740,706
175304009,15,244
175304011,16,154
175304012,4,35
175304019,7,93
175304020,14,326
175304021,58,428
175304022,29,209
175304024,63,14
175304025,87,14
175304026,68,20
175304027,98,14
175304028,111,21
175304029,81,184
175305001,198,341
175305002,134,198
175305003,66,240
175305004,115,580
175305005,23,225
175305006,142,446
175305007,117,271
175305008,110,298
175305009,6,189
175305010,924,421
175305011,126,279
175305012,35,251
175305013,2148,437
175305014,127,337
175305015,49,301
175305016,82,256
175305017,178,473
175305018,34,173
175305019,60,203
175305020,39,136
175305021,98,211
175305022,147,659
175306001,50,273
175306002,300,423
175306003,383,382
175306004,257,326
175306005,58,421
175306006,353,695
175306010,275,422
175306011,132,432
175306012,117,353
175306013,153,397
175306014,121,193
175306015,659,615
175306017,544,97
175306018,376,29
175306023,218,410
175306024,157,326
175306025,99,369
175306026,56,146
175307001,121,68
175307002,167,342
175307004,113,319
175307005,142,127
175307006,114,120
175307007,163,119
175307008,113,65
175307009,253,360
175307010,100,40
175307011,109,133
175307012,423,205
175307013,66,112
175307014,68,70
175307015,92,155
175308001,62,11
175308002,28,3
175308003,56,1
175308004,32,3
175308005,23,1
175308006,17,232
175308007,7,99
175308008,23,60
175308009,129,69
175308010,36,20
175308011,13,193
175308012,43,5
175309001,25,115
175309002,199,225
175309003,201,353
175309004,63,135
175309005,226,342
175309006,94,303
175309008,88,171
175309009,126,191
175309010,256,214
175309011,152,203
175309012,62,101
175309013,135,141
175309016,678,71
175309017,178,1
175309018,169,8
175309019,131,6
175309020,441,79
175309022,162,161
175309023,169,302
175309024,934,257
175309025,134,157
175309026,228,290
175309032,278,95
175310001,130,60
175310002,94,13
175310003,280,44
175310004,79,54
175310005,31,243
175310006,137,30
175310007,81,55
175310008,146,39
175310009,126,80
175310010,254,189
175310011,281,53
175310012,190,43
175310014,271,70
175310015,302,44
175310016,481,148
175310017,106,18
175310018,59,28
175311001,144,213
175311002,82,216
175311003,17,49
175311004,87,165
175311005,65,141
175311006,48,108
175311007,173,199
175311008,215,205
175311009,210,221
175311010,136,266
175311011,129,209
175311012,62,139
175311013,289,255
175311014,47,211
175311015,29,290
175311016,38,139
175312001,48,205
175312002,445,66
175312003,179,297
175312004,129,284
175312005,155,94
175312006,74,219
175312007,123,292
175312008,304,18
175312009,326,264
175312010,53,279
175312011,183,11
175312012,45,359
175312013,85,231
175312014,196,645
175312015,106,266
175312016,74,165
175312017,308,520
175312018,72,183
175313001,110,108
175313002,97,87
175313003,83,144
175313004,12,97
175313006,172,196
175313007,222,272
175313008,128,136
175313009,148,151
175313010,422,463
175313011,126,108
175314001,68,49
175314002,306,74
175314003,55,189
175314004,54,182
175314005,130,11
175314006,113,24
175314007,181,28
175314008,91,14
175314009,220,13
175314010,313,63
175314011,391,47
175315001,762,258
175315002,341,650
175315003,201,107
175315004,264,146
175315005,271,303
175315006,128,174
175315007,578,412
175315008,452,322
175315009,60,100
175315010,172,105
175315011,78,373
175315012,317,222
175315013,468,207
175315014,1103,229
175315015,870,245
175315016,775,393
175315017,332,192
175315018,43,99
175315019,266,157
175315020,264,87
175315021,91,82
175315022,328,124
175315023,518,201
175316001,471,155
175316002,327,440
175316003,36,140
175316004,41,7
175316005,742,141
175316006,364,198
175316008,315,155
175316009,441,161
175316010,194,124
175316011,87,251
175316012,361,290
175316013,193,109
175316014,188,244
175316015,671,281
175316016,87,41
175316017,31,5
175316018,246,192
175316019,165,346
175316020,57,19
175316021,133,235
175316022,194,48
175316023,205,111
175316025,0,2
175316026,186,208
175316027,101,18
175316028,42,10
175316029,204,145
175316030,21,119
175316031,190,177
175316032,25,9
175316033,45,6
175316034,142,13
175316035,456,202
175316036,58,11
175316037,252,48
175316038,76,15
175316039,87,4
175316040,21,0
175316041,82,376
175316042,69,52
175316043,259,107
175316044,178,9
175316045,188,130
175316046,548,199
175316047,777,114
175316048,659,172
175316049,218,114
175316050,155,61
175316051,767,341
175316052,16,28
175316053,608,101
175316054,3,4
175316055,399,84
175316056,64,153
175316057,83,266
175316058,505,135
175316059,78,20
175316060,61,110
175316061,60,6
175316062,601,174
175316063,116,553
175316064,556,264
175316065,527,122
175316066,455,100
175316067,354,51
175317001,2259,397
175317002,142,668
175317003,214,300
175317005,131,330
175317011,126,928
175317012,259,653
175317014,49,415
175317016,359,869
175317017,188,703
175317020,130,348
175317021,321,755
175317023,18,337
175317024,256,429
175317025,193,619
175318001,369,422
175318002,45,215
175318003,69,147
175318004,231,371
175318005,105,531
175318006,30,142
175318008,45,158
175318009,298,628
175318010,91,227
175318011,90,226
175318012,82,192
175318013,428,126
175318014,177,174
175318015,602,127
175318017,90,113
175318018,38,126
175318019,46,116
175318020,151,141
175318021,60,175
175318022,47,186
175318023,87,335
175318024,208,315
175318025,83,177
175318026,113,311
175318028,466,410
175318029,197,16
175318030,591,89
175318031,812,277
175318032,4,0
175318033,111,43
175318034,129,284
175319001,677,312
175319002,96,279
175319003,350,494
175319004,71,132
175319005,488,169
175319006,88,188
175319007,572,759
175319008,842,312
175319009,174,50
175319010,45,221
175320001,183,615
175320002,135,220
175320003,97,307
175320004,64,157
175320005,131,465
175320006,144,189
175320007,102,146
175320008,205,873
175320009,272,486
175320010,59,111
175320011,104,149
175320012,69,166
175320013,597,497
175320014,53,164
175320015,310,314
175320016,84,128
175320017,85,213
175320018,155,391
175320019,293,214
175320020,1182,824
175320021,132,286
175320022,198,297
175320023,93,147
175320024,82,155
175320025,138,442
175320026,17,121
175320027,83,368
175320028,65,66
175320029,40,164
175320030,124,129
175320031,66,412
175322001,92,2
175322002,40,78
175322003,164,139
175322004,46,4
175322005,125,152
175322006,183,30
175322007,168,90
175322008,99,180
175322009,83,225
175322010,361,187
175322011,152,22
175322012,34,42
175322013,50,94
175322014,3,208
175323001,86,472
175323002,55,383
175323003,427,917
175323004,55,407
175323005,62,464
175323006,233,876
175323007,19,337
175323008,106,833
175323009,959,895
175323010,80,871
175323011,67,629
175324001,213,407
175324002,236,328
175324003,204,261
175324004,116,600
175324005,198,903
175324006,875,402
175324007,73,365
175324008,444,363
175324009,206,424
175901001,188,126
175901002,130,126
175901003,166,207
175901004,92,87
175901005,226,96
175901006,106,30
175901007,180,71
175901008,294,162
175901009,68,153
175901010,164,124
175901011,86,59
175901012,146,111
175902001,101,19
175902002,91,16
175902004,54,7
175902005,12,5
175902006,55,10
175902007,78,12
175902008,21,8
175902009,70,16
175902010,262,13
175902011,76,18
175902012,87,17
175902013,30,5
175902014,17,8
175902015,80,12
175902016,123,15
175902017,90,14
175902018,75,18
175903001,76,65
175903002,204,268
175903003,161,224
175903004,235,129
175903005,196,86
175903006,230,356
175903007,166,102
175903008,89,46
175903009,97,56
175903010,40,264
175903011,161,228
175903012,324,50
175903013,160,168
175903014,227,81
175904001,244,111
175904002,188,95
175904003,315,14
175904004,67,90
175904005,184,99
175904006,188,64
175904007,112,124
175905002,116,16
175905003,122,27
175905004,81,8
175905005,99,13
175905006,223,12
175905007,84,11
175905008,69,11
175905009,80,6
175905010,51,9
175906001,254,90
175906002,62,38
175906003,93,57
175906004,119,36
175906005,54,17
175906006,136,71
175906007,102,57
175906008,66,5
175906009,122,60
175906010,154,83
175906011,132,5
175906013,95,41
175906014,88,123
175906015,58,46
175906016,80,17
175907001,168,197
175907002,120,104
175907003,189,122
175907004,120,86
175907005,140,57
175907006,181,170
175907007,337,218
175907008,149,127
175907009,84,132
175907011,537,166
175907012,445,203
175907013,37,77
175908001,114,71
175908002,171,139
175908003,158,85
175908004,151,107
175908005,208,104
175908006,73,124
175908007,388,83
175908008,42,64
175908009,266,241
175909002,74,161
175909003,51,73
175909004,174,107
175909005,86,36
175909006,71,59
175909008,202,99
175909010,178,51
175909012,417,155
175909014,283,146
175909015,104,63
175909016,61,31
175909017,313,195
175909018,240,305
175909020,21,4
175909021,44,5
175909022,91,56
175909023,94,122
175909024,48,72
175909025,173,180
175909026,45,2
175909027,87,54
175909029,136,82
175909030,281,199
175909031,20,1
175909032,277,136
175910001,71,70
175910002,121,76
175910003,143,87
175910004,108,76
175910005,109,53
175910006,167,61
175910007,153,94
175910008,117,273
175910009,27,87
175910010,393,127
175910011,120,61
175910012,625,197
175910013,124,39
175910014,104,34
175910015,208,106
175910016,125,71
175910017,168,96
175910018,49,122
175910019,94,52
175910020,222,51
175910021,146,76
175910022,112,52
175910023,30,184
175910024,79,50
175910025,39,0
175910026,29,18
175910027,226,11
175910028,74,8
175910029,182,113
175910030,250,71
175910031,65,55
175911001,149,179
175911002,186,209
175911004,113,73
175911005,194,104
175911006,198,113
175911007,274,225
175911008,93,81
175911011,233,218
175911012,270,174
175911013,105,67
175911015,76,120
175911016,224,195
175911017,310,34
175911018,144,171
175911019,63,38
175912001,121,153
175912002,213,124
175912003,93,51
175912004,198,191
175912005,215,87
175912006,88,137
175912007,131,119
175912008,156,136
175912009,184,84
175912010,209,72
175912011,212,185
175912012,72,86
175912013,68,37
175913001,114,97
175913002,274,148
175913003,237,90
175913004,178,150
175913005,234,171
175913006,128,123
175913007,223,128
175913008,257,121
175913009,85,126
175913010,106,126
175913011,235,31
175913012,353,423
175914001,85,261
175914002,56,117
175914003,203,295
175914004,151,132
175914005,433,227
175915001,219,157
175915002,147,213
175915003,68,205
175915004,102,86
175915005,217,163
175915006,105,73
175915007,183,134
175915008,106,170
175915009,138,179
175915010,359,186
175915011,286,169
175916001,81,61
175916002,120,70
175916003,63,88
175916004,246,119
175916005,102,115
175916006,149,174
175917001,113,139
175917002,338,238
175917003,262,187
175917004,113,64
175917005,180,124
175917006,9,151
160201001,289,145
160201002,241,60
160201003,428,166
160201004,408,281
160201007,242,127
160201008,198,78
160201009,193,67
160201010,783,169
160201011,581,162
160201013,342,85
160201014,210,30
160201015,502,32
160201016,253,33
160201017,191,28
160201018,289,38
160201019,182,18
160201020,176,28
160201021,288,38
160201022,444,53
160201023,404,180
160201024,390,85
160201025,291,329
160201026,299,102
160201027,104,171
160201028,244,422
160202002,155,5
160202003,642,102
160202004,1370,239
160202006,267,164
160202007,217,115
160202008,251,524
160202009,18,46
160202010,235,131
160202012,1135,203
160202013,230,80
160202014,869,102
160202016,185,126
160202017,588,136
160202018,210,108
160202019,490,208
160202020,66,22
160202021,163,49
160202022,310,144
160202023,166,131
160202024,185,78
160202025,638,172
160202026,115,125
160202027,653,162
160202029,281,61
160202031,162,134
160202033,961,86
160202036,155,69
160202037,58,20
160202038,24,3
160202039,1639,371
160202040,337,117
160202043,83,21
160202045,143,9
160202047,1041,166
160202048,10,0
160202049,289,114
160202051,245,8
160202052,222,99
160202053,12,2
160202054,172,73
160202055,161,64
160202056,572,316
160202057,596,208
160202060,221,246
160202061,361,176
160202062,855,80
160202063,102,102
160202064,143,76
160202065,412,362
160202066,85,23
160202067,232,105
160202068,413,164
160202069,816,92
160202070,56,18
160202071,944,132
160202072,228,181
160202073,305,140
160202074,1,0
160202075,109,41
160202076,232,270
160202077,250,64
160202078,1,1
160202079,80,2
160202080,150,126
160202082,323,150
160202083,542,190
160202084,202,135
160202085,106,13
160202086,299,158
160202087,776,312
160202089,6,1
160202090,81,26
160202091,1457,190
160202092,53,124
160202093,265,109
160202094,236,116
160202095,273,253
160202096,107,150
160202097,718,158
160202098,447,49
160202099,130,76
160202100,349,190
160202101,123,223
160202102,60,72
160202103,311,143
160203002,179,72
160203005,165,62
160203006,141,52
160203007,186,38
160203009,305,65
160203010,348,153
160203011,526,133
160203012,472,118
160203013,150,58
160203014,541,209
160203016,175,89
160203017,344,79
160203018,848,252
160203019,687,132
160203021,185,32
160203022,29,5
160203023,19,3
160203024,261,36
160203025,94,18
160203026,328,45
160203027,103,7
160203028,62,6
160203029,127,24
160203030,257,49
160203031,36,2
160203032,375,84
160203033,227,162
160203037,352,173
160203038,218,47
160203040,683,72
160203041,168,91
160204001,421,154
160204002,318,92
160204004,92,273
160204009,640,291
160204010,296,232
160204011,185,102
160204012,468,233
160204014,273,201
160205001,310,130
160205002,315,219
160205003,160,64
160205004,96,65
160205005,195,205
160205006,263,114
160205007,262,65
160205008,247,50
160205009,147,88
160205010,51,34
160205011,537,147
160205012,185,50
160205013,158,56
160205014,290,68
160205015,188,37
160206001,151,133
160206002,186,72
160206003,30,18
160206004,227,82
160206005,321,152
160206006,377,79
160206007,180,56
160206008,274,107
160206009,165,29
160206010,485,134
160206011,334,41
160207001,124,87
160207002,96,151
160207003,149,132
160207004,83,108
160207005,324,222
160207006,124,81
160207007,183,136
160207008,122,85
160207009,229,166
160207010,174,104
160207011,171,30
160207013,118,112
160207014,124,78
160207015,69,64
160207016,157,76
160207017,107,196
160207018,129,156
160207019,146,124
160207020,45,55
160207021,181,223
160208001,486,111
160208002,526,308
160208003,147,114
160208005,245,57
160208008,126,122
160208009,441,37
160208010,260,59
160208011,476,27
160209001,294,176
160209002,270,108
160209004,223,90
160209005,601,350
160209006,191,50
160209007,451,115
160209008,90,177
160209009,213,58
160209010,262,21
160209011,58,9
160209012,109,22
160209013,60,8
160209014,160,19
160209015,210,10
160209016,134,40
160209017,524,55
160209018,315,101
160209019,459,44
160209020,280,61
160210002,223,100
160210003,275,80
160210005,181,67
160210007,645,338
160210008,307,119
160210009,277,80
160210010,170,56
160210011,333,118
160211001,94,70
160211002,158,78
160211003,277,159
160211004,295,94
160211005,88,23
160211006,230,118
160211007,234,120
160211008,297,157
160211009,226,110
160211010,29,58
160211011,85,68
160211012,121,43
160211013,255,140
160212001,431,64
160212002,353,154
160212003,325,117
160212004,207,126
160212005,181,54
160212006,237,172
160212007,321,121
160212008,246,89
160301001,196,190
160301002,206,101
160301003,393,116
160301004,259,75
160301006,116,75
160301007,263,76
160301009,411,130
160301010,657,142
160301011,518,200
160301013,217,117
160301014,82,53
160301016,2484,198
160301017,102,105
160301018,274,141
160301019,731,331
160301020,169,45
160301023,437,134
160301024,1738,218
160301025,169,128
160301027,218,142
160301028,192,183
160301029,469,122
160301030,283,104
160301031,178,36
160301032,106,52
160301033,145,86
160301034,8,69
160301035,132,44
160301036,275,97
160301037,9,102
160301038,69,65
160301039,71,78
160301040,181,196
160301041,264,96
