psgc_brgy,own_use_faucet_community_water_system,shared_faucet_commmunity_water_system,own_use_tubed_or_piped_well,shared_tubed_or_piped_well,dug_well,spring_river_streat_etc,collected_rainfall,peddler
174005018,21,46,1,24,3,25,0,0
174005019,86,202,17,42,150,12,0,12
174005020,2,5,0,3,17,37,0,0
174005021,45,13,1,1,4,2,0,0
174005022,2,57,2,31,30,3,0,0
174005023,41,15,15,31,56,16,0,1
174005024,56,91,6,81,8,12,0,0
174005025,22,207,3,12,3,3,0,7
174005026,21,33,0,0,18,17,0,0
174005027,4,121,0,0,1,1,0,0
174005028,77,78,0,2,36,1,0,2
174005029,171,158,0,1,2,11,0,1
174005030,66,117,1,10,27,6,0,0
174005031,36,41,0,2,6,3,0,0
174005032,63,251,0,0,3,1,0,0
174005033,18,171,0,1,1,3,0,1
174005034,5,2,0,0,1,0,0,0
174005035,9,92,0,1,7,8,0,1
174005036,7,5,0,1,18,42,264,3
174005037,31,75,5,23,18,33,1,6
174005038,5,15,12,170,75,13,19,15
174005039,47,65,0,2,8,16,0,0
174005040,31,54,0,8,8,6,0,0
174005041,7,4,1,3,34,40,238,8
174005042,0,1,0,63,9,0,0,0
174005043,138,77,8,77,29,27,0,24
174005044,93,20,0,1,1,0,0,0
174005045,12,9,1,13,41,28,0,3
174005047,8,12,2,30,89,21,37,2
174005048,20,33,0,1,26,133,1,0
174005049,42,128,3,16,31,1,0,1
174005050,35,238,3,5,2,2,0,2
174005051,10,46,0,0,19,26,1,8
174005052,14,17,1,36,165,4,1,33
174005053,15,11,0,24,15,1,0,1
174005054,25,110,1,0,13,18,0,0
174005055,110,95,2,9,52,66,4,7
174005056,49,44,3,34,138,11,0,33
174006001,18,8,0,0,4,68,0,1
174006002,24,35,1,1,11,5,0,0
174006003,27,73,0,1,7,2,0,0
174006004,43,148,6,50,26,0,1,0
174006005,136,149,2,39,81,40,0,0
174006006,167,128,8,17,50,14,0,0
174006007,37,76,2,8,0,0,0,0
174006008,98,90,1,9,1,1,0,1
174006009,25,24,3,15,59,1,1,0
174006010,19,14,4,37,37,0,0,0
174006011,161,93,2,0,0,1,0,0
174006012,189,354,3,4,8,22,0,0
174006013,10,12,3,53,66,1,0,0
174006014,185,124,4,10,13,4,0,1
174006015,187,109,1,9,17,8,0,0
174006016,20,100,1,24,30,0,0,0
174006017,119,107,0,2,7,16,1,1
174006018,22,54,0,0,22,10,0,0
174006019,38,50,0,3,19,66,0,0
174006020,223,151,5,28,8,0,0,0
174006021,43,61,0,41,16,3,0,1
174006022,157,115,0,3,22,47,0,0
174006023,101,186,5,11,34,0,0,0
174006024,6,7,0,4,34,50,1,0
174006025,198,310,4,3,6,17,0,0
175101001,42,50,96,129,220,14,0,3
175101002,21,63,68,169,395,200,0,7
175101003,18,7,20,109,347,165,1,2
175101004,295,82,3,2,41,0,0,1
175101005,12,67,16,53,281,116,0,0
175101006,115,54,24,12,98,21,1,0
175101007,27,17,11,81,272,165,2,1
175101008,37,48,31,119,430,237,1,2
175101009,3,2,42,30,328,11,0,3
