province_or_city,position,name,nickname,party_affiliation,votes_obtained
Abra,Representative - Lone District,"Bersamin, Luis Jr. Purugganan",Chito,Lakas-Christian Muslim Democrats,79455
Agusan Del Norte,Representative - 1st District,"Banaag, Leovigildo Briones",Boy,Lakas-Christian Muslim Democrats,40283
Agusan Del Norte,Representative - 2nd District,"Amante, Ma Angelica Rosedell Malbas",Angel,Lakas-Christian Muslim Democrats,64787
Agusan Del Sur,Representative - Lone District,"Plaza, Rodolfo Rodrigo Galido",Ompong,Nationalist People's Coalition,119347
Aklan,Representative - Lone District,"Miraflores, Florencio Tumbocon",Joeben,Lakas-Christian Muslim Democrats,100990
Albay,Representative - 1st District,"Lagman, Edcel Castelar",Edcel,Aksyon Demokratiko,103136
Albay,Representative - 2nd District,"Imperial, Carlos Del Rosario",Papay,Lakas-Christian Muslim Democrats-Nationalist People's Coalition,89745
Albay,Representative - 3rd District,"Salceda, Jose Ma Clemente Sarte",Joey,Lakas-Christian Muslim Democrats,136775
Antique,Representative - Lone District,"Javier, Exequiel Bellaflor",Boy Ex,Lakas-Christian Muslim Democrats,90519
Apayao,Representative - Lone District,"Bulut, Elias Jr. Cayaba",Butzy,Nationalist People's Coalition,34536
Aurora,Representative - Lone District,"Angara, Juan Edgardo Manalang",Sonny,Laban ng Demokratikong Pilipino,48664
Basilan,Representative - Lone District,"Salapuddin, Gerry Abdulgani",Gerry,Lakas-Christian Muslim Democrats,96846
Bataan,Representative - 1st District,"Roman, Antonino Pascual",Tony,Liberal Party,77025
Bataan,Representative - 2nd District,"Garcia, Albert Sandejas",Abet,Lakas-Christian Muslim Democrats,76321
Batanes,Representative - Lone District,"Abad, Henedina Razon",Dina,Liberal Party,4051
Batangas,Representative - Lone District,"Abad, Henedina Razon",Dina,Liberal Party,4051
Benguet,Representative - Lone District,"Dangwa, Samuel Martin",Sam,Lakas-Christian Muslim Democrats,78721
Biliran,Representative - Lone District,"Espina, Gerardo Jr. Jimenez",Gerry Boy,Nationalist People's Coalition,35317
Bohol,Representative - 1st District,"Chatto, Edgardo Migrino",Edgar,Lakas-Christian Muslim Democrats,128657
Bohol,Representative - 2nd District,"Cajes, Roberto Castano",Ondoy,Lakas-Christian Muslim Democrats,95125
Bohol,Representative - 3rd District,"Jala, Eladio Manliguez",Boy,Lakas-Christian Muslim Democrats,115301
Bukidnon,Representative - 1st District,"Acosta, Nereus Jr. Olanar",Dr Neric Acosta,Liberal Party,52990
Bukidnon,Representative - 2nd District,"Guingona, Teofisto Iii De Lara",Tg,Laban ng Demokratikong Pilipino,53255
Bukidnon,Representative - 3rd District,"Zubiri, Juan Miguel Fernandez",Migs,Lakas-Christian Muslim Democrats,115425
Bulacan,Representative - 1st District,"Sy-Alvarado, Wilhelmino Manucdoc",Willy,Lakas-Christian Muslim Democrats,170737
