program_or_project_1,program_or_project_2,location, total_cost ,Date Started,target_ completion_ date,project_ status_percent_of_ completion,project_ status_total_cost_incurred_to_ date,number_of extensions _if_any,remarks
Social Development,Maintenance of Rizal Park Fountain,Barangay 1,1000000,-,-,-,-,-,No transaction for this period
Social Development,Repair and Maintenance of City Library,Barangay 5,1000000,-,-,-,-,-,No transaction for this period
Social Development,Residential Dwelling (P-3) Barangay 4,Barangay Bayabas,3000000,-,-,-,-,-,No transaction for this period
Social Development,Construction of Museo de Cabadbaran,City Hall,3000000,-,-,-,-,-,No transaction for this period
Social Development,Construction Dog Pound,Barangay Bayabas,848000,-,-,-,-,-,No transaction for this period
Economic Development,Installation of Street Lights,Soriano to Comagascas,10000000,-,-,-,-,-,No transaction for this period
Economic Development,Concreting of Manlapaz Street,Barangay 12,1435000,-,-,-,-,-,No transaction for this period
Economic Development,Concreting of L. Dagani Street,Barangay 6 going to RAM Compound,630000,-,-,-,-,-,No transaction for this period
Economic Development,Concreting of A. Mortola Street,Barangay 6,1435000,-,-,-,-,-,No transaction for this period
Economic Development,Repair Barangay 3 - Tolosa Bliss Concrete Bridge,Barangay 3,700000,-,-,-,-,-,No transaction for this period
Economic Development,Maintenance of Hanging Bridge,Barangay 2,300000,-,-,-,-,-,No transaction for this period
Economic Development,"Construction of Maong, La Union-Sanghan FMR",Barangay La Union,7000000,-,-,-,-,-,No transaction for this period
Economic Development,Rehabilitation of Irrigation Facilities,"Pandanon, Barangay Mabini",2000000,-,-,-,-,-,No transaction for this period
Economic Development,Construction of Drainage System,Cabadbaran City,33000000,-,-,-,-,-,No transaction for this period
Economic Development,Purchase of Mobile Walking Excavator or Loader,-,10000000,-,-,-,-,-,No transaction for this period
Environmental Management,Closure of Open Dumpsite,BarangayBayabas,1500000,-,-,-,-,-,No transaction for this period
Environmental Management,Construction of ESWM MRF/ Transfer Station,City Hall,80000,-,-,-,-,-,No transaction for this period
Environmental Management,Construction of Septic Vault (Hospital Wastes),Emergency Hospital,160000,-,-,-,-,-,No transaction for this period
Environmental Management,Hazardous Waste Storage House,-,90000,-,-,-,-,-,No transaction for this period
