geographical distribution,region,country_or_province,type_of_financial_institution,30 Jun 2012_Total,30 Jun 2012_Demand,30 Jun 2012_Savings,30 Jun 2012_Time,30 Jun 2012_Others,31 Dec 2012_Total,31 Dec 2012_Demand,31 Dec 2012_Savings,31 Dec 2012_Time,31 Dec 2012_Others
Geographical Distribution (Domestic),Region XIII (Caraga),Surigao del Norte,Thrift Banks,*,*,*,*,*,68.468,20.865,24.822,22.781,0
Geographical Distribution (Domestic),Region XIII (Caraga),Surigao del Norte,Rural and Cooperative Banks,*,*,*,*,*,674.344,4.992,564.322,105.03,0
Geographical Distribution (Domestic),Region XIII (Caraga),Surigao del Sur,Surigao del Sur Total,"5,257.50","1,501.75","3,002.98",752.766,0,"5,252.57","1,724.80","3,011.07",516.699,0
Geographical Distribution (Domestic),Region XIII (Caraga),Surigao del Sur,Universal and Commercial Banks,*,*,*,*,*,"4,204.74","1,686.15","2,421.76",96.823,0
Geographical Distribution (Domestic),Region XIII (Caraga),Surigao del Sur,Thrift Banks,*,*,*,*,*,198,32,99,67, - 
Geographical Distribution (Domestic),Region XIII (Caraga),Surigao del Sur,Rural and Cooperative Banks,*,*,*,*,*,849.704,6.556,490.628,352.52,0
Geographical Distribution (Domestic),Region XIII (Caraga),Dinagat Islands,Dinagat Islands Total,26.657,0,24.31,2.348,0,7.017,0,6.535,0.482,0
Geographical Distribution (Domestic),Region XIII (Caraga),Dinagat Islands,Universal and Commercial Banks, - , - , - , - , - , - , - , - , - , - 
Geographical Distribution (Domestic),Region XIII (Caraga),Dinagat Islands,Thrift Banks, - , - , - , - , - , - , - , - , - , - 
Geographical Distribution (Domestic),Region XIII (Caraga),Dinagat Islands,Rural and Cooperative Banks,26.657,0,24.31,2.348,0,7.017,0,6.535,0.482,0
Geographical Distribution (Domestic),Region XIII (Caraga),Surigao del Norte and Surigao del Sur,Surigao del Norte and Surigao del Sur Total,"13,042.04","4,151.50","7,289.31","1,599.12",2.107, - , - , - , - , - 
Geographical Distribution (Domestic),Region XIII (Caraga),Surigao del Norte and Surigao del Sur,Universal and Commercial Banks,"11,090.14","4,109.50","6,155.89",822.655,2.107, - , - , - , - , - 
Geographical Distribution (Domestic),Region XIII (Caraga),Surigao del Norte and Surigao del Sur,Thrift Banks,6.123,0,5.963,0.16,0, - , - , - , - , - 
Geographical Distribution (Domestic),Region XIII (Caraga),Surigao del Norte and Surigao del Sur,Rural and Cooperative Banks,"1,945.77",42.004,"1,127.47",776.305,0, - , - , - , - , - 
Geographical Distribution (Domestic),Cordillera Administrative Region (CAR) ,Cordillera Administrative Region (CAR) ,Cordillera Administrative Region (CAR)  Total,"52,215.71","10,339.53","31,071.20","10,790.22",14.759,"54,671.11","11,376.46","32,998.18","10,282.29",14.17
Geographical Distribution (Domestic),Cordillera Administrative Region (CAR) ,Cordillera Administrative Region (CAR) ,Universal and Commercial Banks,"44,012.78","9,977.14","26,911.10","7,109.78",14.759,"46,339.57","11,020.63","28,710.77","6,594.00",14.17
Geographical Distribution (Domestic),Cordillera Administrative Region (CAR) ,Cordillera Administrative Region (CAR) ,Thrift Banks,"4,291.82",338.058,"1,049.93","2,903.83",0,"4,349.03",336.439,"1,070.85","2,941.75",0
Geographical Distribution (Domestic),Cordillera Administrative Region (CAR) ,Cordillera Administrative Region (CAR) ,Rural and Cooperative Banks,"3,911.11",24.33,"3,110.17",776.61,0,"3,982.51",19.394,"3,216.57",746.542,0
Geographical Distribution (Domestic),Cordillera Administrative Region (CAR) ,Abra,Abra Total,"3,115.77",722.508,"2,072.39",313.141,7.727,"3,195.54",676.895,"2,215.25",296.136,7.254
Geographical Distribution (Domestic),Cordillera Administrative Region (CAR) ,Abra,Universal and Commercial Banks,"3,088.98",722.508,"2,053.54",305.204,7.727,"3,167.41",676.895,"2,196.16",287.109,7.254
Geographical Distribution (Domestic),Cordillera Administrative Region (CAR) ,Abra,Thrift Banks, - , - , - , - , - , - , - , - , - , - 
Geographical Distribution (Domestic),Cordillera Administrative Region (CAR) ,Abra,Rural and Cooperative Banks,26.782,0,18.845,7.937,0,28.127,0,19.099,9.028,0
Geographical Distribution (Domestic),Cordillera Administrative Region (CAR) ,Apayao,Apayao Total,852.35,570.611,229.811,51.927,0,875.801,597.252,228.829,49.72,0
Geographical Distribution (Domestic),Cordillera Administrative Region (CAR) ,Apayao,Universal and Commercial Banks,*,*,*,*,*,*,*,*,*,*
Geographical Distribution (Domestic),Cordillera Administrative Region (CAR) ,Apayao,Thrift Banks,*,*,*,*,*, - , - , - , - , - 
Geographical Distribution (Domestic),Cordillera Administrative Region (CAR) ,Apayao,Rural and Cooperative Banks,*,*,*,*,*,*,*,*,*,*
Geographical Distribution (Domestic),Cordillera Administrative Region (CAR) ,Benguet,Benguet Total,"42,064.89","6,818.31","25,139.50","10,100.06",7.032,"44,184.31","7,785.97","26,765.78","9,625.64",6.915
Geographical Distribution (Domestic),Cordillera Administrative Region (CAR) ,Benguet,Universal and Commercial Banks,"34,968.98","6,455.92","21,746.06","6,759.97",7.032,"36,942.97","7,430.14","23,241.75","6,264.16",6.915
Geographical Distribution (Domestic),Cordillera Administrative Region (CAR) ,Benguet,Thrift Banks,"4,291.82",338.058,"1,049.93","2,903.83",0,"4,349.03",336.439,"1,070.85","2,941.75",0
Geographical Distribution (Domestic),Cordillera Administrative Region (CAR) ,Benguet,Rural and Cooperative Banks,"2,804.09",24.33,"2,343.51",436.253,0,"2,892.31",19.394,"2,453.19",419.731,0
Geographical Distribution (Domestic),Cordillera Administrative Region (CAR) ,Ifugao,Ifugao Total,"1,646.31",772.738,828.76,44.808,0,"1,720.86",819.197,859.036,42.626,0
Geographical Distribution (Domestic),Cordillera Administrative Region (CAR) ,Ifugao,Universal and Commercial Banks,*,*,*,*,*,*,*,*,*,*
Geographical Distribution (Domestic),Cordillera Administrative Region (CAR) ,Ifugao,Thrift Banks,*,*,*,*,*, - , - , - , - , - 
Geographical Distribution (Domestic),Cordillera Administrative Region (CAR) ,Ifugao,Rural and Cooperative Banks,*,*,*,*,*,*,*,*,*,*
Geographical Distribution (Domestic),Cordillera Administrative Region (CAR) ,Kalinga,Kalinga Total,"2,118.99",845.923,"1,216.98",56.084,0,"2,151.28",787.299,"1,307.60",56.384,0
Geographical Distribution (Domestic),Cordillera Administrative Region (CAR) ,Kalinga,Universal and Commercial Banks,"1,977.34",845.923,"1,109.96",21.448,0,"2,005.18",787.299,"1,195.76",22.123,0
Geographical Distribution (Domestic),Cordillera Administrative Region (CAR) ,Kalinga,Thrift Banks, - , - , - , - , - , - , - , - , - , - 
Geographical Distribution (Domestic),Cordillera Administrative Region (CAR) ,Kalinga,Rural and Cooperative Banks,141.656,0,107.02,34.636,0,146.103,0,111.842,34.261,0
Geographical Distribution (Domestic),Cordillera Administrative Region (CAR) ,Mountain Province,Mountain Province Total,"2,417.40",609.44,"1,583.76",224.208,0,"2,543.31",709.845,"1,621.68",211.785,0
Geographical Distribution (Domestic),Cordillera Administrative Region (CAR) ,Mountain Province,Universal and Commercial Banks,"1,689.78",609.44,"1,069.23",11.104,0,"1,848.41",709.845,"1,128.69",9.874,0
Geographical Distribution (Domestic),Cordillera Administrative Region (CAR) ,Mountain Province,Thrift Banks,-,-,-,-,-,-,-,-,-,-
Geographical Distribution (Domestic),Cordillera Administrative Region (CAR) ,Mountain Province,Rural and Cooperative Banks,727.627,0,514.523,213.104,0,694.903,0,492.992,201.911,0
Geographical Distribution (Domestic),Cordillera Administrative Region (CAR) ,Apayao and Ifugao,Apayao and Ifugao Total,"2,498.66","1,343.35","1,058.57",96.735,0,"2,596.66","1,416.45","1,087.87",92.346,0
Geographical Distribution (Domestic),Cordillera Administrative Region (CAR) ,Apayao and Ifugao,Universal and Commercial Banks,"2,287.71","1,343.35",932.303,12.054,0,"2,375.60","1,416.45",948.415,10.735,0
Geographical Distribution (Domestic),Cordillera Administrative Region (CAR) ,Apayao and Ifugao,Thrift Banks,0,0,0,0,0,0,0,0,0,0
Geographical Distribution (Domestic),Cordillera Administrative Region (CAR) ,Apayao and Ifugao,Rural and Cooperative Banks,210.949,0,126.269,84.681,0,221.061,0,139.45,81.611,0
Geographical Distribution (Domestic),Autonomous Region in Muslim Mindanao (ARMM),Autonomous Region in Muslim Mindanao (ARMM),Autonomous Region in Muslim Mindanao (ARMM) Total,"3,890.88","1,229.57","2,431.44",228.539,1.33,"5,470.70","2,360.23","2,899.95",209.363,1.154
Geographical Distribution (Domestic),Autonomous Region in Muslim Mindanao (ARMM),Autonomous Region in Muslim Mindanao (ARMM),Universal and Commercial Banks,*,*,*,*,*,*,*,*,*,*
Geographical Distribution (Domestic),Autonomous Region in Muslim Mindanao (ARMM),Autonomous Region in Muslim Mindanao (ARMM),Thrift Banks,*,*,*,*,*,*,*,*,*,*
Geographical Distribution (Domestic),Autonomous Region in Muslim Mindanao (ARMM),Autonomous Region in Muslim Mindanao (ARMM),Rural and Cooperative Banks,*,*,*,*,*,*,*,*,*,*
Geographical Distribution (Domestic),Autonomous Region in Muslim Mindanao (ARMM),Basilan ,Basilan  Total,*,*,*,*,*,*,*,*,*,*
Geographical Distribution (Domestic),Autonomous Region in Muslim Mindanao (ARMM),Basilan ,Universal and Commercial Banks,-,-,-,-,-, - , - , - , - , - 
Geographical Distribution (Domestic),Autonomous Region in Muslim Mindanao (ARMM),Basilan ,Thrift Banks,*,*,*,*,*,*,*,*,*,*
Geographical Distribution (Domestic),Autonomous Region in Muslim Mindanao (ARMM),Basilan ,Rural and Cooperative Banks,-,-,-,-,-, - , - , - , - , - 
Geographical Distribution (Domestic),Autonomous Region in Muslim Mindanao (ARMM),Lanao del Sur,Lanao del Sur Total,*,*,*,*,*,*,*,*,*,*
Geographical Distribution (Domestic),Autonomous Region in Muslim Mindanao (ARMM),Lanao del Sur,Universal and Commercial Banks,*,*,*,*,*,*,*,*,*,*
Geographical Distribution (Domestic),Autonomous Region in Muslim Mindanao (ARMM),Lanao del Sur,Thrift Banks,-,-,-,-,-, - , - , - , - , - 
Geographical Distribution (Domestic),Autonomous Region in Muslim Mindanao (ARMM),Lanao del Sur,Rural and Cooperative Banks,*,*,*,*,*,*,*,*,*,*
Geographical Distribution (Domestic),Autonomous Region in Muslim Mindanao (ARMM),Maguindanao,Maguindanao Total,*,*,*,*,*,*,*,*,*,*
Geographical Distribution (Domestic),Autonomous Region in Muslim Mindanao (ARMM),Maguindanao,Universal and Commercial Banks,*,*,*,*,*,*,*,*,*,*
Geographical Distribution (Domestic),Autonomous Region in Muslim Mindanao (ARMM),Maguindanao,Thrift Banks,-,-,-,-,-, - , - , - , - , - 
Geographical Distribution (Domestic),Autonomous Region in Muslim Mindanao (ARMM),Maguindanao,Rural and Cooperative Banks,*,*,*,*,*,*,*,*,*,*
Geographical Distribution (Domestic),Autonomous Region in Muslim Mindanao (ARMM),Sulu,Sulu Total,"1,395.96",380.173,837.255,177.312,1.215,"1,699.88",479.659,"1,061.10",158.125,1
Geographical Distribution (Domestic),Autonomous Region in Muslim Mindanao (ARMM),Sulu,Universal and Commercial Banks,"1,395.96",380.173,837.255,177.312,1.215,"1,699.88",479.659,"1,061.10",158.125,1
Geographical Distribution (Domestic),Autonomous Region in Muslim Mindanao (ARMM),Sulu,Thrift Banks,-,-,-,-,-, - , - , - , - , - 
Geographical Distribution (Domestic),Autonomous Region in Muslim Mindanao (ARMM),Sulu,Rural and Cooperative Banks,-,-,-,-,-, - , - , - , - , - 
Geographical Distribution (Domestic),Autonomous Region in Muslim Mindanao (ARMM),Tawi-tawi,Tawi-tawi Total,"1,054.14",285.046,758.206,10.771,0.114,"1,248.83",386.628,852.015,10.032,0.154
Geographical Distribution (Domestic),Autonomous Region in Muslim Mindanao (ARMM),Tawi-tawi,Universal and Commercial Banks,"1,054.14",285.046,758.206,10.771,0.114,"1,248.83",386.628,852.015,10.032,0.154
Geographical Distribution (Domestic),Autonomous Region in Muslim Mindanao (ARMM),Tawi-tawi,Thrift Banks,-,-,-,-,-, - , - , - , - , - 
Geographical Distribution (Domestic),Autonomous Region in Muslim Mindanao (ARMM),Tawi-tawi,Rural and Cooperative Banks,-,-,-,-,-, - , - , - , - , - 
,,,,,,,,,,,,,
Geographical Distribution of Deposit Liabilities (Regional and Provincial),,,,,,,,,,,,,
Philippine Banking System,,,,,,,,,,,,,
as of periods indicated,,,,,,,,,,,,,
"Amounts in Millions, Philippine Pesos",,,,,,,,,,,,,
Updated as of 19 August 2014,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Source: Supervisory Data Center, Supervision and Examination Sector, Bangko Sentral ng Pilipinas",,,,,,,,,,,,,
,,,,,,,,,,,,,
"* In view of the confidentiality of information on individual institution under Section (c) of Republic Act No. 7653 (The Central Bank Act), which prohibits personnel of the Bangko Sentral ng Pilipinas (BSP) from revealing or disclosing information relating to the condition or business of any institution subject to BSP examination or supervision, related statistics cannot be provided.",,,,,,,,,,,,,
,,,,,,,,,,,,,
no report/no banking office,,,,,,,,,,,,,
