particulars_1,particulars_2,appropriation,obligation,balance
Social Development,Repair/Maintenance of Streetlights,79184.84,-,79184.84
Social Development,Repair/Maintenance of Public Plaza,350000,88131.15,261868.85
Social Development,Repair/Maintenance/Const. of Water System,1000000,162519.75,837480.25
Economic Development,"Repair/Maintenance/Const. Roads, Bridges, Drainage and Irrigation Canal",3000000,757984.47,2242015.53
Economic Development,Construction of Warehousing Facilities,500000,-,500000
Economic Development,Debt Services,1000000,-,1000000
Environmental Development,Solid Waste Management,400000,66050,333950
Total,Total,6329184.84,1074685.37,5254499.47
