drrm_areas_of_concern,allocation,appropriation,obligation,balance_as_of_6/30/2013
Preparedness,0.3,6790815.18,442.03,6348785.18
Prevention and Mitigation,0.2,4527210.12,3604000,923210.12
Response,0.3,6790815.18,-,6790815.18
Rehabilitation and mitaigation,0.2,4527210.12,-,4527210.12
Total,1,22636050.6,4046030,18590020.6
