drrm_areas_of_concern,balance_as_of_6/30/2013,obligation,balance_as_of_9/30/2013
Preparedness,6622535.18,451610,6170925.18
Prevention and Mitigation,923210.12,129000,794210.12
Response,6790815.18,-,6790815.18
Rehabilitation and mitaigation,4527310.12,-,4527310.12
Total,18863870.6,580610,18283260.6
