drrm_areas_of_concern,balance_as_of_9/30/2013,obligation,balance_as_of_12/31/2013
Preparedness,6170925.18,1787103.05,4383822.13
Prevention and Mitigation,794210.12,45000,749210.12
Response,6790815.18,-,6970815.18
Rehabilitation and mitaigation,4527310.12,-,4527310.12
Total,18283260.6,1832103.05,16451157.55
