region,total_in_cubic_meters,jan_in_cubic_meters,feb_in_cubic_meters,mar_in_cubic_meters,apr_in_cubic_meters,may_in_cubic_meters,jun_in_cubic_meters,jul_in_cubic_meters,aug_in_cubic_meters,sep_in_cubic_meters,oct_in_cubic_meters,nov_in_cubic_meters,dec_in_cubic_meters
IV-A (CALABARZON),1435,14,234,129,310,325,24,55,60,284, - , - , - 
IX (Zamboanga Peninsula),29979,2752,2477,2793,4151,3585,3679,3938,4030,2574, - , - , - 
XI (Davao Region),30209,1386,1680,2476,3585,5430,3483,2639,2945,2329,2166,1488,602
XII (SOCCSKSARGEN),1327,25,50,74,75,50,25,249,182,50,274,149,124
XIII (Caraga),66005,5110,7273,7160,7002,8242,4361,3632,4897,6150,3773,4773,3632
