offfice_special_purpose_appropriations,object_of_expenditure_1,object_of_expenditure_2,object_of_expenditure_3,account_code,past_year_current_year,current_year,budget_year
Village Type Cob Dryer and Hermetic Cocoons,Current Operating Expenditures,Personal Service,Salaries and Wages-Regular,-,-,-,-
Village Type Cob Dryer and Hermetic Cocoons,Current Operating Expenditures,Personal Service,Salaries and Wages-Others,-,-,-,-
Village Type Cob Dryer and Hermetic Cocoons,Current Operating Expenditures,Maintenance and Other Operating Expenses,Travel Expenes,-,-,-,-
Village Type Cob Dryer and Hermetic Cocoons,Current Operating Expenditures,Maintenance and Other Operating Expenses,Training and Scholarship Expenses,-,-,-,-
Village Type Cob Dryer and Hermetic Cocoons,Current Operating Expenditures,Maintenance and Other Operating Expenses,"Fuel, Oil and Gasoline",-,-,-,-
Village Type Cob Dryer and Hermetic Cocoons,Capital Outlay,Maintenance and Other Operating Expenses,Buildings and Other Structures,-,-,-,-
Village Type Cob Dryer and Hermetic Cocoons,Capital Outlay,Maintenance and Other Operating Expenses,Office Equipment,-,-,-,-
Village Type Cob Dryer and Hermetic Cocoons,Capital Outlay,Maintenance and Other Operating Expenses,"Agricultural, Fishery and Forestry Equipment",227,-,2808902,548000
Village Type Cob Dryer and Hermetic Cocoons,Capital Outlay,Maintenance and Other Operating Expenses,"Other property, Plant and Equipment",248,-,-,187500
Village Type Cob Dryer and Hermetic Cocoons,Financial Expenses,Financial Expenses,Financial Expenses,-,-,-,-
Village Type Cob Dryer and Hermetic Cocoons,Total Appropriations,Total Appropriations,Total Appropriations,-,-,2808902,735500
Tree Planting or Reforestation,Current Operating Expenditures,Personal Service,Salaries and Wages-Regular,-,-,-,-
Tree Planting or Reforestation,Current Operating Expenditures,Personal Service,Salaries and Wages-Others,705,-,-,7000
Tree Planting or Reforestation,Current Operating Expenditures,Maintenance and Other Operating Expenses,Travel Expenes,-,-,-,-
Tree Planting or Reforestation,Current Operating Expenditures,Maintenance and Other Operating Expenses,Training and Scholarship Expenses,753,-,-,2000
Tree Planting or Reforestation,Current Operating Expenditures,Maintenance and Other Operating Expenses,Agricultural Supplies,762,-,285000,-
Tree Planting or Reforestation,Capital Outlay,Maintenance and Other Operating Expenses,Buildings and Other Structures,-,-,-,-
Tree Planting or Reforestation,Capital Outlay,Maintenance and Other Operating Expenses,Office Equipment,-,-,-,-
Tree Planting or Reforestation,Capital Outlay,Maintenance and Other Operating Expenses,Land Transport Equipment,-,-,-,-
Tree Planting or Reforestation,Financial Expenses,Financial Expenses,Financial Expenses,-,-,-,-
Tree Planting or Reforestation,Total Appropriations,Total Appropriations,Total Appropriations,-,-,285000,9000
"Improvement of Drainage Open Canal Along Gomez St., Mantic, Tangub City",Current Operating Expenditures,Personal Service,Salaries and Wages-Regular,-,-,-,-
"Improvement of Drainage Open Canal Along Gomez St., Mantic, Tangub City",Current Operating Expenditures,Personal Service,Salaries and Wages-Others,705,-,112000,-
"Improvement of Drainage Open Canal Along Gomez St., Mantic, Tangub City",Current Operating Expenditures,Maintenance and Other Operating Expenses,Travel Expenes,-,-,-,-
"Improvement of Drainage Open Canal Along Gomez St., Mantic, Tangub City",Current Operating Expenditures,Maintenance and Other Operating Expenses,Training and Scholarship Expenses,-,-,-,-
"Improvement of Drainage Open Canal Along Gomez St., Mantic, Tangub City",Current Operating Expenditures,Maintenance and Other Operating Expenses,Fuel,761,-,328.54,15072.5
"Improvement of Drainage Open Canal Along Gomez St., Mantic, Tangub City",Capital Outlay,Maintenance and Other Operating Expenses,Buildings and Other Structures,-,-,-,-
"Improvement of Drainage Open Canal Along Gomez St., Mantic, Tangub City",Capital Outlay,Maintenance and Other Operating Expenses,Office Equipment,-,-,-,-
"Improvement of Drainage Open Canal Along Gomez St., Mantic, Tangub City",Capital Outlay,Maintenance and Other Operating Expenses,Land Transport Equipment,-,-,-,-
"Improvement of Drainage Open Canal Along Gomez St., Mantic, Tangub City",Capital Outlay,Maintenance and Other Operating Expenses,"Irrigations, Canals and Laterals",270,-,68014.28,165270
"Improvement of Drainage Open Canal Along Gomez St., Mantic, Tangub City",Financial Expenses,Financial Expenses,Financial Expenses,-,-,-,-
"Improvement of Drainage Open Canal Along Gomez St., Mantic, Tangub City",Total Appropriations,Total Appropriations,Total Appropriations,-,-,180342.82,180342.5
Concreting of Lorenzo Tan Barangay Road,Current Operating Expenditures,Personal Service,Salaries and Wages-Regular,-,-,-,-
