particular,appropriation,expenditure,balance
Financial Assistance,500000,10000,490000
Enhance Knowledge of CDRRM Staff in Handling the Program,490000,67526,422474
Mountain Search and Rescue Training,400000,131980,268020
Fire Prevention Month,100000,14220,85780
"Fuel, Lubricants/Maintenance",450296.8,44953.75,405973.05
Office Equipment,4048500.5,349591,2698909.5
Total,-,618270.75,-
