Type of Bank,Type of Financial Institution,March,June,Sept,Dec,
Total Banks,Total Banks,"4,685","4,812","5,090","5,469",
On-site and Off-site,Universal and Commercial Banks,"4,420","4,531","4,786","5,100",
On-site and Off-site,Universal Banks,"4,114","4,215","4,463","4,722",
On-site and Off-site,Commercial Banks,306,316,323,378,
On-site and Off-site,Thrift Banks,265,281,304,369,
On-site,Total Banks On-site,"3,411","3,503","3,713","3,996",
On-site,Universal and Commercial Banks,"3,182","3,261","3,453","3,684",
On-site,Universal Banks,"2,936","3,009","3,198","3,379",
On-site,Commercial Banks,246,252,255,305,
On-site,Thrift Banks,229,242,260,312,
Off-site,Total Banks Off-site,"1,274","1,309","1,377","1,473",
Off-site,Universal and Commercial Banks,"1,238","1,270","1,333","1,416",
Off-site,Universal Banks,"1,178","1,206","1,265","1,343",
Off-site,Commercial Banks,60,64,68,73,
Off-site,Thrift Banks,36,39,44,57,
,,,,,,
Physical Network: Number of Automated Teller Machines,,,,,,
As of end of periods indicated:  2004,,,,,,
