year,month,day,hours,baclaran_northbound_in,edsa_southbound_in,edsa_northbound_in,libertad_southbound_in,libertad_northbound_in,gil_puyat_southbound_in,gil_puyat_northbound_in,vito_cruz_southbound_in,vito_cruz_northbound_in,quirino_southbound_in,quirino_northbound_in,pedro_gil_southbound_in,pedro_gil_northbound_in,un_avenue_southbound_in,un_avenue_northbound_in,central_southbound_in,central_northbound_in,carriedo_southbound_in,carriedo_northbound_in,doroteo_jose_southbound_in,doroteo_jose_northbound_in,bambang_southbound_in,bambang_northbound_in,tayuman_southbound_in,tayuman_northbound_in,blumentritt_southbound_in,blumentritt_northbound_in,abad_santos_southbound_in,abad_santos_northbound_in,r_papa_southbound_in,r_papa_northbound_in,5th_avenue_southbound_in,5th_avenue_northbound_in,monumento_southbound_in,monumento_northbound_in,balintawak_southbound_in,balintawak_northbound_in,roosevelt_southbound_in,roosevelt_northbound_in
2011,January,Monday,4:00-5:00 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,January,Monday,5:00-6:00,1321,18,2430,44,252,224,820,47,123,60,261,176,185,91,136,56,11,123,194,697,28,184,14,541,39,702,9,404,36,387,23,1431,21,2711,2011,1129,31,587,0
2011,January,Monday,6:00-7:00,2196,134,4590,358,483,165,1813,77,469,102,452,128,511,297,164,143,46,204,405,1269,65,344,14,906,199,1053,16,681,119,581,91,2703,23,4736,2097,2166,67,1873,0
2011,January,Monday,7:00-8:00,2822,104,6213,355,801,476,1660,105,727,275,545,446,616,462,286,294,78,518,518,1613,498,396,98,1487,92,1466,28,790,196,719,113,2973,56,5860,2794,2169,62,2352,0
2011,January,Monday,8:00-9:00,2487,168,5408,295,618,658,1319,114,572,183,555,476,472,460,293,259,158,571,535,1520,448,358,63,1098,210,1140,55,553,152,580,113,2134,75,5077,1866,1577,46,1655,0
2011,January,Monday,9:00-10:00,2380,95,5232,239,650,1268,834,166,528,189,593,303,776,531,420,478,52,620,797,1610,439,364,59,975,293,1055,60,473,124,479,129,1655,63,4771,1632,1112,37,1235,0
2011,January,Monday,10:00-11:00,2022,131,4480,211,618,552,1612,248,451,235,597,380,889,784,475,340,400,901,795,1589,155,228,160,920,222,913,39,347,118,407,78,1321,60,3696,1479,848,35,991,0
2011,January,Monday,11:00-12:00,1831,129,3904,229,573,810,1473,151,630,260,635,826,679,585,926,687,294,1053,950,1170,483,342,50,862,299,747,89,318,101,322,109,1072,53,3663,1050,687,27,888,0
2011,January,Monday,12:00-1:00 PM,1742,147,3510,169,588,527,1623,79,734,303,533,518,1068,911,601,680,351,988,1093,1425,309,307,69,895,280,845,42,257,175,298,137,1011,93,2484,1971,578,20,799,0
2011,January,Monday,1:00-2:00,1819,138,3523,377,476,523,1522,456,461,222,706,783,947,828,1024,801,639,1092,1190,1270,517,394,75,1095,143,804,74,204,202,312,109,864,90,2832,1395,461,17,781,0
2011,January,Monday,2:00-3:00,1832,123,3484,282,573,1102,1205,254,879,171,839,1071,1065,1366,1060,908,801,1198,1315,1167,691,365,90,880,320,719,52,184,162,224,133,647,188,2229,1626,426,17,664,0
2011,January,Monday,3:00-4:00,1881,122,3267,379,520,644,2109,622,574,370,716,1237,938,1268,1468,1042,987,1058,1563,1258,753,325,156,726,452,488,230,213,107,151,138,555,186,2051,1358,368,10,585,0
2011,January,Monday,4:00-5:00,1906,132,3319,405,611,522,2400,431,1608,231,1116,913,1744,1906,2009,1237,1435,1800,1518,726,1363,367,178,731,594,487,213,192,102,141,132,623,101,1784,1260,396,8,612,0
2011,January,Monday,5:00-6:00,2339,105,3902,505,716,1271,2882,585,1834,710,920,981,2256,2361,1960,1660,1248,1790,2121,1075,1435,272,353,819,705,379,510,207,188,99,193,753,185,1922,979,440,13,781,0
2011,January,Monday,6:00-7:00,1988,42,3909,395,776,1159,2735,733,1217,759,567,1099,1742,1366,1824,1619,725,1703,1841,1152,1322,115,400,874,429,542,243,259,40,137,93,302,380,1204,942,388,11,694,0
2011,January,Monday,7:00-8:00,1017,60,3270,353,451,829,2323,420,947,222,549,926,1095,1102,1087,785,1107,985,1148,1097,762,61,290,770,303,464,146,135,90,149,56,395,69,1028,804,307,7,512,0
2011,January,Monday,8:00-9:00,693,46,2496,311,397,505,1414,307,691,130,321,618,731,675,666,585,825,484,578,674,555,64,138,591,242,239,214,180,23,188,17,254,96,1154,528,247,6,402,0
2011,January,Monday,9:00-10:00,119,8,588,62,135,242,394,73,403,58,139,281,494,332,456,353,275,165,142,204,379,36,83,469,83,64,160,114,9,91,5,159,15,390,362,96,9,228,0
2011,January,Monday,10:00-11:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,January,Tuesday,4:00-5:00 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,January,Tuesday,5:00-6:00,850,14,1833,42,242,157,574,40,106,42,182,150,158,84,125,56,11,109,173,460,19,169,13,522,37,636,8,393,35,329,20,1057,15,1953,1448,694,19,513,0
2011,January,Tuesday,6:00-7:00,1830,129,4424,366,493,149,1640,76,459,94,412,123,493,345,190,144,46,202,400,1153,59,354,15,922,203,1041,16,697,122,583,91,2412,21,5161,2286,1832,57,1736,0
2011,January,Tuesday,7:00-8:00,2527,104,6173,362,818,509,1778,105,726,262,520,453,626,481,298,283,75,494,494,1337,413,402,100,1474,91,1539,29,763,190,714,113,2613,49,5618,2678,1991,57,2250,0
2011,January,Tuesday,8:00-9:00,2401,184,5902,323,677,741,1487,130,653,199,602,527,523,509,325,284,173,583,546,1477,435,377,66,1284,245,1375,66,625,172,639,125,2127,74,5862,2154,1457,43,1689,0
2011,January,Tuesday,9:00-10:00,2010,89,4914,227,619,1266,832,163,518,175,549,284,727,546,431,485,53,610,785,1381,376,371,60,980,295,988,56,474,124,475,128,1547,59,4243,1452,1019,34,1139,0
2011,January,Tuesday,10:00-11:00,1854,122,4164,201,588,539,1573,247,449,210,534,341,798,761,461,345,405,869,767,1527,149,222,156,876,211,852,36,322,110,361,69,1196,55,3435,1374,791,33,974,0
2011,January,Tuesday,11:00-12:00,1713,125,3773,219,548,763,1387,161,672,252,616,771,634,599,948,717,307,1056,952,1207,499,326,48,843,293,738,88,296,94,311,105,987,49,3515,1008,721,28,793,0
2011,January,Tuesday,12:00-1:00 PM,1766,154,3682,172,600,536,1649,90,835,294,518,513,1059,963,635,792,409,1016,1124,1493,324,364,82,909,284,903,45,264,180,300,138,970,90,2562,2033,646,23,847,0
