program_or_project_1,program_or_project_2,program_or_project_3,location,date_started,actual_cost,budget_appropriated
Environment Sector,Reforestation and Urban Greening,"Clean and Green Activities-Purchase of Nursery Materials, Environmental IEC, Search for clean and Green barangays",-,10/19/2012,110000,1178000
Environment Sector,Reforestation and Urban Greening,"Support to PAMB/Mt. Kitanlad Range Natural Park-IEC materials or capability building, Cultural gatherings, Production of Seedlings (endemic), Bamboo propagates planting",-,11/21/2012,582000,1760000
Economic Sector,Support to Agriculture or Irrigation PPAs,2000 bags inbreed rice seeds (certified),Citywide,11/8/2012,2400000,-
Economic Sector,Support to Agriculture or Irrigation PPAs,4000 bags 21-0-0 inbred rice certified seeds subsidy and amonium sulphate fertilizer subsidy project,Citywide,11/8/2012,3200000,-
Economic Sector,Support to Agriculture or Irrigation PPAs,"T/F from General Fund to Trust Fund-Construction off irrigation facilities for barangay 7, St. Peter, Zamboanguita, Violeta and Simaya","Barangay 7, St. Peter, Zamboaguita, Violeta and Simaya",12/5/2012,4194270.34,5815294.95
Economic Sector,Post Harvest Facilities,Construction of MPDP at Balacia-Purok 6,Linabo,10/5/2012,312483.02,317030.56
Economic Sector,Post Harvest Facilities,Payment for extra work-MPDP at Lower Mapulo,Mapulo,11/11/2012,24157.15,24157.15
Economic Sector,Post Harvest Facilities,"Construction of MPDP at Balacia at Purok 6, Panganduan",Apo mAcote,11/5/2012,270709.94,274510.58
Economic Sector,Post Harvest Facilities,Payment for extra worker-MPDP at Sto. Nino at Purok 5,-,11/5/2012,15877.2,15877.2
Economic Sector,Post Harvest Facilities,Payment for extra worker-MPDP at Purok 1A,Magsaysay,11/5/2012,14297.14,14299.14
Economic Sector,Post Harvest Facilities,Construction of MPDP at Purok 3,Imbayao,11/5/2012,310521.45,303988.2
Economic Sector,Post Harvest Facilities,Construction of MPDP at Purok 6,Cabangahan,11/5/2012,248974.68,282288.05
Economic Sector,Post Harvest Facilities,Construction of MPDP at Purok 4,Managok,11/5/2012,297919.99,301581.73
Economic Sector,Post Harvest Facilities,Construction of MPDP at Sitio Calib,Kibalabag,11/5/2012,310252.81,313640.28
Economic Sector,Post Harvest Facilities,Construction of MPDP at Purok 2,St. Peter,11/5/2012,319527.33,322915.08
Economic Sector,Post Harvest Facilities,Construction of MPDP at Purok 1,Silae,11/5/2012,313423.86,316365.08
Economic Sector,Local Economic Development Programs,2000 pcs. Business Registration plate sticker for business permit renewal 2013,-,10/17/2012,157750,157750
Economic Sector,Local Economic Development Programs,Support to business-One-Stop Shop,-,10/24/2012,86150,87200
Economic Sector,Local Economic Development Programs,Kasadya sa Freedom Display Booths,-,"11/5, 13,14/2012",1713544.14,1749422
Economic Sector,Entrepreneurship Development Projects,"Signages IEC Materials Installation (Billboards) at Bangcud, Upper Pulangui, Aglayan, Casisang and sumpong",-,11/5/2012,128668.87,145000
Infrastructure Sector,Public Infrastructure,Maintenace of Road Area 1 (city wide),Citywide,10/9/2012,270400,270400
Infrastructure Sector,Public Infrastructure,Maintenace of Road Area 2 (city wide),Citywide,10/9/2012,270400,270400
Infrastructure Sector,Public Infrastructure,Construction of footbridge at People's Park,Sumpong,10/9/2012,370587.22,370587.22
Infrastructure Sector,Public Infrastructure,"Concreting of Gaamil St., at Purok 2 Landing ",Casisang,10/9/2012,1811159.4,1811159.4
Infrastructure Sector,Public Infrastructure,Completion of Road Concreting,Barangay 2,10/9/2012,1325806.44,1325806.44
Infrastructure Sector,Public Infrastructure,Construction of Wheel Truck refilling station at Kimambong,Sumpong,10/9/2012,809732.44,809732.44
Infrastructure Sector,Public Infrastructure,Improvement of Covered Court,Kibalabag,10/16/2012,1897130.63,1897130.63
Infrastructure Sector,Public Infrastructure,Repalcement of Water System mainline Pipe,Violeta,10/16/2012,86163,86163
Infrastructure Sector,Public Infrastructure,Extra works-Construction of Classroom-school building,Sumpong,10/30/2012,18877.88,18877.88
Infrastructure Sector,Public Infrastructure,"Construction of Toll Gate (Bus, Multicab and Motorela)",Barangay 9,10/30/2012,155000,155000
Infrastructure Sector,Public Infrastructure,Irrigation service road rehabilitation,Simaya,10/30/2012,4000000,4000000
Infrastructure Sector,Public Infrastructure,Proposed Physical Therapy Center,Barangay 8,10/30/2012,390000,390000
Infrastructure Sector,Public Infrastructure,Construction of Multi-Purpose Building,Cabangahan,10/30/2012,999884.83,999884.83
Infrastructure Sector,Public Infrastructure,Installation of Perimeter lights at BJMP,Patpat,10/30/2012,179389.49,179389.49
Infrastructure Sector,Public Infrastructure,Construction of MP Building at Sitio Natid-asan,Casisang,10/30/2012,1499062.88,1499062.88
Infrastructure Sector,Public Infrastructure,Constructionruction of Road concreting,Barangay 7,10/30/2012,1289006.78,1289006.78
Infrastructure Sector,Public Infrastructure,Road Concreting at Avinca Village,Casisang,10/30/2012,3240000,3240000
Infrastructure Sector,Public Infrastructure,Repair and Improvement of footbridge,Violeta,10/30/2012,895799.72,895799.72
Infrastructure Sector,Public Infrastructure,Construction of Water system at Sitio Nabawang ,Busdi,11/5/2012,1290428.43,1290428.43
