program_or_project_1,program_or_project_2,location,total_cost,date_started,target_completion_date,project_status_%_of_completion,project_status_total_cost_incurred_to_date,no_of_extensions_if_any,remarks
Social Development,Installation and maintenance of streetlighting system except payment of electric bills,"Various electrical materials used at different offices of LGU, Iriga City",238125,4/21/2014,5/8/2014,100,238125,-,-
Social Development,Installation and maintenance of streetlighting system except payment of electric bills,Electrical materials distributed to different barangays,99815,5/13/2014,5/14/2014,100,99815,-,-
Social Development,Installation and maintenance of streetlighting system except payment of electric bills,Electrical supplies for the repair of streetlights,299324,4/21/2014,4/28/2014,100,299324,-,-
Social Development,Installation and maintenance of streetlighting system except payment of electric bills,Replacement of busted lights at Poblacion proper,45400,5/28/2014,7/9/2014,0.85,38590,-,-
Social Development,Installation and maintenance of streetlighting system except payment of electric bills,Electrical materials distributed to different barangays,99910,6/17/2014,7/1/2014,100,99910,-,-
Social Development,Installation and maintenance of streetlighting system except payment of electric bills,Electrical materials used at city colosseum and various streetlights,91940,5/26/2014,8/13/2014,0.4,36776,-,-
Economic Development,Construction or rehabilitation of local roads and bridges,Rental of heavy equipment,298000,3/25/2014,4/11/2014,0.65,193375,-,-
Economic Development,Construction or rehabilitation of local roads and bridges,Rental of heavy equipment-re-shaping of road at mountain barangays,298000,3/25/2014,4/11/2014,0.65,193375,-,-
Economic Development,Construction or rehabilitation of local roads and bridges,Rental of heavy equipment (re-shape of road at riverside barangays),297500,3/26/2014,4/10/2014,0.65,193375,-,-
Economic Development,Construction or rehabilitation of local roads and bridges,Various harware materials for the month of une,295000,5/26/2014,6/2/2014,100,295000,-,-
Economic Development,Construction or rehabilitation of local roads and bridges,Various harware materials for the 3rd quarter,298880,6/3/2014,6/26/2014,100,296995.5,-,-
Economic Development,Amortization of Loans used to finance Development Projects,"PNB, Accessories, 4/5/2014",128912.97,-,-,-,128912.97,-,-
Economic Development,Amortization of Loans used to finance Development Projects,"PNB, Public Market, 4/10/2014",848226.46,-,-,-,848226.46,-,-
Economic Development,Amortization of Loans used to finance Development Projects,"PNB, Garbage Compactor, 4/30/2014",253492.33,-,-,-,253492.33,-,-
Economic Development,Amortization of Loans used to finance Development Projects,"PNB, City Hall Annex Building, 4/22/2014",160965.64,-,-,-,160965.64,-,-
Economic Development,Amortization of Loans used to finance Development Projects,"PNB, New Gov't. Center, 4/15/2014",762992.21,-,-,-,762992.21,-,-
Economic Development,Amortization of Loans used to finance Development Projects,"PNB, Accessories, 5/5/2014",127898.04,-,-,-,127898.04,-,-
Economic Development,Amortization of Loans used to finance Development Projects,"PNB, Public Market, 5/10/2014",834653.39,-,-,-,834653.39,-,-
Economic Development,Amortization of Loans used to finance Development Projects,"PNB, City Hall Annex Building, 5/22/2014",159037.66,-,-,-,159037.66,-,-
Economic Development,Amortization of Loans used to finance Development Projects,"DBP, Compactor, 5/31/2014",294512.95,-,-,-,294512.95,-,-
Economic Development,Amortization of Loans used to finance Development Projects,"PNB, New Gov't. Center, 5/15/2014",750783.03,-,-,-,750783.03,-,-
Economic Development,Amortization of Loans used to finance Development Projects,"DBP, Compactor, 4/30/2014",39771.25,-,-,-,39771.25,-,-
Economic Development,Amortization of Loans used to finance Development Projects,"PNB, Accessories, 6/5/2014",127378.19,-,-,-,127378.19,-,-
Economic Development,Amortization of Loans used to finance Development Projects,"PNB, New Gov't. Center, 6/15/2014",756936.46,-,-,-,756936.46,-,-
Economic Development,Amortization of Loans used to finance Development Projects,"PNB, Public Market, 6/10/2014",841494.22,-,-,-,841494.22,-,-
Economic Development,Amortization of Loans used to finance Development Projects,"DBP, Compactor, 6/30/2014",290215.88,-,-,-,290215.88,-,-
Economic Development,Amortization of Loans used to finance Development Projects,"PNB, City Hall Annex Building, 6/22/2014",159371.84,-,-,-,159371.84,-,-
Economic Development,Construction or rehabilitation of various bulidings,"Materials for the construction of BASCA Building, San Francisco, Iriga City",31265,5/16/2014,5/16/2014,100,31265,-,-
Economic Development,Construction or rehabilitation of various bulidings,Painting materials,287831.2,3/25/2014,"April 31, 2014",100,287831.2,-,-
Economic Development,Construction or rehabilitation of various bulidings,"Repair of soil pipes, etc.",298000,4/4/2014,4/7/2014,100,297361.5,-,-
Economic Development,Construction or rehabilitation of various bulidings,Materials for the repair of RIC Building,191469,5/5/2014,7/21/2014,0.75,143601.75,-,-
Economic Development,Construction or rehabilitation of various bulidings,"Labor for the repair of RIC building- Nestor M. Urlanda et al, May 5-31, 2014",43200,5/5/2014,7/21/2014,0.8,84480,-,-
Economic Development,Construction or rehabilitation of various bulidings,"Labor for the repair of RIC building- Nestor M. Urlanda et al, June 1-30, 2014",48000,5/5/2014,7/21/2014,0.8,84480,-,-
Economic Development,Construction or rehabilitation of various bulidings,"Labor for the repair of RIC building- Nestor M. Urlanda et al, June 1-21, 2014",14400,5/5/2014,7/21/2014,0.8,84480,-,-
Economic Development,Construction or rehabilitation of various bulidings,Various paint and painting materials for the repainting of roof or gutter at Iriga City Public Market,287831.2,4/1/2014,4/2/2014,100,287836.2,-,-
Environmental Development,"Construction or Rehabilitation of sanitary landfills, material recovery facilities and purchase of garbage truck and related equipments",Construction material recovery,82170,4/16/2014,5/19/2014,100,82170,-,-
Environmental Development,"Construction or Rehabilitation of sanitary landfills, material recovery facilities and purchase of garbage truck and related equipments","Construction of dumpsite perimeter fence Labor Payrol-Samson Oliveros et al May 2-22, 2014",25200,5/2/2014,5/22/2014,100,25200,-,-
Environmental Development,"Construction or Rehabilitation of sanitary landfills, material recovery facilities and purchase of garbage truck and related equipments","Fabrication of MRF, Labor Payrol-Tony Gonowon et al May 26-une 5, 2014",35600,5/26/2014,6/5/2014,100,35600,-,-
Environmental Development,"Construction or Rehabilitation of sanitary landfills, material recovery facilities and purchase of garbage truck and related equipments","Selected barrow, for leveling or covering of garbage at Iriga City Dumpsite",297500,6/23/2014,7/9/2014,0.95,282625,-,-
Environmental Development,Implementation of Flood and Erosion Control Project,Desilting of drainage canal from San Jose Iriga City to Naba boundary,1500475,5/2/2014,6/30/2014,100,1499964.61,-,-
Environmental Development,Implementation of Flood and Erosion Control Project,Narra seed to adopt an Agri-forestation at Mt. Iriga,200000,5/16/2014,5/19/2014,100,200000,-,-
