MONTHLY RETAIL PRICES OF MARINE PLYWOOD : 2012,,,,,,,,,,,,,,
                   (Php/ Panel),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Thickness (Inch/ mm),Region,Average,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct ,Nov,Dec
,,,,,,,,,,,,,,
1/4 (6.35),NCR,679.97,624.00,643.89,696.67,653.75,653.75,659.37,675.00,721.00,733.00,691.00,697.00,711.25
,CAR,371.04,358.00,362.00,362.00,362.00,375.50,375.50,375.50,370.00,368.00,370.00,387.00,387.00
,R-1,386.86,716.64,362.56,362.56,361.60,342.50,342.50,362.10,316.06,363.81,363.31,363.31,385.42
,R-2,449.56,402.78,373.75,377.12,366.46,358.96,729.77,366.32,355.01,398.13,368.75,940.41,357.23
,R-3,434.65,342.32,391.55,326.19,353.88,353.73,353.73,690.98,340.91,398.21,685.98,685.98,292.36
,R-4A,445.42,395.56,412.00,406.56,408.00,422.58,413.56,413.06,415.06,415.06,429.17,430.08,784.33
,R-4B,373.27,226.66,221.25,340.00,354.00,351.50,459.00,351.50,306.00,348.50,370.33,780.22,370.33
,R-5,392.08,345.00,400.00,400.00,400.00,400.00,400.00,393.33,393.33,393.33,393.33,393.33,393.33
,R-6,351.73,347.46,365.78,343.47,333.04,333.04,333.04,333.04,333.04,333.04,385.67,390.07,390.07
,R-7,318.06,316.52,316.52,316.52,316.52,316.52,316.52,316.52,316.52,316.52,316.52,316.52,335.00
,R-9,385.00,385.00,385.00,385.00,385.00,385.00,385.00,385.00,385.00,385.00,385.00,385.00,385.00
,R-10,296.00,296.00,296.00,296.00,296.00,296.00,296.00,296.00,296.00,296.00,296.00,296.00,296.00
,R-11,518.05,591.60,415.00,415.00,415.00,415.00,843.33,396.25,396.25,396.25,396.25,768.33,768.33
,R-12,568.67,402.50,805.00,805.00,1189.00,805.00,402.50,402.50,402.50,402.50,402.50,402.50,402.50
,R-13,445.42,695.00,370.00,595.00,595.00,385.00,385.00,695.00,325.00,325.00,325.00,325.00,325.00
1/2 (12.7),CAR,686.58,667.00,664.00,664.00,664.00,666.00,666.00,666.00,666.00,666.00,702.00,774.00,774.00
,R-1,684.25,680.63,683.38,679.13,692.70,686.50,686.50,686.83,699.14,691.63,690.13,676.50,657.88
,R-2,722.10,658.59,655.46,671.28,655.77,658.95,1338.84,647.13,674.21,674.21,665.88,674.21,690.62
,R-3,803.76,633.64,643.83,631.63,625.97,638.26,638.26,1283.52,637.17,696.55,1291.55,1291.55,633.17
,R-4A,807.89,735.20,744.62,719.70,720.70,771.50,739.20,743.70,735.70,742.15,798.33,765.25,1478.59
,R-4B,708.65,450.00,342.50,685.00,727.50,800.00,727.50,727.66,485.00,696.91,733.89,1393.89,733.89
,R-5,847.64,748.33,856.67,856.67,856.67,856.67,856.67,856.67,856.67,856.67,856.67,856.67,856.67
,R-6,656.68,674.31,652.39,568.75,663.58,663.58,663.58,663.58,663.58,663.58,667.75,667.75,667.75
,R-7,651.53,653.58,653.58,653.58,653.58,653.58,653.58,653.58,653.58,653.58,653.58,653.58,629.00
,R-9,719.23,697.00,697.00,731.67,731.67,721.67,721.67,721.67,721.67,721.67,721.67,721.67,721.67
,R-10,562.00,562.00,562.00,562.00,562.00,562.00,562.00,562.00,562.00,562.00,562.00,562.00,562.00
,R-11,699.39,621.25,621.25,618.75,625.00,628.75,684.25,523.75,721.67,1045.00,1045.00,640.00,618.00
,R-12,904.92,635.00,1270.00,1270.00,1904.00,1280.00,640.00,640.00,640.00,860.00,860.00,430.00,430.00
,R-13,601.08,502.00,595.00,595.00,595.00,624.00,624.00,1168.00,502.00,502.00,502.00,502.00,502.00
3/4 (19.05),NCR,1032.61,957.00,986.67,986.67,999.00,999.00,994.00,1035.00,1081.00,1095.00,1095.00,1088.00,1075.00
,CAR,1117.13,1099.00,1093.00,1093.00,1123.50,1066.00,1066.00,1066.00,1087.00,1138.00,1110.00,1232.00,1232.00
,R-1,1112.47,1093.38,1108.88,1110.38,1112.65,1096.00,1096.00,1093.83,1223.26,1092.00,1146.83,1057.50,1118.88
,R-2,1133.21,1035.16,1043.25,1072.66,1040.00,1044.87,2133.95,1029.25,1038.87,1038.87,1038.87,1038.75,1044.00
,R-3,1195.17,983.02,977.14,889.88,981.35,898.96,898.96,1985.50,955.98,972.37,1937.86,1937.86,923.20
,R-4A,1197.89,1166.10,1201.38,1189.10,1192.10,1245.75,1186.10,1204.60,1191.60,1196.10,1218.33,1206.38,1177.10
,R-4B,1034.72,900.00,636.66,975.00,1125.00,1100.00,1250.00,1030.00,1100.00,1100.00,1100.00,1050.00,1050.00
,R-5,1363.89,966.67,1400.00,1400.00,1400.00,1400.00,1400.00,1400.00,1400.00,1400.00,1400.00,1400.00,1400.00
,R-6,989.01,957.48,1034.22,987.40,936.53,936.53,936.53,936.53,936.53,936.53,1092.08,1088.89,1088.89
,R-7,960.70,959.40,959.40,959.40,959.40,959.40,959.40,959.40,959.40,959.40,959.40,959.40,975.00
,R-9,1190.56,1075.00,1075.00,1221.67,1221.67,1211.67,1211.67,1211.67,1211.67,1211.67,1211.67,1211.67,1211.67
,R-11,1041.15,1907.00,949.00,969.00,976.25,968.00,969.00,969.00,931.25,931.25,1020.00,1020.00,884.00
,R-12,1438.19,1073.00,2146.00,2146.00,3221.66,2320.66,1160.33,1160.33,1160.33,820.00,820.00,820.00,410.00
,R-13,1005.33,804.00,923.00,923.00,923.00,929.00,929.00,1891.00,1306.00,804.00,804.00,804.00,1024.00
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
