Type of Financial Insitution,Type of Financial Insitution,Type of Financial Insitution,march_total,march_head_office,march_other_offices,june_total,june_head_office,june_other_offices,september_total,september_head_office,september_other_offices,december_total,december_head_office,december_other_offices
Bsp supervised/regulated fis,Bsp supervised/regulated fis,Bsp supervised/regulated fis total,"21,494 ","7,256 ","14,238 ","21,630 ","7,249 ","14,381 ","21,952 ","7,279 ","14,673 ","22,453 ","7,264 ","15,189 "
Banks,Banks,Banks Total,"7,743 ",844 ,"6,899 ","7,769 ",841 ,"6,928 ","7,811 ",835 ,"6,976 ","7,848 ",818 ,"7,030 "
Banks,Universal and commercial banks,Universal and commercial banks Total,"4,284 ",38 ,"4,246 ","4,309 ",38 ,"4,271 ","4,330 ",38 ,"4,292 ","4,404 ",38 ,"4,366 "
Banks,Universal and commercial banks,Universal banks,"3,803 ",17 ,"3,786 ","3,827 ",17 ,"3,810 ","3,847 ",17 ,"3,830 ","3,916 ",17 ,"3,899 "
Banks,Universal and commercial banks,    private domestic banks,"3,374 ",11 ,"3,363 ","3,397 ",11 ,"3,386 ","3,417 ",11 ,"3,406 ","3,486 ",11 ,"3,475 "
Banks,Universal and commercial banks,    government banks,414 ,3 ,411 ,415 ,3 ,412 ,415 ,3 ,412 ,415 ,3 ,412 
Banks,Universal and commercial banks,    branches of foreign banks,15 ,3 ,12 ,15 ,3 ,12 ,15 ,3 ,12 ,15 ,3 ,12 
Banks,Universal and commercial banks,Commercial banks,481 ,21 ,460 ,482 ,21 ,461 ,483 ,21 ,462 ,488 ,21 ,467 
Banks,Universal and commercial banks,    private domestic banks,395 ,7 ,388 ,396 ,7 ,389 ,397 ,7 ,390 ,402 ,7 ,395 
Banks,Universal and commercial banks,    subsidiaries of foreign banks,70 ,3 ,67 ,70 ,3 ,67 ,70 ,3 ,67 ,70 ,3 ,67 
Banks,Universal and commercial banks,    branches of foreign banks,16 ,11 ,5 ,16 ,11 ,5 ,16 ,11 ,5 ,16 ,11 ,5 
Banks,Thrift banks 1/,Thrift banks total,"1,318 ",80 ,"1,238 ","1,314 ",80 ,"1,234 ","1,331 ",80 ,"1,251 ","1,296 ",77 ,"1,219 "
Banks,Rural  and cooperative banks ,Rural  and cooperative banks  Total,"2,141 ",726 ,"1,415 ","2,146 ",723 ,"1,423 ","2,150 ",717 ,"1,433 ","2,148 ",703 ,"1,445 "
Banks,Rural  and cooperative banks ,Rural banks 1/,"2,023 ",681 ,"1,342 ","2,026 ",678 ,"1,348 ","2,031 ",672 ,"1,359 ","2,020 ",658 ,"1,362 "
Banks,Rural  and cooperative banks ,Cooperative banks,118 ,45 ,73 ,120 ,45 ,75 ,119 ,45 ,74 ,128 ,45 ,83 
Non-bank financial institutions,Non-bank financial institutions,Non-bank financial institutions total,"13,744 ","6,405 ","7,339 ","13,854 ","6,401 ","7,453 ","14,134 ","6,437 ","7,697 ","14,598 ","6,439 ","8,159 "
Non-bank financial institutions, with quasi-banking functions, with quasi-banking functions,36 ,13 ,23 ,36 ,13 ,23 ,37 ,14 ,23 ,36 ,13 ,23 
Non-bank financial institutions, without quasi-banking functions, without quasi-banking functions Total,"13,708 ","6,392 ","7,316 ","13,818 ","6,388 ","7,430 ","14,097 ","6,423 ","7,674 ","14,562 ","6,426 ","8,136 "
Non-bank financial institutions, without quasi-banking functions,Nsslas   2/,116 ,77 ,39 ,116 ,77 ,39 ,144 ,77 ,67 ,144 ,77 ,67 
Non-bank financial institutions, without quasi-banking functions,Pawnshops,"13,493 ","6,233 ","7,260 ","13,612 ","6,238 ","7,374 ","13,864 ","6,274 ","7,590 ","14,333 ","6,281 ","8,052 "
Non-bank financial institutions, without quasi-banking functions,Others,99 ,82 ,17 ,90 ,73 ,17 ,89 ,72 ,17 ,85 ,68 ,17 
Offshore banking units  ,Offshore banking units  ,Offshore banking units  ,7 ,7 ,,7 ,7 ,,7 ,7 ,,7 ,7 ,
,,,,,,,,,,,,,,
Physical Network: Financial Institution under BSP supervision/regulation,,,,,,,,,,,,,,
As of end of periods indicated: 2008,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Updated as of 17 February 2009,,,,,,,,,,,,,,
1/ Including Microfinance-Oriented Banks,,,,,,,,,,,,,,
2/ Refers to non-stock savings and loan associations,,,,,,,,,,,,,,
"Source : Supervisory Data Center, Supervision and Examination Sector",,,,,,,,,,,,,,
