bank_office_type,bank_type,bank_type_2,2003_March,2003_June,2003_September,2003_December
Total Banks (Head Office + Other Offices),Total Banks,Total Banks Total,"7,465","7,448","7,469","7,494"
Total Banks (Head Office + Other Offices),Universal and Commercial Banks Total,Universal and Commercial Banks,"4,291","4,264","4,269","4,296"
Total Banks (Head Office + Other Offices),Universal and Commercial Banks,Universal Banks,"3,714","3,688","3,687","3,691"
Total Banks (Head Office + Other Offices),Universal and Commercial Banks,Commercial Banks,577,576,582,615
Total Banks (Head Office + Other Offices),Thrift Banks,Thrift Banks Total,"1,263","1,266","1,264","1,277"
Total Banks (Head Office + Other Offices),Rural and Cooperative Banks,Rural and Cooperative Banks Total,"1,911","1,918","1,936","1,921"
Total Banks (Head Office + Other Offices),Rural and Cooperative Banks,Rural Banks,"1,803","1,810","1,827","1,818"
Total Banks (Head Office + Other Offices),Rural and Cooperative Banks,Cooperative Banks,108,108,109,103
Head Office,Head Office,Head Office Total,909,906,905,899
Head Office,Universal and Commercial Banks,Universal and Commercial Banks Total,42,42,42,42
Head Office,Universal and Commercial Banks,Universal Banks,18,18,18,18
Head Office,Universal and Commercial Banks,Commercial Banks,24,24,24,24
Head Office,Thrift Banks,Thrift Banks Total,93,93,92,92
Head Office,Rural and Cooperative Banks,Rural and Cooperative Banks Total,774,771,771,765
Head Office,Rural and Cooperative Banks,Rural Banks,727,724,724,721
Head Office,Rural and Cooperative Banks,Cooperative Banks,47,47,47,44
Other Offices,Other Offices,Other Offices Total,"6,556","6,542","6,564","6,595"
Other Offices,Universal and Commercial Banks,Universal and Commercial Banks Total,"4,249","4,222","4,227","4,254"
Other Offices,Universal and Commercial Banks,Universal Banks,"3,696","3,670","3,669","3,678"
Other Offices,Universal and Commercial Banks,Commercial Banks,553,552,558,576
Other Offices,Thrift Banks,Thrift Banks Total,"1,170","1,173","1,172","1,185"
Other Offices,Rural and Cooperative Banks,,"1,137","1,147","1,165","1,156"
Other Offices,Rural and Cooperative Banks,Rural Banks,"1,076","1,086","1,103","1,097"
Other Offices,Rural and Cooperative Banks,Cooperative Banks,61,61,62,59
,,,,,,
Physical Network: Number of head office and other offices,,,,,,
As of end of periods indicated: 2003,,,,,,
Updated as of 29 December 2005,,,,,,
