bank_office_type,bank_type,bank_type_2,2002_March,2002_June,2002_September,2002_December,,,,,
Total Banks (Head Office + Other Offices),Total Banks,Total Banks Total,"7,587","7,492","7,460","7,454",,,,,
Total Banks (Head Office + Other Offices),Universal and Commercial Banks Total,Universal and Commercial Banks,"4,326","4,229","4,199","4,265",,,,,
Total Banks (Head Office + Other Offices),Universal and Commercial Banks,Universal Banks,"3,594","3,581","3,552","3,684",,,,,
Total Banks (Head Office + Other Offices),Universal and Commercial Banks,Commercial Banks,732,648,647,581,,,,,
Total Banks (Head Office + Other Offices),Thrift Banks,Thrift Banks Total,"1,342","1,349","1,340","1,278",,,,,
Total Banks (Head Office + Other Offices),Rural and Cooperative Banks,Rural and Cooperative Banks Total,"1,919","1,914","1,921","1,911",,,,,
Total Banks (Head Office + Other Offices),Rural and Cooperative Banks,Rural Banks,"1,810","1,804","1,812","1,802",,,,,
Total Banks (Head Office + Other Offices),Rural and Cooperative Banks,Cooperative Banks,109,110,109,109,,,,,
Head Office,Head Office,Head Office Total,925,918,915,912,,,,,
Head Office,Universal and Commercial Banks,Universal and Commercial Banks Total,44,44,43,42,,,,,
Head Office,Universal and Commercial Banks,Universal Banks,18,18,18,18,,,,,
Head Office,Universal and Commercial Banks,Commercial Banks,26,26,25,24,,,,,
Head Office,Thrift Banks,Thrift Banks Total,100,98,95,94,,,,,
Head Office,Rural and Cooperative Banks,Rural and Cooperative Banks Total,781,776,777,776,,,,,
Head Office,Rural and Cooperative Banks,Rural Banks,731,727,729,728,,,,,
Head Office,Rural and Cooperative Banks,Cooperative Banks,50,49,48,48,,,,,
Other Offices,Other Offices,Other Offices Total,"6,662","6,574","6,545","6,542",,,,,
Other Offices,Universal and Commercial Banks,Universal and Commercial Banks Total,"4,282","4,185","4,156","4,223",,,,,
Other Offices,Universal and Commercial Banks,Universal Banks,"3,576","3,563","3,534","3,666",,,,,
Other Offices,Universal and Commercial Banks,Commercial Banks,706,622,622,557,,,,,
Other Offices,Thrift Banks,Thrift Banks Total,"1,242","1,251","1,245","1,184",,,,,
Other Offices,Rural and Cooperative Banks,,"1,138","1,138","1,144","1,135",,,,,
Other Offices,Rural and Cooperative Banks,Rural Banks,"1,079","1,077","1,083","1,074",,,,,
Other Offices,Rural and Cooperative Banks,Cooperative Banks,59,61,61,61,,,,,
,,,,,,,,,,,
Physical Network: Number of head office and other offices,,,,,,,,,,,
As of end of periods indicated: 2002,,,,,,,,,,,
Updated as of 12 March 2004,,,,,,,,,,,
