Type of Financial Insitution,Type of Financial Insitution,Type of Financial Insitution,march_total,march_head_office,march_other_offices,june_total,june_head_office,june_other_offices,september_total,september_head_office,september_other_offices,december_total,december_head_office,december_other_offices
Bsp supervised/regulated fis,Bsp supervised/regulated fis,Bsp supervised/regulated fis total,"22,654 ","7,259 ","15,395 ","22,796 ","7,261 ","15,535 ","22,884 ","7,245 ","15,639 ","23,701 ","7,240 ","16,461 "
Banks,Banks,Banks Total,"7,876 ",811 ,"7,065 ","7,898 ",804 ,"7,094 ","7,914 ",797 ,"7,117 ","8,620 ",785 ,"7,835 "
Banks,Universal and commercial banks,Universal and commercial banks Total,"4,422 ",38 ,"4,384 ","4,435 ",38 ,"4,397 ","4,444 ",38 ,"4,406 ","4,520 ",38 ,"4,482 "
Banks,Universal and commercial banks,Universal banks,"3,928 ",18 ,"3,910 ","3,938 ",18 ,"3,920 ","3,940 ",18 ,"3,922 ","4,009 ",18 ,"3,991 "
Banks,Universal and commercial banks,    private domestic banks,"3,497 ",11 ,"3,486 ","3,507 ",11 ,"3,496 ","3,510 ",11 ,"3,499 ","3,569 ",11 ,"3,558 "
Banks,Universal and commercial banks,    government banks,415 ,3 ,412 ,415 ,3 ,412 ,414 ,3 ,411 ,424 ,3 ,421 
Banks,Universal and commercial banks,    branches of foreign banks,16 ,4 ,12 ,16 ,4 ,12 ,16 ,4 ,12 ,16 ,4 ,12 
Banks,Universal and commercial banks,Commercial banks,494 ,20 ,474 ,497 ,20 ,477 ,504 ,20 ,484 ,511 ,20 ,491 
Banks,Universal and commercial banks,    private domestic banks,410 ,7 ,403 ,413 ,7 ,406 ,420 ,7 ,413 ,427 ,7 ,420 
Banks,Universal and commercial banks,    subsidiaries of foreign banks,69 ,3 ,66 ,69 ,3 ,66 ,69 ,3 ,66 ,69 ,3 ,66 
Banks,Universal and commercial banks,    branches of foreign banks,15 ,10 ,5 ,15 ,10 ,5 ,15 ,10 ,5 ,15 ,10 ,5 
Banks,Thrift banks 1/,Thrift banks total,"1,297 ",76 ,"1,221 ","1,291 ",74 ,"1,217 ","1,298 ",73 ,"1,225 ","1,333 ",73 ,"1,260 "
Banks,Rural  and cooperative banks ,Rural  and cooperative banks  Total,"2,157 ",697 ,"1,460 ","2,172 ",692 ,"1,480 ","2,172 ",686 ,"1,486 ","2,767 ",674 ,"2,093 "
Banks,Rural  and cooperative banks ,Rural banks 1/,"2,025 ",653 ,"1,372 ","2,032 ",648 ,"1,384 ","2,030 ",642 ,"1,388 ","2,605 ",631 ,"1,974 "
Banks,Rural  and cooperative banks ,Cooperative banks,132 ,44 ,88 ,140 ,44 ,96 ,142 ,44 ,98 ,162 ,43 ,119 
Non-bank financial institutions,Non-bank financial institutions,Non-bank financial institutions total,"14,771 ","6,441 ","8,330 ","14,892 ","6,451 ","8,441 ","14,965 ","6,443 ","8,522 ","15,076 ","6,450 ","8,626 "
Non-bank financial institutions, with quasi-banking functions, with quasi-banking functions,36 ,13 ,23 ,37 ,14 ,23 ,37 ,14 ,23 ,37 ,14 ,23 
Non-bank financial institutions, without quasi-banking functions, without quasi-banking functions Total,"14,735 ","6,428 ","8,307 ","14,855 ","6,437 ","8,418 ","14,928 ","6,429 ","8,499 ","15,039 ","6,436 ","8,603 "
Non-bank financial institutions, without quasi-banking functions,Nsslas   2/,151 ,76 ,75 ,150 ,75 ,75 ,149 ,74 ,75 ,164 ,70 ,94 
Non-bank financial institutions, without quasi-banking functions,Pawnshops,"14,500 ","6,285 ","8,215 ","14,622 ","6,296 ","8,326 ","14,703 ","6,294 ","8,409 ","14,800 ","6,306 ","8,494 "
Non-bank financial institutions, without quasi-banking functions,Others,84 ,67 ,17 ,83 ,66 ,17 ,76 ,61 ,15 ,75 ,60 ,15 
Offshore banking units  ,Offshore banking units  ,Offshore banking units  ,7 ,7 ,0 ,6 ,6 ,0 ,5 ,5 ,0 ,5 ,5 ,0 
,,,,,,,,,,,,,,
Physical Network: Financial Institution under BSP supervision/regulation,,,,,,,,,,,,,,
As of end of periods indicated: 2009,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Updated as of 04 March 2010,,,,,,,,,,,,,,
1/ Including Microfinance-Oriented Banks,,,,,,,,,,,,,,
2/ Refers to non-stock savings and loan associations,,,,,,,,,,,,,,
"Source : Supervisory Data Center, Supervision and Examination Sector",,,,,,,,,,,,,,
