name_of_project,location,amount_appropriated,disbursement,balance,remarks
Various barangay projects,-,8000000,-,-,-
Construction of Bantay Bayan Outpost,Toclong I-C,-,53500,-,OBR#1754
Construcion of Watse Transfer Station,Pinagbuklod,-,66000,-,OBR#1756
Construction of Barangay Outpost,Poblacion IV-B,-,153000,-,OBR#1762
Construction of Health Center Extension for Pathway,Malagasang II-D,-,?,-,OBR#1761
Constrcution of 5 Units Waiting Shed,Pag-asa II,-,210000,-,OBR#1765
Rehabilitation of Streetlights,Medicion II-A,-,176000,-,OBR#1758
Roofing of Pathway at DBM Camerino E/S,Medicion II-A,-,99780,-,OBR#1763
Improvement of Covered Court,Pag-asa II,-,670000,-,OBR#1767
Installation of Railing,Bucandala IV,-,440000,-,OBR#1769
Improvement of Basketball Court,Malagasang II-E,-,156000,-,OBR#1770
Construction of Fence at Riverside,T. Luna I,-,575000,-,OBR#1771
Improvement of Basketball Court,Malagasang II-F,-,220000,-,OBR#1772
Installation of Steel Railings,Malagasang II-A,-,240000,-,OBR#1773
Improvement of Barangay Hall and Health Center,Anabu I-A,-,300000,-,OBR#1775
Concreting of Callejon,Malagasang II-C,-,99500,-,OBR#1776
Concreting of Callejon,Alapan I-A,-,200000,-,OBR#1777
Installation of Streetlights,Anabu I-C,-,680000,-,OBR#1778
Improvement of Streetlights,Anabu I-D,-,316000,-,OBR#1779
Upgrading of Callejion at Balimbing Drive,Medicion II-B,-,163000,-,OBR#1956
Improvement of Drainage and Sidewalk,Anabu I-E,-,240000,•,OBR#4426
Construction of Waiting Shed,Pasong Bayan II,-,75000,-,OBR#4427
Repair of Streetlights and Desilting of Drainage,Tanzang Luma II,-,72500,-,OBR#4424
Construction of Drainage,Tanzang Luma VI,-,330000,-,OBR#4428
Construction of Multipurpose Hall,Anabu II-A,-,425000,-,OBR#4419
Improvement of Multi-Purpose Hall and Construction of Pathwalks Roofing at Pansol Bridges,Bayan Luma V,-,192000,-,OBR#4420
Labor and Materials for Drilling and Installation Deepwell for Different Barangays,-,-,978355,-,OBR#6060
Installation of Lightning of Basketball Court,Malagasang II-D,-,136000,-,OBR#6061
-,-,-,7729635,270365,-
Total,Total,48300000,25602635,22697365,-
