brgy PSGC code,brgy ID,name of province,name of city/municipality,name of barangay,year of survey,total number of HHs in brgy,total number of members in brgy (barangay population),magnitude of members in brgy 1 year old and below,magnitude of members in brgy 5 years old and below,magnitude of members in brgy 6 to 12 years old,magnitude of members in brgy 6 to 12 yrs old not attending elementary school,proportion of members in brgy 6 to 12 yrs old not attending elementary school,magnitude of members in brgy 13 to 16 yrs old not attending high school,proportion of members in brgy 13 to 16 yrs old not attending high school,magnitude of members in brgy 6 to 16 yrs old not attending school,proportion of members in brgy 6 to 16 yrs old not attending school,magnitude of members in brgy 6 to 11 yrs old not attending elementary school,proportion of members in brgy 6 to 11 yrs old not attending elementary school,magnitude of members in brgy 12 to 15 yrs old not attending high school,proportion of members in brgy 6 to 11 yrs old not attending high school,magnitude of members in brgy 13 to 16 years old,magnitude of members in brgy 6 to 16 years old,magnitude of malnourished children 5 years old and below in brgy,proportion of malnourished children 5 years old and below in brgy,magnitude of women in brgy who died due to pregnancy-related causes ,proportion of women in brgy who died due to pregnancy-related causes ,magnitude of households in brgy living in makeshift housing,proportion of households in brgy living in makeshift housing,magnitude of households in brgy who are informal settlers,proportion of households in brgy who are informal settlers,magnitude of households in brgy with income below poverty threshold,proportion of households in brgy with income below poverty threshold,magnitude of households in brgy with income below food threshold,magnitude of households in brgy without access to safe water system,magnitude of households in brgy without access to safe water system,magnitude of households in brgy without access to sanitary toilet facilities,magnitude of households in brgy without access to sanitary toilet facilities,proportion of households in brgy with income below food threshold,magnitude of members in brgy who are victims of crime,proportion of members in brgy who are victims of crime,magnitude of households in brgy who experienced food shortage,proportion of households in brgy who experienced food shortage,magnitude of members in brgy who are members of the labor force,magnitude of members in brgy 15 years old and above who are unemployed,proportion of members in brgy 15 years old and above who are unemployed,magnitude of members in brgy 0 to 4 years old,magnitude of members in brgy 0 to 4 years old who died,proportion of members in brgy 0 to 4 years old who died,magnitude of members in brgy 6 to 11 years old,magnitude of members in brgy 12 to 15 years old,magnitude of members in brgy 6 to 15 years old,magnitude of members in brgy 6 to 15 years old not in school,proportion of members in brgy 6 to 15 years old not in school,magnitude of members in brgy 10 years old and above,name of province,name of municipality,barangay ID
97224001,97224001,ZAMBOANGA DEL NORTE,BALIGUIAN,Alegria,2008,154,768,23,123,148,15,10.1,35,46.700001,31,13.9,-,-,-,-,75,223,6,4.9000001,0,0,8,5.1999998,0,0,107,69.5,86,59,38.299999,126,81.800003,55.799999,0,0,0,0,214,8,3.7,-,-,-,-,-,-,-,-,-,72,24,7224001
97224008,97224008,ZAMBOANGA DEL NORTE,BALIGUIAN,Lumay,2008,100,550,16,101,96,21,21.9,34,60.700001,34,22.4,-,-,-,-,56,152,4,4,0,0,5,5,0,0,73,73,64,19,19,72,72,64,0,0,0,0,133,5,3.8,-,-,-,-,-,-,-,-,-,72,24,7224008
97224010,97224010,ZAMBOANGA DEL NORTE,BALIGUIAN,Mamad,2008,248,1224,36,216,226,44,19.5,54,44.299999,52,14.9,-,-,-,-,122,348,1,0.5,0,0,2,0.80000001,1,0.40000001,199,80.199997,181,7,2.8,58,23.4,73,0,0,0,0,179,20,11.2,-,-,-,-,-,-,-,-,-,72,24,7224010
97224014,97224014,ZAMBOANGA DEL NORTE,BALIGUIAN,Poblacion,2008,10,34,1,3,3,0,0,0,0,0,0,-,-,-,-,4,7,0,0,0,0,1,10,1,10,5,50,5,1,10,4,40,50,0,0,0,0,8,0,0,-,-,-,-,-,-,-,-,-,72,24,7224014
97225001,97225001,ZAMBOANGA DEL NORTE,GODOD,Baluno,2008,128,627,23,130,125,22,17.6,39,63.900002,25,13.4,-,-,-,-,61,186,0,0,0,0,0,0,0,0,118,92.199997,110,4,3.0999999,74,57.799999,85.900002,2,0.30000001,0,0,171,4,2.3,-,-,-,-,-,-,-,-,-,72,25,7225001
97225002,97225002,ZAMBOANGA DEL NORTE,GODOD,Banuangan,2008,165,835,22,143,189,95,50.299999,76,86.400002,133,48,-,-,-,-,88,277,0,0,1,4.3000002,0,0,0,0,147,89.099998,132,140,84.800003,114,69.099998,80,1,0.1,12,7.3000002,198,1,0.5,-,-,-,-,-,-,-,-,-,72,25,7225002
97225003,97225003,ZAMBOANGA DEL NORTE,GODOD,Bunawan,2008,220,1153,24,196,236,101,42.799999,100,78.099998,164,45.099998,-,-,-,-,128,364,25,12.8,0,0,28,12.7,2,0.89999998,186,84.5,162,127,57.700001,90,40.900002,73.599998,0,0,102,46.400002,295,10,3.4000001,-,-,-,-,-,-,-,-,-,72,25,7225003
97225004,97225004,ZAMBOANGA DEL NORTE,GODOD,Dilucot,2008,86,500,16,99,126,82,65.099998,50,92.599998,111,61.700001,-,-,-,-,54,180,7,7.0999999,0,0,0,0,3,3.5,82,95.300003,78,80,93,69,80.199997,90.699997,6,1.2,2,2.3,129,0,0,-,-,-,-,-,-,-,-,-,72,25,7225004
97225005,97225005,ZAMBOANGA DEL NORTE,GODOD,Dipopor,2008,199,1020,16,169,226,82,36.299999,79,72.5,95,28.4,-,-,-,-,109,335,1,0.60000002,0,0,8,4,8,4,166,83.400002,143,60,30.200001,35,17.6,71.900002,29,2.8,57,28.6,265,9,3.4000001,-,-,-,-,-,-,-,-,-,72,25,7225005
97225006,97225006,ZAMBOANGA DEL NORTE,GODOD,Guisapong,2008,149,751,8,103,145,52,35.900002,48,69.599998,76,35.5,-,-,-,-,69,214,6,5.8000002,0,0,0,0,13,8.6999998,136,91.300003,130,16,10.7,60,40.299999,87.199997,1,0.1,13,8.6999998,207,1,0.5,-,-,-,-,-,-,-,-,-,72,25,7225006
