type_of_banking_system,,March_Total,March_Head Offices,March_Branches,June_Total,June_Head Offices,June_Branches,September_Total,September_Head Offices,September_Branches,December_Total,December_Head Offices,December_Branches
RURAL AND COOPERATIVE BANKS,Region 10,         105,             46,             59,           105,              46,                   59,            106,             46,            60,          105,            46,                 59
RURAL AND COOPERATIVE BANKS,Region 11,           84,             21,             63,             85,              21,                   64,              87,             21,            66,            88,            21,                 67
RURAL AND COOPERATIVE BANKS,Region 12,           66,             21,             45,             66,              21,                   45,              66,             21,            45,            66,            21,                 45
RURAL AND COOPERATIVE BANKS,CAR,           42,             19,             23,             42,              19,                   23,              42,             19,            23,            43,            19,                 24
RURAL AND COOPERATIVE BANKS,ARMM,             4,               4,,               4,                4,                    -  ,                4,               4,            -  ,              4,              4,                 -  
RURAL AND COOPERATIVE BANKS, CARAGA,           70,             19,             51,             70,              19,                   51,              70,             19,            51,            70,            19,                 51
RURAL AND COOPERATIVE BANKS,Nationwide,"      2,042",           746,"        1,296","        2,053",            745,"              1,308","         2,066",           742,"       1,324","       2,075",          739,"            1,336"
RURAL AND COOPERATIVE BANKS,     Asia-Pacific,            -  ,              -  ,              -  ,              -  ,               -  ,                    -  ,               -  ,             -  ,            -  ,             -  ,            -  ,                 -  
RURAL AND COOPERATIVE BANKS,     Europe ,            -  ,              -  ,              -  ,              -  ,               -  ,                    -  ,               -  ,             -  ,            -  ,             -  ,            -  ,                 -  
RURAL AND COOPERATIVE BANKS,     North America ,            -  ,              -  ,              -  ,              -  ,               -  ,                    -  ,               -  ,             -  ,            -  ,             -  ,            -  ,                 -  
RURAL AND COOPERATIVE BANKS,     Africa ,            -  ,              -  ,              -  ,              -  ,               -  ,                    -  ,               -  ,             -  ,            -  ,             -  ,            -  ,                 -  
RURAL AND COOPERATIVE BANKS,Overseas,            -  ,              -  ,              -  ,              -  ,               -  ,                    -  ,               -  ,             -  ,            -  ,             -  ,            -  ,                 -  
,*/  Composed of Mindoro (Occidental & Oriental);,,,,,,,,,,,,
,     Marinduque and Romblon,,,,,,,,,,,,
,,,,,,,,,,,,,
,Updated as of 1 April 2008,,,,,,,,,,,,
,,,,,,,,,,,,,
Philippine Banking System: REGIONAL DISTRIBUTION OF BANKING OFFICES,,,,,,,,,,,,,
As of End-of-Periods Indicated: 2006,,,,,,,,,,,,,
,,,,,,,,,,,,,
