municipality/city,position,name,nickname,party_affiliation,votes_obtained
City of Las Pinas,City Mayor,"Aguilar, Vergel Ampaya",Nene,Nationalista Party,157825
City of Las Pinas,City Vice-Mayor,"Bustamante, Luis Imperial",Louie,Nationalista Party,141470
City of Las Pinas,Councilor-1st District,"Aguilar, Filemon Jr. Ampaya",Sonny,Nationalista Party,73532
City of Las Pinas,Councilor-1st District,"Santos, Mark Anthony Gayoso",Mark,Nationalista Party,61104
City of Las Pinas,Councilor-1st District,"Pe, Oscar Cayas",Oca,Nationalista Party,59387
City of Las Pinas,Councilor-1st District,"Quilatan, Buenaventura Fajardo",Ben,Nationalista Party,56705
City of Las Pinas,Councilor-1st District,"Riguera, Rex Hans",Rex,Nationalista Party,54154
City of Las Pinas,Councilor-1st District,"Abellera, Zardi Melito Dulay",Zardi,Nationalista Party,41586
City of Las Pinas,Councilor-2nd District,"Aguilar, Carlo Rebueno",Carlo,Nationalista Party,66972
City of Las Pinas,Councilor-2nd District,"Medina, Henry De Castro",Hcm,Nationalista Party,62254
City of Las Pinas,Councilor-2nd District,"Ramos, Ruben Casas",Ben,Nationalista Party,59589
City of Las Pinas,Councilor-2nd District,"Hernandez, Albert Francis Santos",Danok,Nationalista Party,48985
City of Las Pinas,Councilor-2nd District,"Benedicto, Leopoldo Fondevilla",Dong,Nationalista Party,46480
City of Las Pinas,Councilor-2nd District,"Riguera, Bonifacio Castillo",Boni,Nationalista Party,40450
City of Makati,City Mayor,"Binay, Jejomar Erwin Jr. Sombillo",Jun-Jun,United Nationalist Party,225237
City of Makati,City Vice-Mayor,"Pe, Romulo Jr. Valderama",Kid,Liberal Party,129838
City of Makati,Councilor-1st District,"Hilario, Virgilio Velasco",Jhong,United Nationalist Party,82140
City of Makati,Councilor-1st District,"Yabut, Maria Concepcion Martinez",Ichi,United Nationalist Party,80823
City of Makati,Councilor-1st District,"Del Rosario, Manuel Monsour Iii Tabib",Monsour,United Nationalist Party,80782
City of Makati,Councilor-1st District,"Eusebio, Ferdinand Tengco",Ferdie,United Nationalist Party,78740
City of Makati,Councilor-1st District,"Casal-Uy, Marie Alethea San Jose",Mayeth,United Nationalist Party,74973
City of Makati,Councilor-1st District,"Puno-Ramos, Tosca Camille Tayag",Tosca,United Nationalist Party,74356
City of Makati,Councilor-1st District,"Magpantay, Arnold Castillo",Idol,United Nationalist Party,70551
City of Makati,Councilor-1st District,"Medina, Romeo Custodio",Romy,United Nationalist Party,68856
City of Makati,Councilor-2nd District,"Magpantay, Leonardo Marquez",Leo,United Nationalist Party,92359
City of Makati,Councilor-2nd District,"Pasia, Nelson Soriano",Doc,United Nationalist Party,86758
City of Makati,Councilor-2nd District,"Sese, Vincent Tejada",Vincent,United Nationalist Party,86727
City of Makati,Councilor-2nd District,"Cruzado, Israel Santos",Boyet,United Nationalist Party,86481
City of Makati,Councilor-2nd District,"Jacome, Henry Alora",Henry,United Nationalist Party,84497
City of Makati,Councilor-2nd District,"Yabut, Nemesio Jr. Siddons",King,United Nationalist Party,83509
City of Makati,Councilor-2nd District,"De Lara, Maria Theresa Nillo",Tetchie,United Nationalist Party,80259
City of Makati,Councilor-2nd District,"Tolentino, Mary Ruth Casten",Ruth,United Nationalist Party,77541
City of Muntinlupa,City Mayor,"Fresnedi, Jaime Dela Rosa",Jimmy,Liberal Party,93182
City of Muntinlupa,City Vice-Mayor,"Simundac, Artemio Arevalo",Temy,United Nationalist Party,110584
City of Muntinlupa,Councilor-1st District,"Corro, Raul Rosero",Atty Corro,United Nationalist Party,70278
City of Muntinlupa,Councilor-1st District,"Boncayao, Patricio Jr. Lanuzo",Pat,Liberal Party,61312
City of Muntinlupa,Councilor-1st District,"Niefes, Baldomero Dullavin",Bal,United Nationalist Party,58001
City of Muntinlupa,Councilor-1st District,"Teves, Stephanie Galan",Phanie,Liberal Party,57719
City of Muntinlupa,Councilor-1st District,"Arciaga, Louisito Arciaga",Louie,Liberal Party,53327
City of Muntinlupa,Councilor-1st District,"Teves, Ringo Acedilla",Ringo Star,United Nationalist Party,52035
City of Muntinlupa,Councilor-1st District,"Patdu-Labios, Margarita Amythyst Nuqui",Amy Patdu,United Nationalist Party,51748
City of Muntinlupa,Councilor-1st District,"Diaz, Alexander Ballesteros",Alex,United Nationalist Party,47947
City of Muntinlupa,Councilor-2nd District,"Arevalo, Ma. Dhesiree Gonzales",Dhes,United Nationalist Party,40913
City of Muntinlupa,Councilor-2nd District,"Constantino, Luvi Pagsisihan",Luvi,United Nationalist Party,40793
City of Muntinlupa,Councilor-2nd District,"Santiago, Neptali Simundac",Nep-Tulongskwela,United Nationalist Party,39989
