date,particular,total
10/4/2012,Icom Ic and V# F et al.,169800
10/8/2012,60 Pax 1 Job Order Live-inSeminar ICS,27000
10/31/2012,Launching of Young Adnert,33000
12/20/2012,230 L Diesel for Relief Operation TY Pablo,12000
-,Total,241000
