nature_of_appointment,number,compensation_and_other_benefits_salaries_and_wages,compensation_and_other_benefits_other_monetary_benefits,total
Permanent,673,61575413.22,7656282.56,69231695.78
Wages,22,312164.08,136624.6,448788.68
Job Order,241,-,-,-
Grand Total,936,61887577.3,30494781.05,69680484.46
