function_or_program_or_fund_or_activity,account_code,appropriation,allotment,obligation,balances_of_appropriation,balances_of_allotment
5 % Calamity Fund,-,-,-,-,-,-
Maintenance and Other Operating Expenses,-,41880124,265124,-,41615000,"265, 124"
Total Appropriations,-,41880124,265124,-,41615001,"265, 125"
