function_or_program_or_fund_or_activity,account_code,appropriation,allotment,obligation,balances_of_appropriation,balances_of_allotment
30% Quick Respond Fund,-,12564037,12564037,314240,-,12249797
70 % Disaster Preparedness Fund,-,29316087,-,-,29316087,-
Total Appropriations,-,12564037,12564037,314240,-,12249797
