city_municipality,position,name,nickname,party_affiliation,votes_obtained
Bansalan,Mayor,"Reyes, Edwin Granada",Edwin,Nationalista Party,14760
Bansalan,Vice-Mayor,"Gallardo, Arnel Melo",Atong,Nationalist People's Coalition,12864
Bansalan,Councilor,"Albores, Julian Lanutan",Julian,Nationalista Party,13992
Bansalan,Councilor,"Enero, Jacquie Torres",Jacque,Nationalista Party,13416
Bansalan,Councilor,"Cartin, Rodolfo Malud",Rudy,Nationalist People's Coalition,13028
Bansalan,Councilor,"Sarte, Quirina Tobel",Quilin,Nationalista Party,12387
Bansalan,Councilor,"Lao, Fe Saguiguit",Fe,Nationalista Party,11872
Bansalan,Councilor,"Gallardo, Armand Anthony Melo",Gogoy,Nationalist People's Coalition,11356
Bansalan,Councilor,"Abril, Liza Rosello",Inday,Nationalista Party,10710
Bansalan,Councilor,"Gutierrez, Alfredo Boroy",Al,Nationalist People's Coalition,10695
Davao City,City Mayor,"Duterte, Rodrigo Roa",Rody,HUGPONG,473735
Davao City,City Vice-Mayor,"Duterte, Paolo Zimmerman",Pulong Paolo,HUGPONG,437266
Davao City,Councilor-1st District,"Acosta, Maria Belen Sunga",Mabel,HUGPONG,142440
Davao City,Councilor-1st District,"Ibuyan, Edgar Ramos",Kap,HUGPONG,124855
Davao City,Councilor-1st District,"Avila, Leonardo Placido Iii Ramos",Happy L.A.,HUGPONG,124045
Davao City,Councilor-1st District,NAtionalista Party,Leah,HUGPONG,123294
Davao City,Councilor-1st District,"Quitain, J Melchor Vega",Q,HUGPONG,114500
Davao City,Councilor-1st District,"Abellera, Nilo Jr. Malig",Small,HUGPONG,106263
Davao City,Councilor-1st District,"Bonguyan-Quilos, Joanne Mendoza",Tamsi,National Unity Party,104875
Davao City,Councilor-1st District,"Militar, Bonifacio Ecraela",Boni,Liberal Party,100514
Davao City,Councilor-2nd District,"Bonguyan, Louie John Jose",John,Liberal Party,107626
Davao City,Councilor-2nd District,"Alejandre, Al Ryan Sumicad",Al Ryan,HUGPONG,105314
Davao City,Councilor-2nd District,"Dayanghirang, Danilo Castillo",Danny,HUGPONG,100970
Davao City,Councilor-2nd District,"Dayap, April Marie Cascabel",April,HUGPONG,98473
Davao City,Councilor-2nd District,"Salvador-Abella, Marissa Pacaldo",Maris,HUGPONG,92241
Davao City,Councilor-2nd District,"Mahipus, Diosdado Angelo Abello",Toto,HUGPONG,92201
Davao City,Councilor-2nd District,"Monteverde, Tomas Iv Joyce",Tomasing,HUGPONG,89366
Davao City,Councilor-2nd District,"Dureza, Jimmy Gestuveo",Jimmy,HUGPONG,84397
Davao City,Councilor-3rd District,"Bello, Karlo Santos",Kaloy,HUGPONG,95894
Davao City,Councilor-3rd District,"Al-Ag, Bernard Echavez",Bernie,HUGPONG,92992
Davao City,Councilor-3rd District,"Dalodo-Ortiz, Myrna Gerolin",Myrna,HUGPONG,86255
Davao City,Councilor-3rd District,"Zozobrado, Rachel Paradela",Baby,HUGPONG,84525
Davao City,Councilor-3rd District,"Villafuerte, Mary Joselle Dilig",Joselle,HUGPONG,72340
Davao City,Councilor-3rd District,"Principe, Antoinette Guerrero",Petite,Liberal Party,70296
Davao City,Councilor-3rd District,"Advincula, Victorio Jr. Uy",Bong,HUGPONG,68217
Davao City,Councilor-3rd District,"Lopez, Rene Elias Concepcion",Rene,Nationalista Party,60182
Digos City,City Mayor,"Pe, Joseph Roble",Jojo,Liberal Party,37440
Digos City,City Vice-Mayor,"Hermosisima, Reynaldo Seton",Rey,Liberal Party,36992
Digos City,Councilor,"Cagas, Josef Fortich",Jojo,Nationalista Party,37748
Digos City,Councilor,"Cadilig, Eddie Sr. Ceballos",Kap,Liberal Party,36953
Digos City,Councilor,"Latasa, Michael Requina",Mike,Liberal Party,30781
Digos City,Councilor,"Ba, Johari Gomez",Johari,Nationalista Party,29322
Digos City,Councilor,"Cadungog, Concepcion Regidor",Ching,Nationalista Party,28082
Digos City,Councilor,"Llanos, Milagros Cortez",Mommy Mila,Liberal Party,26879
Digos City,Councilor,"Ayo, Rey Quindag",Rey,Liberal Party,26550
Digos City,Councilor,"Tongcos, Francisco Belinario",Frank,Nationalista Party,25700
Digos City,Councilor,"Senajon, Serafin Jr. Salvani",Jun,Liberal Party,24808
Digos City,Councilor,"Garcia, Millennium Pati",Melot,Liberal Party,24773
Don Marcelino,Mayor,"Johnson, John Harvey",John,Liberal Party,9305
Don Marcelino,Vice-Mayor,"Maruya, Michael Angkang",Uday,Liberal Party,9068
Don Marcelino,Councilor,"Omicas, Danilo Igalan",Nilo,Independent,7025
Don Marcelino,Councilor,"Sasuman, Ruel Jerome Albores",Jerry,Liberal Party,6886
Don Marcelino,Councilor,"Ismael, Baning Matub",Baning,Liberal Party,6406
Don Marcelino,Councilor,"Bansil, Jaime Pagalangan",Jimmy,Liberal Party,6249
Don Marcelino,Councilor,"Johnson, Stephen Perkins",Tibo,Liberal Party,5916
Don Marcelino,Councilor,"Carriaga, Ryan John Anuada",Ryan,Liberal Party,5581
Don Marcelino,Councilor,"Cadulang, Leopoldo Matanggo",Mana,ALYANSA,5506
Don Marcelino,Councilor,"Pore, Pablo Jr. Masaglang",Boy,Liberal Party,5231
Hagonoy,Mayor,"Calida, Franco Magno",Frank,Nationalista Party/ALYANSA,13839
Hagonoy,Vice-Mayor,"Raut, Myrna Deypalubos",Nanay,Nationalista Party/ALYANSA,11102
Hagonoy,Councilor,"Nu, Helen Boquia",Helen,Nationalista Party/ALYANSA,14222
Hagonoy,Councilor,"Gayud, Sheryll Cabardo",Lyn Lyn,Nationalista Party/ALYANSA,10271
Hagonoy,Councilor,"Paden, Vincent Alexes Abuda",Nonoy,Nationalista Party/ALYANSA,10160
Hagonoy,Councilor,"Watin, Ronald Villaluz",Ronald,Nationalista Party/ALYANSA,8853
