region,lgu_name,2009,2010,2011,2012,2013,2014
Region IV-B,Oriental Mindoro," 727,275,650.25 "," 771,733,791.68 "," 857,461,877.72 "," 842,742,464.31 "," 927,536,159.77 "," 1,038,440,081.46 "
Region IV-B,Palawan," 1,212,979,137.00 "," 1,254,552,418.00 "," 1,408,396,602.73 "," 1,372,308,793.17 "," 1,518,840,746.60 "," 1,658,881,478.71 "
Region IV-B,Romblon," 197,304,527.82 "," 424,393,321.48 "," 460,281,123.07 "," 446,748,874.25 "," 486,739,853.90 "," 546,043,963.01 "
Region V,Albay," 895,246,905.36 "," 1,006,922,916.37 "," 1,023,327,724.27 "," 964,272,142.63 "," 1,061,919,637.05 "," 1,199,480,767.57 "
Region V,Camarines Norte," 594,810,543.43 "," 617,186,513.91 "," 682,129,495.29 "," 649,814,734.91 "," 709,882,418.27 "," 828,866,022.97 "
Region V,Camarines Sur," 1,237,940,128.94 "," 1,330,471,809.20 "," 1,294,348,933.21 "," 1,218,960,629.79 "," 1,359,480,053.58 "," 1,575,768,826.79 "
Region V,Catanduanes," 414,555,274.79 "," 455,028,230.29 "," 480,362,738.81 "," 498,103,165.46 "," 570,404,107.20 "," 604,333,353.32 "
Region V,Masbate," 722,301,210.00 "," 774,777,695.02 "," 851,429,005.20 "," 821,145,304.73 "," 909,142,044.68 "," 1,028,252,346.97 "
Region V,Sorsogon," 628,405,492.22 "," 681,781,028.79 "," 742,782,660.25 "," 722,565,659.27 "," 813,768,252.30 "," 964,317,054.26 "
Region VI,Aklan," 701,811,672.91 "," 777,117,678.66 "," 887,200,791.44 "," 959,573,075.43 "," 1,087,178,846.19 "," 1,162,712,648.02 "
Region VI,Antique," 604,759,026.71 "," 655,668,734.95 "," 733,915,293.61 "," 798,856,119.88 "," 869,427,110.03 "," 948,718,394.22 "
Region VI,Capiz," 659,040,321.86 "," 719,384,219.60 "," 786,850,602.57 "," 732,259,331.64 "," 796,064,105.91 "," 893,668,238.31 "
Region VI,Guimaras," 290,153,427.05 "," 312,289,012.22 "," 348,014,069.83 "," 338,437,761.67 "," 379,306,159.05 "," 425,072,312.47 "
Region VI,Iloilo," 1,290,284,200.00 "," 1,355,030,969.93 "," 1,459,711,099.85 "," 1,450,300,120.74 "," 1,537,879,043.23 "," 1,936,003,023.02 "
Region VI,Negros Occidental," 1,743,124,564.40 "," 1,830,234,016.33 "," 1,993,634,309.92 "," 1,949,897,319.44 "," 2,085,864,473.08 "," 2,362,223,821.82 "
Region VII,Bohol," 978,497,102.41 "," 1,057,047,535.25 "," 1,167,076,296.18 "," 1,139,304,462.20 "," 1,234,282,082.44 "," 1,408,515,272.39 "
Region VII,Cebu," 1,686,096,319.15 "," 1,792,094,858.42 "," 1,983,665,242.59 "," 1,895,361,909.63 "," 2,209,380,437.90 "," 2,414,594,998.57 "
Region VII,Negros Oriental," 1,092,300,718.73 "," 1,247,948,964.61 "," 1,288,510,282.56 "," 1,255,615,581.43 "," 1,399,999,159.65 "," 1,531,590,554.27 "
Region VII,Siquijor," 256,943,769.82 "," 271,242,275.15 "," 296,337,920.29 "," 287,501,890.40 "," 314,648,088.70 "," 347,779,640.45 "
Region VIII,Biliran," 284,095,533.93 "," 307,822,682.22 "," 332,038,668.77 "," 322,070,493.65 "," 354,535,898.10 "," 411,970,485.98 "
