year,month ,day,time,recto_entry,recto_exit,legarda_entry,legarda_exit,pureza_entry,pureza_exit,v_mapa_entry,v_mapa_exit,j_ruiz_entry,j_ruiz_exit,gilmore_entry,gilmore_exit,betty_go_entry,betty_go_exit,araneta_cubao_entry,araneta_cubao_exit,anonas_entry,anonas_exit,katipunan_entry,katipunan_exit,santolan_entry,santolan_exit
2013,January,1, 4:00-5:00 ,4, -   ,1, -   ,1, -   ,1, -   ,1, -   ,3, -   , -   , -   ,1, -   ,4, -   , -   , -   ,20, -   
2013,January,1, 5:00-6:00 ,190,112,7,13,34,14,24,20,6,10,12,29,5,1,53,54,23,13,84,24,124,51
2013,January,1, 6:00-7:00 ,239,267,14,41,48,56,55,42,19,14,33,42,12,7,151,124,37,20,141,65,248,141
2013,January,1, 7:00-8:00 ,400,406,43,62,55,69,70,62,29,21,58,50,9,16,209,189,52,52,181,75,391,281
2013,January,1, 8:00-9:00 ,610,637,49,65,125,69,107,102,27,22,61,66,16,22,235,248,70,47,225,140,536,473
2013,January,1, 9:00-10:00 ,813,850,71,62,153,124,168,113,58,30,56,89,18,33,285,341,89,72,356,181,855,562
2013,January,1, 10:00-11:00 ,1066,1278,93,102,246,153,206,191,48,33,95,131,49,21,368,552,158,66,542,218,1354,930
2013,January,1, 11:00-12:00 ,1553,1821,125,148,246,216,344,337,98,35,69,197,59,47,510,995,188,83,716,431,1627,1162
2013,January,1, 12:00-13:00 ,1328,1479,145,164,326,221,325,349,47,34,55,121,36,39,553,849,165,138,687,457,1531,1242
2013,January,1, 13:00-14:00 ,1339,1870,135,172,302,157,315,281,73,47,66,88,63,44,666,917,199,103,622,436,1353,1103
2013,January,1, 14:00-15:00 ,1393,1671,189,178,302,230,388,324,68,62,129,104,78,43,833,896,208,174,728,522,1479,1289
2013,January,1, 15:00-16:00 ,1359,1934,155,215,319,264,357,382,67,79,145,117,61,42,820,1087,237,186,733,440,1410,1222
2013,January,1, 16:00-17:00 ,1729,1674,161,184,301,320,359,325,69,72,81,100,61,52,957,948,181,197,638,481,1515,1217
2013,January,1, 17:00-18:00 ,1811,1742,149,200,263,321,336,363,97,90,99,102,41,56,946,1094,170,223,708,523,1488,1552
2013,January,1, 18:00-19:00 ,1683,1507,180,233,220,285,328,350,57,95,91,81,33,73,964,1014,150,224,607,555,1228,1398
2013,January,1, 19:00-20:00 ,1367,1120,118,171,184,308,229,353,42,68,66,73,33,46,827,790,118,223,381,445,969,1217
2013,January,1, 20:00-21:00 ,1032,751,76,159,152,238,230,242,31,78,71,68,14,35,788,525,104,191,334,392,639,937
2013,January,1, 21:00-22:00 ,423,573,48,134,97,197,252,128,19,30,81,50,21,28,341,334,29,164,80,289,209,724
2013,January,1, 22:00-23:00 , -   , -   , -   , -   , -   , -   ,3,3, -   ,1,1,1, -   ,2,5,22, -   ,9, -   ,40, -   ,120
2013,January,1, 23:00-24:00 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
2013,January,1, 24:00-1:00 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
2013,January,2, 4:00-5:00 ,51, -   ,10, -   ,11, -   ,8, -   ,5, -   ,6, -   ,3, -   ,26, -   ,21, -   ,56, -   ,108, -   
2013,January,2, 5:00-6:00 ,511,755,64,110,106,141,109,101,25,43,22,115,24,22,219,313,146,41,486,108,1171,133
2013,January,2, 6:00-7:00 ,929,1999,152,248,346,331,249,344,108,142,73,236,72,76,567,938,322,130,1162,246,2805,554
