region,province,city_or_municipality,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,total,percentage_to_total
I (Ilocos Region),Ilocos Sur,Salcedo (Baugen),-,2,7,3,3,9,17,7,5,2,5,5,3,2,-,2,4,2,5,4,6,9,9,6,3,120,
I (Ilocos Region),Ilocos Sur,San Emilio,-,3,2,-,-,2,-,1,-,1,-,-,1,-,1,2,1,2,7,1,-,4,2,3,1,34,
I (Ilocos Region),Ilocos Sur,San Esteban,20,18,33,38,20,32,19,26,33,20,26,15,29,7,32,5,18,14,38,11,22,27,20,19,33,575,
I (Ilocos Region),Ilocos Sur,San Ildefonso,11,7,10,4,-,9,6,14,6,7,6,2,4,11,7,6,11,8,18,15,13,21,13,16,9,234,
I (Ilocos Region),Ilocos Sur,San Juan (Lapog),37,62,49,51,41,46,60,52,62,30,24,41,56,42,39,31,46,35,57,45,56,54,73,78,59,1226,
I (Ilocos Region),Ilocos Sur,San Vicente,6,16,13,19,33,23,17,29,10,10,18,12,29,24,20,17,14,10,16,25,15,34,41,38,39,528,
I (Ilocos Region),Ilocos Sur,Santa Catalina,9,14,18,22,20,28,29,8,19,14,16,11,5,20,30,14,19,37,33,32,27,56,58,69,32,640,
I (Ilocos Region),Ilocos Sur,Santa Cruz,25,44,23,35,52,32,42,61,34,29,15,25,42,44,22,30,40,44,57,48,44,53,57,53,46,997,
I (Ilocos Region),Ilocos Sur,Santa Lucia,16,18,47,33,58,27,27,16,26,27,25,27,26,15,15,17,24,45,28,18,28,23,25,54,26,691,
I (Ilocos Region),Ilocos Sur,Santa Maria,59,72,71,92,79,103,79,68,81,92,43,75,54,52,66,89,110,95,88,68,109,117,134,83,80,2059,
I (Ilocos Region),Ilocos Sur,Santa,49,37,53,30,35,41,33,59,71,31,36,23,25,24,28,20,31,22,37,22,25,30,54,30,32,878,
I (Ilocos Region),Ilocos Sur,Santiago,20,24,29,36,37,49,33,38,48,35,33,25,51,29,33,37,45,47,32,25,45,39,94,47,32,963,
I (Ilocos Region),Ilocos Sur,Santo Domingo,41,39,41,42,30,42,45,59,74,53,39,43,40,26,28,43,43,35,43,45,60,70,81,56,61,1179,
I (Ilocos Region),Ilocos Sur,Sigay,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,1,2,2,-,1,1,-,1,2,12,
I (Ilocos Region),Ilocos Sur,Sinait,52,40,86,56,79,114,84,51,104,80,81,72,70,65,73,76,112,79,64,76,93,109,112,94,76,1998,
I (Ilocos Region),Ilocos Sur,Sugpon,-,-,-,-,-,3,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,2,-,-,1,8,
I (Ilocos Region),Ilocos Sur,Suyo,2,1,5,3,2,2,7,1,4,1,3,5,1,-,-,2,1,2,1,5,-,-,14,-,4,66,
I (Ilocos Region),Ilocos Sur,Tagudin,33,43,44,43,36,55,52,20,62,21,17,31,22,26,20,28,43,60,66,46,29,53,95,79,53,1077,
I (Ilocos Region),Ilocos Sur,Vigan (Capital),93,82,64,72,72,118,95,88,86,82,55,69,75,75,68,88,112,94,101,116,89,150,178,135,151,2408,
I (Ilocos Region),Ilocos Sur,Not Reported,-,-,-,3,-,-,1,2,-,-,-,5,-,3,-,-,-,4, ,2,-,-,-,-,-,20,
I (Ilocos Region),La Union,Agoo,68,91,91,98,78,94,108,97,111,70,73,53,79,58,78,39,83,106,88,110,103,119,163,115,104,2277,
I (Ilocos Region),La Union,Aringay,69,35,48,45,48,62,32,39,55,24,27,26,25,37,24,40,63,46,36,41,61,52,52,56,67,1110,
I (Ilocos Region),La Union,Bacnotan,25,49,37,71,75,27,39,28,57,60,33,35,28,36,53,31,30,56,56,73,49,55,91,89,104,1287,
I (Ilocos Region),La Union,Bagulin,4,2,-,-,-,-,4,4,-,-,2,-,8,1,1,2,2,3,2,15,6,4,8,-,4,72,
I (Ilocos Region),La Union,Balaoan,45,36,50,46,61,60,47,30,53,33,28,41,36,35,24,36,44,47,55,57,52,68,62,77,55,1178,
I (Ilocos Region),La Union,Bangar,26,24,30,29,35,25,24,27,26,36,24,26,32,25,14,26,32,35,35,42,38,30,69,51,72,833,
I (Ilocos Region),La Union,Bauang,119,83,113,127,100,119,89,112,104,76,45,77,83,78,82,87,94,98,87,125,104,131,163,147,109,2552,
I (Ilocos Region),La Union,Burgos,2,8,-,2,1,4,7,2,-,8,1,8,1,-,1,1,4,-,5,3,5,8,6,5,1,83,
I (Ilocos Region),La Union,Caba,27,16,30,30,25,16,31,23,49,24,11,11,19,32,27,16,30,25,33,44,11,28,36,41,24,659,
I (Ilocos Region),La Union,City of San Fernando (Capital),198,205,209,237,268,218,235,203,207,246,162,120,211,165,239,252,245,271,284,232,239,277,339,377,300,5939,
I (Ilocos Region),La Union,Luna,76,57,60,49,73,52,87,45,92,58,50,42,38,51,56,40,59,48,61,52,84,98,100,103,68,1599,
I (Ilocos Region),La Union,Naguilian,51,43,40,62,68,88,65,84,63,52,59,45,42,52,50,65,51,37,61,64,59,65,110,74,56,1506,
I (Ilocos Region),La Union,Pugo,6,8,13,15,30,22,28,12,13,16,8,12,8,10,10,15,23,17,19,27,17,21,34,25,29,438,
I (Ilocos Region),La Union,Rosario,42,56,28,41,57,56,66,50,64,25,23,37,41,31,39,35,40,49,70,75,45,48,53,67,62,1200,
I (Ilocos Region),La Union,San Gabriel,1,6,9,11,10,3,5,7,2,7,6,-,1,4,6,6,12,3,10,11,5,4,17,5,7,158,
I (Ilocos Region),La Union,San Juan,43,34,37,45,30,33,43,32,22,46,17,33,40,42,24,29,66,46,58,73,55,74,63,71,60,1116,
I (Ilocos Region),La Union,Santo Tomas,10,16,19,22,17,37,49,31,17,15,13,14,18,17,36,11,28,27,30,24,27,34,38,34,31,615,
I (Ilocos Region),La Union,Santol,-,-,-,6,2,2,3,6,4,4,2,-,-,2,5,6,1,3,2,1,3,12,3,4,19,90,
I (Ilocos Region),La Union,Sudipen,8,4,3,5,5,8,12,10,5,12,7,6,7,16,16,8,14,15,17,19,27,14,19,24,22,303,
