region,province,city_or_municipality,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,total,percentage_to_total
II (Cagayan Valley),Isabela,Dinapigue,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,
II (Cagayan Valley),Isabela,Divilican,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,2,
II (Cagayan Valley),Isabela,Echague,14,17,29,14,11,41,17,23,27,20,26,27,8,21,31,17,20,37,32,47,19,41,59,45,28,671,
II (Cagayan Valley),Isabela,Gamu,3,3,3,5,5,7,6,6,4,9,6,11,13,7,7,7,5,4,16,15,13,20,12,14,22,223,
II (Cagayan Valley),Isabela,Ilagan (Capital),11,8,16,28,20,19,31,28,39,26,18,22,26,13,29,26,38,33,38,33,44,36,48,54,35,719,
II (Cagayan Valley),Isabela,Jones,5,3,11,11,8,21,11,9,17,9,5,12,2,6,7,17,7,23,28,12,29,31,26,28,20,358,
II (Cagayan Valley),Isabela,Luna,6,7,12,4,4,13,19,9,7,16,10,13,8,8,14,9,25,19,19,25,16,12,13,20,35,343,
II (Cagayan Valley),Isabela,Maconacon,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,
II (Cagayan Valley),Isabela,Mallig,2,2,3,2,2,9,6,7,6,10,2,5,7,13,3,2,6,6,7,9,7,8,12,11,10,157,
II (Cagayan Valley),Isabela,Naguilian,3,-,2,6,7,3,25,10,9,7,3,3,7,9,4,3,3,6,16,13,1,18,14,21,16,209,
II (Cagayan Valley),Isabela,Palanan,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,1,-,1,4,
II (Cagayan Valley),Isabela,Quezon,1,3,1,2,6,6,-,6,7,7,-,-,2,2,-,2,23,-,11,4,8,18,11,6,11,137,
II (Cagayan Valley),Isabela,Quirino,-,4,2,4,3,10,9,3,8,4,1,2,5,4,9,3,12,4,6,6,4,4,10,7,11,135,
II (Cagayan Valley),Isabela,Ramon,-,10,6,2,8,9,6,14,9,14,2,8,5,13,12,22,20,32,28,18,15,31,40,32,29,385,
II (Cagayan Valley),Isabela,Reina Mercedes,6,2,3,16,4,10,9,5,5,11,5,3,14,2,12,3,11,6,17,14,11,17,27,22,19,254,
II (Cagayan Valley),Isabela,Roxas,16,25,20,11,9,22,24,17,38,25,15,21,22,12,25,22,24,21,42,39,23,44,59,38,59,673,
II (Cagayan Valley),Isabela,San Agustin,1,10,14,4,3,18,2,7,3,1,2,4,11,7,10,18,11,8,10,10,8,6,27,10,11,216,
II (Cagayan Valley),Isabela,San Guillermo,-,-,2,-,-,1,1,-,1,3,-,1,-,-,1,3,9, , ,3,-,2,-,-,9,36,
II (Cagayan Valley),Isabela,San Isidro,1,17,2,-,-,2,1,11,9,6,2,1,1,-,-,7,7,5,3,5,6,8,6,4,8,112,
II (Cagayan Valley),Isabela,San Manuel,12,9,2,4,4,3,15,4,8,4,5,7,2,6,11,6,7,5,13,13,10,12,15,18,10,205,
II (Cagayan Valley),Isabela,San Mariano,3,1,8,1,6,1,14,6,-,2,3,1,-,13,7,6,5,1,5,10,13,11,19,31,25,192,
II (Cagayan Valley),Isabela,San Mateo,32,28,18,16,28,23,47,46,51,35,21,29,27,46,35,27,40,44,38,72,69,91,95,55,73,1086,
II (Cagayan Valley),Isabela,San Pablo,-,3,1,-,2,-,2,-,1,-,5,3,-,1,-,2,1,4,8,5,2,3,2,12,1,58,
II (Cagayan Valley),Isabela,Santa Maria,3,2,-,-,2,-,1,-,1,-,-,2,1,2,2,2,2,-,3,1,5,-,-,5,9,43,
II (Cagayan Valley),Isabela,Santo Tomas,4,3,7,7,16,9,14,11,13,8,6,6,3,10,2,17,10,10,14,13,7,11,13,10,9,233,
II (Cagayan Valley),Isabela,Tumauini,9,4,14,15,15,12,3,13,13,6,7,6,12,15,15,6,23,10,27,6,14,25,23,29,33,355,
II (Cagayan Valley),Isabela,Not Reported,-,3,3,9,5,4,2,-,-,-,-,-,-,1,-,-,-,1, ,-,-,-,-,-,-,28,
II (Cagayan Valley),Nueva Vizcaya,Alfonso Castaneda,-,-,-,-,-,-,-,-,-,-,-,-,3,-,1,-,1,-,2,3,3,2,2,2,1,20,
II (Cagayan Valley),Nueva Vizcaya,Ambaguio,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,
II (Cagayan Valley),Nueva Vizcaya,Aritao,16,4,11,20,9,20,28,10,21,17,14,16,12,14,20,18,10,14,16,29,23,31,29,35,37,474,
II (Cagayan Valley),Nueva Vizcaya,Bagabag,19,18,28,24,50,37,35,33,27,14,23,16,13,22,13,33,37,40,54,42,36,51,62,71,56,854,
II (Cagayan Valley),Nueva Vizcaya,Bambang,30,28,25,38,42,39,57,65,93,45,34,16,31,51,33,39,57,32,49,32,33,63,61,61,40,1094,
II (Cagayan Valley),Nueva Vizcaya,Bayombong (Capital),27,54,51,29,73,64,74,85,53,65,37,32,35,44,53,56,46,59,83,72,61,99,97,88,112,1549,
II (Cagayan Valley),Nueva Vizcaya,Diadi,-,1,1,-,1,5,2,1,-,-,2,-,1,1,1,3,8,9,3,5,2,3,5,1,8,63,
II (Cagayan Valley),Nueva Vizcaya,Dupax Del Norte,23,7,5,16,18,17,21,21,14,22,16,12,8,4,16,11,20,9,20,10,9,25,27,31,37,419,
II (Cagayan Valley),Nueva Vizcaya,Dupax Del Sur,1,2,6,5,1,4,5,4,8,5,1,-,1,1,2,11,6,4,5,4,6,5,2,2,4,95,
II (Cagayan Valley),Nueva Vizcaya,Kasibu,-,-,-,1,1,-,-,4,2,4,-,-,-,-,1,1,-,-,-,2,2,5,7,10,7,47,
II (Cagayan Valley),Nueva Vizcaya,Kayapa,6,3,2,-,-,-,-,1,1,-,-,-,2,2,-,1,-,2, ,2,-,-,2,-,5,29,
II (Cagayan Valley),Nueva Vizcaya,Quezon,-,-,-,-,-,2,-,2,-,1,-,1,4,-,-,-,3,1, ,2,-,3,3,10,-,32,
II (Cagayan Valley),Nueva Vizcaya,Santa Fe,2,-,5,-,1,13,3,10,8,3,-,5,1,1,-,6,3,1,10,1,5,12,3,7,4,104,
II (Cagayan Valley),Nueva Vizcaya,Solano,45,33,26,53,33,61,64,57,53,47,45,71,33,37,42,43,76,50,104,75,66,68,79,91,105,1457,
II (Cagayan Valley),Nueva Vizcaya,Villaverde,4,1,2,8,5,5,8,5,6,14,15,3,2,2,2,5,4,2,2,16,13,28,13,7,12,184,
II (Cagayan Valley),Nueva Vizcaya,Not Reported,-,2,2,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,
II (Cagayan Valley),Quirino,Aglipay,-,1,1,1,2,-,-,2,5,2,3,2,1,-,1,1,3,4,1,5,13,10,2,10,9,79,
II (Cagayan Valley),Quirino,Cabarroguis (Capital),1,1,-,-,3,1,3,8,2,1,1,2,7,13,11,4,1,6,13,13,9,10,20,10,2,142,
II (Cagayan Valley),Quirino,Diffun,-,-,3,1,6,4,12,13,13,10,5,13,11,14,7,2,5,14,17,20,10,17,13,9,18,237,
II (Cagayan Valley),Quirino,Maddela,2,6,11,3,14,5,7,2,12,13,8,10,2,9,10,4,7,12,12,4,17,8,18,12,14,222,
II (Cagayan Valley),Quirino,Nagtipunan,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,4, ,-,3,2,-,-,-,11,
II (Cagayan Valley),Quirino,Saguday,-,-,-,3,8,1,-,2,4,-,3,5,-,2,7,3,3,-,1,3,5,-,6,6,-,62,
II (Cagayan Valley),Quirino,Not Reported,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,
III (Central Luzon),Bataan,Abucay,78,76,106,132,98,56,72,54,65,48,34,19,45,35,57,28,49,57,55,54,56,53,50,63,32,1472,
III (Central Luzon),Bataan,Bagac,16,12,20,24,29,23,27,13,28,24,19,6,2,18,12,31,19,13,9,19,21,24,23,24,35,491,
III (Central Luzon),Bataan,Balanga (Capital),85,83,121,76,102,111,97,97,85,83,80,58,95,76,85,79,92,83,109,146,71,91,143,144,166,2458,
III (Central Luzon),Bataan,Dinalupihan,117,106,141,122,119,136,119,105,122,74,64,95,74,57,88,98,121,120,133,109,93,137,137,125,118,2730,
III (Central Luzon),Bataan,Hermosa,46,52,55,33,70,39,61,49,68,51,26,37,41,30,63,48,40,28,47,39,57,59,68,41,71,1219,
III (Central Luzon),Bataan,Limay,9,17,46,20,32,30,57,25,35,21,17,18,22,22,28,39,23,27,22,34,24,52,46,40,56,762,
III (Central Luzon),Bataan,Mariveles,37,28,37,37,57,44,46,39,33,45,35,35,28,40,33,36,54,51,55,70,65,63,98,64,77,1207,
III (Central Luzon),Bataan,Morong,10,5,17,21,22,7,20,11,12,15,8,6,11,9,11,10,15,11,28,23,8,13,7,10,33,343,
III (Central Luzon),Bataan,Orani,76,79,86,75,74,65,65,72,74,75,45,29,39,30,69,63,42,37,66,97,61,71,80,71,73,1614,
III (Central Luzon),Bataan,Orion,72,109,113,94,81,65,83,55,46,47,28,58,68,46,60,57,60,66,60,47,75,58,98,94,79,1719,
III (Central Luzon),Bataan,Pilar,28,45,39,14,49,25,46,18,27,22,14,18,8,15,34,43,22,16,35,35,50,49,40,26,36,754,
III (Central Luzon),Bataan,Samal,74,26,50,41,75,53,58,20,46,56,19,38,31,35,36,21,49,36,58,40,18,31,59,45,41,1056,
III (Central Luzon),Bataan,Not Reported,-,1,-,-,-,-,-,-,1,-,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,6,
III (Central Luzon),Bulacan,Angat,20,32,22,37,18,27,29,35,26,25,16,32,35,34,41,40,27,42,45,65,60,42,57,57,62,926,
III (Central Luzon),Bulacan,Balagtas (Bigaa),41,47,38,43,42,43,58,50,40,42,21,45,38,51,63,28,69,55,77,77,60,101,77,74,67,1347,
III (Central Luzon),Bulacan,Baliuag,61,73,97,66,99,63,118,74,95,101,62,59,94,88,78,85,92,93,160,146,125,167,148,133,165,2542,
III (Central Luzon),Bulacan,Bocaue,60,54,75,75,69,73,77,70,78,67,45,36,69,51,71,59,83,59,89,84,103,115,105,125,129,1921,
III (Central Luzon),Bulacan,Bulacan,29,31,40,32,44,62,43,45,43,27,25,32,48,47,55,53,56,58,79,76,67,48,80,73,78,1271,
III (Central Luzon),Bulacan,Bustos,15,26,15,27,42,17,20,19,28,20,20,17,37,21,26,14,42,26,51,46,34,65,70,59,81,838,
III (Central Luzon),Bulacan,Calumpit,37,44,39,64,38,50,61,47,60,41,24,54,43,51,46,52,66,57,96,89,59,84,65,103,124,1494,
III (Central Luzon),Bulacan,Dona Remedios Trinidad,-,-,-,-,1,-,-,-,-,-,-,-,2,-,-,-,1,1,3,1,2,10,2,2,4,29,
III (Central Luzon),Bulacan,Guiguinto,17,21,37,36,41,48,53,60,47,37,27,41,55,37,34,56,56,74,97,101,69,115,131,102,113,1505,
III (Central Luzon),Bulacan,Hagonoy,58,68,94,84,77,115,132,83,75,36,63,84,81,79,57,95,86,95,113,108,132,113,147,117,117,2309,
III (Central Luzon),Bulacan,Malolos  (Capital),130,135,194,190,174,198,190,178,166,172,133,112,163,207,198,194,222,240,310,315,253,289,294,355,335,5347,
III (Central Luzon),Bulacan,Marilao,86,66,81,69,85,78,90,84,96,96,61,90,124,113,116,132,173,165,233,193,215,202,266,239,263,3416,
III (Central Luzon),Bulacan,Meycauayan,184,207,264,238,213,226,177,189,225,219,184,159,236,239,279,230,278,313,368,292,287,281,332,268,297,6185,
III (Central Luzon),Bulacan,Norzagaray,28,17,20,18,33,41,56,10,36,20,18,10,20,20,27,14,35,40,69,61,44,60,66,80,67,910,
III (Central Luzon),Bulacan,Obando,56,53,64,51,63,62,60,85,71,84,61,47,65,72,64,59,74,74,82,96,78,66,64,105,71,1727,
III (Central Luzon),Bulacan,Pandi,17,9,16,10,17,12,23,20,22,12,10,18,27,26,21,28,40,25,42,39,57,58,57,30,59,695,
III (Central Luzon),Bulacan,Paombong,16,37,32,41,26,32,60,27,50,27,13,21,34,19,26,42,33,38,62,63,43,61,64,71,42,980,
III (Central Luzon),Bulacan,Plaridel,35,40,40,51,52,56,66,68,50,74,45,63,48,67,56,66,96,76,98,100,99,115,150,117,123,1851,
III (Central Luzon),Bulacan,Pulilan,34,38,43,33,19,42,45,53,49,28,38,16,37,36,58,45,50,51,105,84,51,55,68,91,87,1256,
III (Central Luzon),Bulacan,San Ildefonso,11,29,28,44,27,26,26,26,29,30,19,11,25,25,30,26,40,54,44,61,63,60,65,59,69,927,
III (Central Luzon),Bulacan,San Jose Del Monte,51,111,147,82,110,133,129,158,144,92,110,139,152,172,196,215,213,350,379,364,372,333,375,384,435,5346,
III (Central Luzon),Bulacan,San Miguel,48,41,40,48,41,53,68,73,54,53,18,39,53,60,54,84,77,88,121,126,98,126,152,122,135,1872,
III (Central Luzon),Bulacan,San Rafael,28,20,27,23,25,43,25,23,31,34,29,24,22,32,40,47,38,43,34,71,75,66,96,69,73,1038,
III (Central Luzon),Bulacan,Santa Maria,74,61,85,89,102,92,81,55,84,67,63,55,74,103,99,97,111,129,190,174,158,209,251,227,184,2914,
III (Central Luzon),Bulacan,Not Reported,-,2,4,-,2,2,1,-,1,-,-,4,-,1,-,-,-,1, ,-,-,-,-,-,-,18,
III (Central Luzon),Nueva Ecija,Aliaga,17,11,10,8,7,17,14,22,14,8,12,6,6,14,9,8,14,23,17,25,28,31,38,53,27,439,
III (Central Luzon),Nueva Ecija,Bongabon,17,10,16,18,9,11,4,7,11,10,9,19,6,20,13,10,13,12,31,23,23,28,29,40,20,409,
III (Central Luzon),Nueva Ecija,Cabanatuan City,175,135,224,192,196,230,207,241,221,263,153,153,202,192,215,249,223,316,366,314,272,373,343,335,387,6177,
III (Central Luzon),Nueva Ecija,Cabiao,18,10,28,27,27,24,32,30,36,39,15,22,26,16,29,21,38,37,36,33,44,47,47,37,57,776,
III (Central Luzon),Nueva Ecija,Carranglan,4,2,1,3,1,13,7,3,1,2,-,3,2,4,5,3,9,1,8,5,10,11,2,14,3,117,
III (Central Luzon),Nueva Ecija,Cuyapo,50,41,39,39,46,59,31,57,47,42,32,37,40,21,34,43,34,76,45,45,42,46,52,52,54,1104,
III (Central Luzon),Nueva Ecija,Gabaldon (Bitulok & Sabani),5,4,4,3,5,8,2,4,3,-,3,4,7,3,3,3,3,3,3,9,3,1,7,11,9,110,
III (Central Luzon),Nueva Ecija,Gapan,51,61,47,65,53,59,56,79,74,69,38,41,64,80,78,60,65,88,95,103,123,87,84,86,121,1827,
III (Central Luzon),Nueva Ecija,General Mamerto Natividad,21,4,4,8,2,10,13,4,16,4,2,5,7,12,18,10,10,8,13,11,14,24,30,25,28,303,
III (Central Luzon),Nueva Ecija,General Tinio (Papaya),31,25,10,23,14,29,21,29,31,21,17,11,20,24,9,20,37,23,31,28,40,32,29,26,32,613,
III (Central Luzon),Nueva Ecija,Guimba,32,39,50,41,49,60,41,49,55,68,59,18,18,34,28,30,73,45,61,42,69,102,95,92,70,1320,
III (Central Luzon),Nueva Ecija,Jaen,13,14,18,17,13,23,13,24,27,16,20,18,20,34,27,17,24,21,37,48,38,31,54,41,38,646,
III (Central Luzon),Nueva Ecija,Laur,6,10,5,5,5,19,15,6,13,2,4,5,5,4,11,7,5,10,18,19,14,24,44,6,24,286,
III (Central Luzon),Nueva Ecija,Licab,4,2,10,3,8,1,8,2,5,7,4,-,6,1,-,5,4,7,2,1,-,1,2,6,9,98,
III (Central Luzon),Nueva Ecija,Llanera,6,7,8,14,22,9,14,27,10,8,12,13,9,8,9,3,20,24,28,20,31,40,22,47,40,451,
III (Central Luzon),Nueva Ecija,Lupao,9,31,30,23,38,37,38,25,29,25,17,12,25,26,21,23,21,28,24,53,28,32,36,50,33,714,
III (Central Luzon),Nueva Ecija,Munoz,46,25,40,43,47,51,47,49,70,45,26,37,36,38,34,40,45,53,60,78,53,90,72,68,59,1252,
III (Central Luzon),Nueva Ecija,Nampicuan,1,9,7,7,4,5,3,12,3,5,1,3,4,3,5,4,12,6,7,9,2,5,8,3,6,134,
III (Central Luzon),Nueva Ecija,Palayan City (Capital),1,9,10,7,7,8,22,4,16,8,4,3,6,12,2,19,7,24,25,14,18,24,26,21,26,323,
III (Central Luzon),Nueva Ecija,Pantabangan,1,5,1,9,5,10,8,7,3,8,2,6,6,9,1,4,3,5,8,6,7,4,17,16,15,166,
III (Central Luzon),Nueva Ecija,Penaranda,11,8,21,11,14,11,5,16,20,6,8,13,9,11,15,23,15,21,16,14,21,15,24,12,15,355,
III (Central Luzon),Nueva Ecija,Quezon,3,2,8,7,9,3,13,8,4,6,2,3,-,6,-,8,4,3,11,10,7,11,6,36,13,183,
III (Central Luzon),Nueva Ecija,Rizal,24,9,26,26,8,28,27,14,25,22,13,16,25,7,21,14,18,26,39,29,55,34,59,44,46,655,
III (Central Luzon),Nueva Ecija,San Antonio,11,15,17,15,27,18,27,6,26,33,23,17,19,11,15,24,20,10,40,37,57,54,44,41,35,642,
III (Central Luzon),Nueva Ecija,San Isidro,16,23,18,31,23,30,20,28,20,34,22,19,19,20,19,23,36,23,60,43,28,65,31,75,64,790,
III (Central Luzon),Nueva Ecija,San Jose City,71,71,103,85,85,69,78,78,95,87,64,59,71,48,71,72,144,98,129,170,145,139,99,129,102,2362,
III (Central Luzon),Nueva Ecija,San Leonardo,16,29,41,32,33,24,41,23,32,31,27,15,33,18,36,21,22,37,39,36,48,46,40,49,56,825,
III (Central Luzon),Nueva Ecija,Santa Rosa,8,15,22,14,25,25,14,23,41,26,12,15,28,28,25,21,37,38,42,62,42,59,51,46,40,759,
III (Central Luzon),Nueva Ecija,Santo Domingo,28,17,23,26,18,18,33,16,16,17,28,10,22,37,16,26,38,36,26,18,14,21,31,39,31,605,
III (Central Luzon),Nueva Ecija,Talavera,19,27,13,28,30,55,42,40,37,32,22,38,25,28,29,33,47,39,60,63,60,82,100,109,76,1134,
III (Central Luzon),Nueva Ecija,Talugtug,6,7,4,8,12,20,22,4,12,11,6,8,5,11,8,6,6,11,15,17,17,20,19,16,28,299,
III (Central Luzon),Nueva Ecija,Zaragoza,25,13,11,16,16,13,23,14,9,11,5,13,18,11,25,12,11,19,31,37,34,33,26,16,43,485,
III (Central Luzon),Nueva Ecija,Not Reported,-,-,-,4,4,-,3,2,1,-,-,3,-,-,-,-,-,2, ,1,-,-,-,-,-,20,
III (Central Luzon),Pampanga,Angeles City,2278,2196,2014,1807,1297,1185,1187,1012,1130,1062,640,735,792,821,936,847,969,959,1027,1197,887,1096,1066,1025,1168,29333,
III (Central Luzon),Pampanga,Apalit,47,63,52,76,71,86,79,53,60,73,32,67,79,67,43,78,86,72,119,122,127,115,125,126,145,2063,
III (Central Luzon),Pampanga,Arayat,46,36,57,47,50,79,66,60,73,65,50,58,41,78,69,78,77,69,97,91,125,134,128,136,165,1975,
III (Central Luzon),Pampanga,Bacolor,106,80,99,88,99,94,90,92,61,9,5,7,11,14,16,4,16,17,10,35,13,38,67,46,82,1199,
III (Central Luzon),Pampanga,Candaba,14,16,19,28,35,48,25,36,42,30,28,11,14,29,44,22,35,55,46,67,55,49,70,58,71,947,
III (Central Luzon),Pampanga,Floridablanca,61,49,61,85,84,92,80,90,99,120,54,65,120,87,86,95,106,114,128,159,128,148,126,127,137,2501,
III (Central Luzon),Pampanga,Guagua,204,223,227,227,257,358,257,213,282,251,243,200,168,199,220,222,223,211,269,295,300,323,391,292,241,6296,
III (Central Luzon),Pampanga,Lubao,178,169,149,197,160,225,278,207,177,144,111,117,145,138,191,164,169,208,237,195,181,224,274,192,235,4665,
III (Central Luzon),Pampanga,Mabalacat,451,518,505,525,481,396,439,408,392,350,247,281,334,300,378,316,369,395,461,535,416,581,565,562,532,10737,
III (Central Luzon),Pampanga,Macabebe,123,104,114,91,167,130,112,120,119,106,66,62,93,86,103,99,87,125,137,166,111,109,197,135,140,2902,
III (Central Luzon),Pampanga,Magalang,48,44,39,34,34,49,71,66,63,34,51,41,43,42,57,51,57,76,98,107,110,146,119,177,160,1817,
III (Central Luzon),Pampanga,Masantol,175,135,154,139,164,144,146,112,117,116,82,44,107,97,111,95,102,92,98,109,69,96,118,112,97,2831,
III (Central Luzon),Pampanga,Mexico,61,50,92,58,61,56,121,79,112,113,68,51,66,77,85,93,109,137,166,136,138,194,218,184,205,2730,
III (Central Luzon),Pampanga,Minalin,35,31,39,48,53,38,38,48,45,35,14,24,29,26,18,36,43,32,23,45,28,40,45,31,48,892,
III (Central Luzon),Pampanga,Porac,79,76,127,109,81,110,126,75,77,84,96,82,69,83,112,119,125,144,115,145,104,115,158,194,186,2791,
III (Central Luzon),Pampanga,San Fernando (Capital),372,302,417,394,379,483,382,414,463,419,279,254,325,319,390,318,402,546,538,552,518,612,692,654,654,11078,
III (Central Luzon),Pampanga,San Luis,4,2,12,8,9,18,17,18,19,13,8,15,13,12,14,24,23,32,14,24,18,30,39,32,27,445,
III (Central Luzon),Pampanga,San Simon,21,33,30,41,17,27,40,36,37,33,14,34,25,19,39,38,31,32,31,45,32,58,46,40,53,852,
III (Central Luzon),Pampanga,Santa Ana,30,22,51,46,35,38,35,23,48,35,25,17,38,34,37,36,54,56,76,84,55,85,71,76,68,1175,
III (Central Luzon),Pampanga,Santa Rita,89,74,94,118,94,89,119,88,106,167,113,97,111,94,144,82,94,88,97,133,103,131,137,177,121,2760,
III (Central Luzon),Pampanga,Santo Tomas,50,65,56,55,62,75,44,39,56,34,47,22,34,45,27,29,50,24,51,58,36,81,68,72,62,1242,
III (Central Luzon),Pampanga,Sasmuan (Sexmoan),8,14,23,12,7,16,7,30,14,17,11,12,8,5,12,7,16,19,15,15,14,26,32,13,22,375,
III (Central Luzon),Pampanga,Not Reported,1,2,4,-,-,2,1,1,1,-,1,5,-,1,-,1,-,7,1,-,-,-,-,-,-,28,
III (Central Luzon),Tarlac,Anao,9,11,10,7,19,6,4,7,11,3,4,6,44,12,10,8,8,12,8,18,8,22,22,8,9,286,
III (Central Luzon),Tarlac,Bamban,72,53,57,77,54,40,25,37,50,35,26,32,34,32,40,36,41,27,57,61,46,89,70,82,98,1271,
III (Central Luzon),Tarlac,Camiling,138,154,149,145,148,175,202,189,201,143,111,118,122,118,113,132,186,163,175,170,179,183,235,241,181,4071,
III (Central Luzon),Tarlac,Capas,48,76,55,47,70,59,89,61,83,79,50,30,44,60,65,81,61,90,99,109,109,129,151,128,143,2016,
III (Central Luzon),Tarlac,City Of Tarlac (Capital),208,211,257,251,242,264,277,224,291,263,176,220,213,250,271,241,293,357,352,421,372,427,536,449,430,7496,
III (Central Luzon),Tarlac,Concepcion,73,58,70,68,94,68,82,75,84,63,43,49,63,57,76,69,71,82,91,90,88,114,123,126,134,2011,
III (Central Luzon),Tarlac,Gerona,44,50,80,50,63,98,66,88,51,47,40,44,63,58,43,61,74,57,68,56,72,120,140,100,97,1730,
III (Central Luzon),Tarlac,La Paz,31,13,30,16,19,19,17,29,30,19,9,13,15,23,18,15,25,23,26,32,46,38,40,35,33,614,
III (Central Luzon),Tarlac,Mayantoc,30,24,40,50,34,42,75,28,31,45,39,25,23,39,50,46,50,51,44,58,45,79,68,54,62,1132,
III (Central Luzon),Tarlac,Moncada,44,32,41,45,43,46,31,49,30,34,34,29,45,19,27,26,55,43,60,45,44,66,73,67,74,1102,
III (Central Luzon),Tarlac,Paniqui,146,143,161,129,172,157,185,133,153,141,84,72,111,122,130,125,156,143,127,161,160,169,220,234,195,3729,
III (Central Luzon),Tarlac,Pura,15,19,22,11,11,25,32,8,9,4,7,2,6,11,15,13,31,16,25,10,12,12,18,22,9,365,
III (Central Luzon),Tarlac,Ramos,5,4,10,6,14,5,6,13,18,21,12,8,13,4,7,11,13,21,22,14,15,17,14,19,18,310,
III (Central Luzon),Tarlac,San Clemente,11,16,7,24,19,24,18,10,30,16,9,19,24,19,14,11,11,19,17,34,5,28,35,28,22,470,
III (Central Luzon),Tarlac,San Jose,-,-,-,-,-,-,-,-,-,-,1,1,3,6,6,3,7,5,6,5,1,27,22,24,18,135,
III (Central Luzon),Tarlac,San Manuel,8,13,24,28,21,29,35,14,33,9,9,12,9,16,14,27,28,10,22,18,7,26,39,31,28,510,
III (Central Luzon),Tarlac,Santa Ignacia,65,23,36,47,39,39,46,51,74,69,17,26,37,61,62,30,69,48,58,62,39,66,71,72,66,1273,
III (Central Luzon),Tarlac,Victoria,35,38,41,30,36,31,55,46,48,29,20,32,30,28,55,33,24,22,37,25,35,35,50,43,45,903,
III (Central Luzon),Tarlac,Not Reported,-,-,3,1,-,1,1,-,-,-,-,5,1,2,-,1,-,3, ,-,-,-,-,-,-,18,
III (Central Luzon),Zambales,Botolan,51,62,49,46,33,45,45,73,72,37,33,31,47,34,31,30,47,28,47,56,41,40,54,53,61,1146,
III (Central Luzon),Zambales,Cabangan,38,36,38,21,16,27,21,21,28,50,30,14,25,19,13,20,30,17,20,21,36,31,19,30,40,661,
III (Central Luzon),Zambales,Candelaria,41,72,83,57,56,52,77,38,51,70,31,22,54,47,50,43,53,62,75,46,41,61,55,82,38,1357,
III (Central Luzon),Zambales,Castillejos,126,97,84,107,105,97,76,62,109,58,49,53,82,70,63,42,103,106,70,92,76,83,116,64,60,2050,
III (Central Luzon),Zambales,Iba (Capital),81,73,61,65,97,59,67,53,75,61,36,30,51,42,55,47,57,37,56,71,68,57,62,53,39,1453,
III (Central Luzon),Zambales,Masinloc,83,54,61,53,61,48,77,59,77,52,30,45,69,50,54,67,66,36,59,78,77,58,73,84,75,1546,
III (Central Luzon),Zambales,Olongapo City,2769,2191,2354,2229,3294,1648,1203,1236,1125,827,640,585,661,651,732,599,769,789,962,910,710,865,921,746,720,30136,
III (Central Luzon),Zambales,Palauig,50,34,20,32,37,34,26,25,32,28,12,31,21,24,40,24,23,43,16,39,26,32,45,32,31,757,
III (Central Luzon),Zambales,San Antonio,186,145,149,148,123,101,98,93,84,104,36,61,76,75,69,60,52,76,77,83,74,61,90,58,80,2259,
III (Central Luzon),Zambales,San Felipe,104,75,101,72,83,73,68,46,78,52,57,34,63,32,57,46,45,36,32,55,47,57,74,44,58,1489,
III (Central Luzon),Zambales,San Marcelino,73,91,68,39,78,59,59,50,47,62,23,49,52,39,54,25,32,24,64,47,31,48,59,46,55,1274,
III (Central Luzon),Zambales,San Narciso,120,102,75,99,110,82,87,92,109,74,59,54,65,58,51,48,52,54,67,89,38,64,65,56,63,1833,
III (Central Luzon),Zambales,Santa Cruz,30,44,52,40,34,49,34,37,60,37,20,17,33,23,29,25,31,19,33,46,41,36,51,62,41,924,
III (Central Luzon),Zambales,Subic,333,265,272,277,358,237,161,175,199,165,85,108,147,159,136,111,127,145,171,207,128,165,172,157,134,4594,
III (Central Luzon),Zambales,Not Reported,3,3,2,3,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13,
III (Central Luzon),Aurora,Baler  (Capital),3,14,21,4,9,13,11,6,5,9,3,5,6,8,2,15,4,3,2,13,8,17,20,7,11,219,
III (Central Luzon),Aurora,Casiguran,-,-,-,3,-,-,1,-,-,-,-,-,-,5,-,-,-,-,1,5,2,-,1,2,4,24,
III (Central Luzon),Aurora,Dilasag,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,3,-,-,6,1,1,3,15,
III (Central Luzon),Aurora,Dinalungan,-,1,1,-,7,-,-,-,-,-,-,-,2,-,-,-,1,-,-,1,-,4,1,2,2,22,
